"year","julian.day","wild","river.age","sea.age","length","weight","sea.lice","river","country","sex"
2003,90,1,2,2,93.9,6.23,FALSE,"corrib","ie","F"
2012,133,0,2,2,72.5,2.76,FALSE,"nivelle","fr","F"
2015,126,0,1,2,83.8,4.29,FALSE,"corrib","ie","F"
2008,121,0,1,2,89.7,4.09,TRUE,"corrib","ie","M"
2001,87,1,2,2,81.1,4.4,FALSE,"scorff","fr","M"
2008,163,0,1,1,66.7,1.82,FALSE,"corrib","ie","M"
2012,136,0,1,2,81,3.71,FALSE,"moy","ie","F"
2017,152,1,2,1,69.6,3.37,FALSE,"corrib","ie","M"
2002,73,1,1,2,88,6.27,FALSE,"corrib","ie","F"
2006,156,1,2,1,58.7,1.6,FALSE,"corrib","ie","M"
2003,116,0,1,2,94.3,5.74,FALSE,"moy","ie","F"
2003,129,1,2,1,75.8,4.09,FALSE,"moy","ie","F"
2004,103,1,2,3,96.4,6.63,FALSE,"moy","ie","F"
2004,98,1,1,4,90.9,5.55,FALSE,"nivelle","fr","F"
2004,144,1,2,1,75,3.81,FALSE,"corrib","ie","M"
2011,153,1,2,1,61.8,1.85,FALSE,"scorff","fr","F"
2004,150,0,1,1,65.5,2.18,FALSE,"scorff","fr","F"
2005,150,1,2,1,75.1,3.46,FALSE,"moy","ie","M"
2012,160,0,1,1,53.8,1.05,FALSE,"nivelle","fr","M"
2002,72,0,1,4,109.7,9,FALSE,"corrib","ie","M"
2011,170,0,2,1,66.6,1.65,FALSE,"nivelle","fr","M"
2003,114,0,1,2,83.4,3.5,FALSE,"scorff","fr","F"
2015,156,1,1,1,63.7,2.04,FALSE,"oir","fr","M"
2005,110,1,3,2,88.8,5.88,FALSE,"moy","ie","M"
2017,128,0,1,2,74,2.27,FALSE,"scorff","fr","F"
2010,157,0,2,1,71,1.99,FALSE,"moy","ie","F"
2014,174,0,1,1,65.5,2,FALSE,"moy","ie","F"
2005,112,0,1,2,84.6,4.27,FALSE,"moy","ie","F"
2009,112,0,1,2,81.3,3.96,FALSE,"moy","ie","F"
2012,162,1,2,1,61.8,1.76,FALSE,"oir","fr","M"
2013,106,1,2,2,76.1,3.9,FALSE,"scorff","fr","F"
2010,118,0,1,2,74.8,2.88,TRUE,"nivelle","fr","F"
2005,93,1,1,3,91.5,6.72,TRUE,"corrib","ie","F"
2004,115,0,1,2,75.6,3.22,FALSE,"corrib","ie","F"
2002,100,0,1,4,92.8,5.81,TRUE,"moy","ie","F"
2007,149,0,1,1,29.6,2.73,FALSE,"moy","ie","M"
2004,147,0,1,1,59.4,1.41,FALSE,"nivelle","fr","F"
2003,87,1,2,3,98.7,8.39,TRUE,"moy","ie","M"
2010,103,1,1,3,101.9,9.05,TRUE,"corrib","ie","F"
2008,110,0,1,2,90.2,5.03,TRUE,"corrib","ie","F"
2004,146,1,2,1,63.2,2.11,FALSE,"scorff","fr","F"
2016,132,0,1,2,72.8,2.27,FALSE,"moy","ie","F"
2011,169,0,1,1,61,1.53,FALSE,"scorff","fr","M"
2015,162,1,2,1,52.7,1.09,FALSE,"scorff","fr","M"
2003,154,0,1,1,74.5,2.95,FALSE,"corrib","ie","F"
2001,95,0,1,4,107.8,8.83,FALSE,"moy","ie","F"
2010,100,1,2,4,94,6.71,FALSE,"corrib","ie","F"
2009,165,0,2,1,64.4,1.83,FALSE,"moy","ie","M"
2008,108,0,1,2,77.5,3.13,TRUE,"nivelle","fr","F"
2006,104,0,1,4,104.8,7.75,FALSE,"corrib","ie","M"
2016,100,1,1,4,88.2,4.4,FALSE,"oir","fr","F"
2011,123,0,1,2,75,3.21,TRUE,"moy","ie","M"
