"year","julian.day","wild","river.age","sea.age","length","weight","sea.lice","river","country","sex"
2017,123,FALSE,1,2,80.8,3.52,FALSE,"corrib","ie","M"
2012,101,FALSE,1,2,83.4,3.52,FALSE,"corrib","ie","F"
2007,105,TRUE,1,3,86.1,4.98,FALSE,"nivelle","fr","F"
2004,100,TRUE,1,2,90.8,6.31,TRUE,"moy","ie","F"
2002,92,FALSE,1,2,79.5,3.69,TRUE,"nivelle","fr","F"
2000,128,FALSE,1,2,73.3,2.73,FALSE,"oir","fr","M"
2015,107,TRUE,1,2,74.2,3.98,FALSE,"scorff","fr","M"
2002,75,TRUE,2,2,81.3,4.65,FALSE,"oir","fr","M"
2015,93,TRUE,2,2,96.1,6.99,FALSE,"corrib","ie","F"
2016,165,FALSE,1,1,61,1.47,FALSE,"corrib","ie","F"
2014,85,TRUE,2,2,72.1,3.29,FALSE,"nivelle","fr","M"
2015,169,TRUE,3,1,72.8,3.7,FALSE,"moy","ie","M"
2014,169,FALSE,1,1,66.4,1.78,FALSE,"scorff","fr","M"
2006,148,TRUE,3,1,71.4,2.88,FALSE,"corrib","ie","M"
2009,141,TRUE,1,1,49.9,0.96,FALSE,"moy","ie","M"
2013,110,TRUE,2,2,77.4,3.64,FALSE,"moy","ie","F"
2004,100,TRUE,1,3,84.4,4.97,FALSE,"nivelle","fr","M"
2009,108,FALSE,1,2,90.8,4.58,TRUE,"moy","ie","F"
2006,90,TRUE,2,4,103.1,8.2,TRUE,"corrib","ie","M"
2007,168,FALSE,1,1,60.6,1.46,FALSE,"scorff","fr","F"
2015,118,FALSE,1,2,84.2,4.55,FALSE,"corrib","ie","F"
2002,157,FALSE,1,1,72.3,2.98,FALSE,"scorff","fr","F"
2007,114,FALSE,2,4,39.4,5.9,TRUE,"moy","ie","F"
2000,145,FALSE,1,1,73.7,2.84,FALSE,"moy","ie","M"
2002,110,FALSE,2,4,91.9,4.56,FALSE,"nivelle","fr","M"
2002,86,TRUE,2,2,82.1,3.79,FALSE,"corrib","ie","F"
2006,176,FALSE,1,1,59.9,1.54,FALSE,"scorff","fr","M"
2007,153,FALSE,1,1,25.4,1.56,FALSE,"corrib","ie","M"
2014,172,FALSE,2,1,61.1,1.39,FALSE,"scorff","fr","M"
2001,107,TRUE,1,2,90,6.72,FALSE,"corrib","ie","F"
2015,108,FALSE,1,2,86.6,3.65,FALSE,"corrib","ie","F"
2011,118,FALSE,1,2,82.3,4.36,FALSE,"oir","fr","M"
2003,97,FALSE,1,3,87.8,4.95,FALSE,"oir","fr","F"
2015,153,TRUE,3,1,64.1,2.69,FALSE,"corrib","ie","F"
2009,144,TRUE,2,1,70.8,2.93,FALSE,"moy","ie","F"
2003,90,TRUE,1,2,89.4,6.27,TRUE,"corrib","ie","M"
2003,111,FALSE,1,2,84.8,3.9,FALSE,"moy","ie","M"
2013,168,FALSE,2,1,66.9,2.01,FALSE,"corrib","ie","M"
2006,111,FALSE,2,2,77.4,3,TRUE,"scorff","fr","F"
2000,77,FALSE,1,2,76.2,2.55,FALSE,"scorff","fr","F"
2000,105,FALSE,1,2,85.5,3.64,FALSE,"corrib","ie","F"
2007,113,FALSE,1,2,83.8,3.53,FALSE,"scorff","fr","F"
2006,147,TRUE,1,1,76.7,2.79,FALSE,"corrib","ie","F"
2008,90,TRUE,3,2,79.8,3.82,FALSE,"oir","fr","M"
2000,128,FALSE,1,2,87.7,4.62,FALSE,"nivelle","fr","F"
2004,103,TRUE,2,3,91.7,6.1,FALSE,"scorff","fr","F"
2000,114,FALSE,1,3,98,6.43,FALSE,"oir","fr","F"
2016,119,FALSE,2,3,85.4,4.06,FALSE,"corrib","ie","F"
2001,102,FALSE,1,2,91.9,5.05,FALSE,"moy","ie","F"
2005,180,FALSE,1,1,67.3,2.12,NA,"scorff","fr","M"
2006,119,TRUE,2,3,92.1,5.56,FALSE,"nivelle","fr","F"
2012,109,FALSE,1,2,74.9,3.1,FALSE,"scorff","fr","F"
2000,77,TRUE,2,4,86.6,6.17,TRUE,"oir","fr","F"
2007,178,FALSE,1,1,28.6,2.51,FALSE,"moy","ie","M"
2000,126,FALSE,2,2,86.2,4.32,FALSE,"corrib","ie","F"
2008,153,TRUE,1,1,62.8,2.11,FALSE,"oir","fr","F"
2013,121,FALSE,1,2,85.7,4.34,FALSE,"moy","ie","F"
2005,97,TRUE,1,2,82.7,4.79,FALSE,"moy","ie","F"
2013,165,FALSE,1,1,67.4,2.12,FALSE,"moy","ie","M"
2003,93,TRUE,1,4,93.9,5.63,FALSE,"moy","ie","F"
2010,154,TRUE,2,1,58.3,1.66,FALSE,"nivelle","fr","M"
2005,104,FALSE,1,3,96.6,6.69,FALSE,"moy","ie","M"
2008,90,FALSE,1,2,98,8.53,FALSE,"corrib","ie","F"
2011,128,FALSE,1,2,78.8,2.98,FALSE,"corrib","ie","F"
2007,164,FALSE,1,1,67.9,1.97,FALSE,"scorff","fr","M"
2000,101,FALSE,1,2,89.1,5.2,FALSE,"corrib","ie","F"
2000,132,TRUE,2,1,65.1,2.79,NA,"scorff","fr","F"
2006,84,TRUE,2,2,87,5.13,FALSE,"moy","ie","F"
2017,157,TRUE,2,1,65.5,1.71,FALSE,"corrib","ie","F"
2000,89,TRUE,1,2,92.7,6.39,FALSE,"moy","ie","F"
2003,108,TRUE,1,3,94.1,7.97,TRUE,"corrib","ie","M"
