"year","julian.day","wild","river.age","sea.age","length","weight","sea.lice","river","country","sex"
2000,104.185622563727,2,1,4,99.6,6.68,FALSE,"corrib","ie",2
2000,108.93500647243,1,2,2,86.7,4.86,FALSE,"corrib","ie",2
2000,80.5105283736721,1,2,2,79.9,4.44,FALSE,"corrib","ie",2
2000,96.7004347558912,2,1,2,86.7,4.03,FALSE,"corrib","ie",2
2000,84.5392749404871,1,3,3,100.8,7.66,FALSE,"corrib","ie",2
2000,74.6670446157561,2,2,2,89,5.26,TRUE,"corrib","ie",1
2000,125.750175070675,2,1,2,91.5,4.88,FALSE,"corrib","ie",2
2000,86.368156676356,2,1,2,88.6,4.78,FALSE,"corrib","ie",2
2000,102.365377481181,1,2,2,93.1,7.14,TRUE,"corrib","ie",2
2000,111.474669258581,2,1,2,81.8,3.38,FALSE,"corrib","ie",2
2000,99.1549467207955,2,1,2,93.8,5.53,FALSE,"corrib","ie",1
2000,80.0190675277029,2,1,2,89.7,4.79,FALSE,"corrib","ie",2
2000,108.394995740619,2,1,2,90,5.99,FALSE,"corrib","ie",1
2000,157.74410038887,2,1,1,73.3,2.63,FALSE,"corrib","ie",NA
2000,127.684815459778,2,1,2,79.1,4.27,FALSE,"corrib","ie",1
2000,151.131194340288,2,1,1,70.8,2.4,FALSE,"corrib","ie",NA
2000,131.799271301224,2,2,1,71.1,2.35,TRUE,"corrib","ie",NA
2000,121.62402255079,1,1,2,78.6,4.15,FALSE,"corrib","ie",2
2000,136.942549524594,1,2,1,66.6,2.36,FALSE,"corrib","ie",NA
2000,146.635012620337,2,1,1,66.6,1.66,FALSE,"corrib","ie",NA
2000,117.806079844677,2,2,3,92.8,5.3,TRUE,"corrib","ie",2
2000,98.5286897084446,2,1,2,87.5,4.49,TRUE,"corrib","ie",2
2000,157.504318277124,2,1,1,65.6,1.86,FALSE,"corrib","ie",NA
2000,101.743919129426,1,3,2,95,7.19,TRUE,"corrib","ie",1
2000,141.415559610174,1,2,1,70.4,2.98,FALSE,"corrib","ie",NA
2000,106.625651863614,2,1,2,84.6,4.73,FALSE,"corrib","ie",2
2000,105.131869188357,2,1,2,78.9,4.23,FALSE,"corrib","ie",1
2000,83.2039103569735,1,2,2,75.7,2.89,FALSE,"corrib","ie",2
2000,112.783889764124,2,1,2,88.4,4.63,TRUE,"corrib","ie",1
2000,107.132734410192,2,1,2,91,5.75,FALSE,"corrib","ie",2
2000,95.2968263074856,2,1,2,91.5,4.54,FALSE,"corrib","ie",2
2000,96.029527831879,2,2,3,95.2,5.28,TRUE,"corrib","ie",1
2000,94.9321858842434,1,1,3,103,7.41,FALSE,"corrib","ie",2
2000,98.5564604346857,1,1,3,103.6,7.92,FALSE,"corrib","ie",2
2000,102.59116655424,1,2,2,79.5,4.01,FALSE,"corrib","ie",2
2000,159.196473760725,2,1,1,70.2,2.09,FALSE,"corrib","ie",NA
2000,104.823337783275,2,1,2,87.6,5.14,TRUE,"corrib","ie",2
2000,101.588591302751,2,1,3,92.3,5.44,FALSE,"corrib","ie",1
2000,111.821225492665,2,1,2,90,5.08,TRUE,"corrib","ie",2
2000,90.6152829652771,2,1,2,89.6,4.8,FALSE,"corrib","ie",2
2000,110.882852715234,2,1,2,78.6,2.61,FALSE,"corrib","ie",1
2000,125.504943216657,2,1,2,91.8,5.36,FALSE,"corrib","ie",1
2000,112.426301539622,2,1,2,86.3,4.85,TRUE,"corrib","ie",2
2000,79.5375608560408,2,1,2,79,3.37,FALSE,"corrib","ie",2
2000,86.7729986858883,1,1,2,91,5.52,FALSE,"corrib","ie",2
2000,93.5723564888057,2,1,2,87.6,4.99,FALSE,"corrib","ie",2
2000,89.9679131280273,1,2,3,93,6.39,FALSE,"corrib","ie",2
2000,100.433529479688,2,1,2,78.4,3.47,FALSE,"corrib","ie",2
2000,88.1369791977913,1,2,2,87.7,5.8,FALSE,"corrib","ie",1
2000,76.3762482955162,1,2,3,91.4,6.88,FALSE,"corrib","ie",2
2000,118.117566767546,2,1,2,87.8,4.08,TRUE,"corrib","ie",2
2000,86.578684017352,1,1,2,90.2,7.02,FALSE,"corrib","ie",1
2000,92.664587502846,2,1,4,100,6.48,FALSE,"corrib","ie",2
2000,88.9894632659564,2,2,4,103.8,7.94,FALSE,"corrib","ie",2
2000,104.96027151164,2,1,2,82.3,3.89,FALSE,"corrib","ie",2
2000,128.14220777823,1,2,1,68.9,3.1,FALSE,"corrib","ie",NA
2000,93.6470193980278,1,1,2,80.8,4.03,FALSE,"corrib","ie",1
2000,96.2451134948361,1,2,2,94.8,7.61,FALSE,"corrib","ie",2
2000,130.077072487543,1,2,1,72.1,2.74,FALSE,"corrib","ie",NA
2000,148.228303790874,1,2,1,67.4,2.2,FALSE,"corrib","ie",NA
2000,140.47238719836,1,2,1,70.9,2.61,TRUE,"corrib","ie",NA
2000,94.3695709328214,1,1,2,95.1,8.06,FALSE,"corrib","ie",2
2000,137.338023452516,1,1,1,74.3,3.39,FALSE,"corrib","ie",NA
2000,106.402259721278,2,2,2,90,4.74,TRUE,"corrib","ie",2
2000,113.198278143596,2,1,2,91.6,4.92,FALSE,"corrib","ie",2
2000,110.099485818205,2,1,4,110,7.51,FALSE,"corrib","ie",2
2000,95.4631084845371,2,1,2,92.3,5.05,FALSE,"corrib","ie",2
2000,103.965804297944,2,1,2,90.6,5.52,FALSE,"corrib","ie",2
2000,150.930590529011,1,2,1,94.7,6.75,FALSE,"corrib","ie",NA
2000,114.245723574404,2,2,2,87.2,4.62,FALSE,"corrib","ie",2
