"year","julian.day","wild","river.age","sea.age","length","weight","sea.lice","river","country","sex"
2007,83.2128662424073,TRUE,2,2,35.1968503937008,5.85,FALSE,"moy","ie",2
2010,155.093707167585,TRUE,2,1,63.4,2.36,FALSE,"scorff","fr",NA
2000,76.8987021715208,TRUE,2,3,83.8,5,TRUE,"oir","fr",2
2000,94.9934139343436,FALSE,1,4,88.6,5.52,TRUE,"scorff","fr",2
2009,142.660585086944,TRUE,2,1,71.7,2.8,FALSE,"moy","ie",NA
2003,180.099618352513,FALSE,1,1,80.9,3.93,FALSE,"corrib","ie",NA
2009,91.9570273548498,TRUE,1,4,90.9,7.17,FALSE,"nivelle","fr",2
2012,153.640775122238,TRUE,1,1,67.4,2.56,FALSE,"moy","ie",NA
2009,91.6836764864103,TRUE,2,2,81.8,4.66,FALSE,"scorff","fr",2
2006,79.1312464907135,TRUE,1,4,102.4,10.01,FALSE,"corrib","ie",2
2015,164.257465913423,TRUE,2,1,69.1,2.83,FALSE,"moy","ie",NA
2006,153.768567762616,FALSE,2,1,71.3,2.21,FALSE,"corrib","ie",NA
2000,132.608891608329,TRUE,1,1,64,2.28,FALSE,"scorff","fr",NA
2006,115.384289324413,TRUE,2,2,80.6,4.14,FALSE,"moy","ie",2
2008,168.525165359973,FALSE,1,1,70,2.19,FALSE,"moy","ie",NA
2015,179.506086600873,TRUE,2,1,57.2,1.41,FALSE,"scorff","fr",NA
2008,108.729841897944,FALSE,1,2,87.2,4.64,TRUE,"corrib","ie",1
2001,89.2944654150722,TRUE,3,3,92.1,6.05,FALSE,"moy","ie",2
2000,108.714732975499,FALSE,1,2,78,2.98,TRUE,"nivelle","fr",1
2007,112.275310425176,TRUE,1,2,63.9,2.29,FALSE,"scorff","fr",2
2004,127.796955814054,TRUE,1,1,80.7,4.09,FALSE,"scorff","fr",NA
2014,173.688195871748,FALSE,1,1,68.6,2.06,TRUE,"scorff","fr",NA
2000,70.6354627804319,TRUE,2,3,85.4,5.28,FALSE,"scorff","fr",1
2015,114.367967441107,TRUE,2,2,84.5,4.13,FALSE,"corrib","ie",2
2016,159.553038052289,FALSE,1,1,67.5,2.11,FALSE,"corrib","ie",NA
2010,155.426299973628,FALSE,1,1,59,1.36,FALSE,"moy","ie",NA
2008,107.84118245969,FALSE,2,2,86.4,4.29,FALSE,"moy","ie",2
2008,168.056124533498,FALSE,2,1,70.1,2.26,FALSE,"corrib","ie",NA
2005,146.695296640277,FALSE,2,1,65.5,1.85,FALSE,"moy","ie",NA
2005,109.634192039051,FALSE,1,2,85.5,4.88,FALSE,"corrib","ie",2
2005,159.926669141065,FALSE,1,1,65.2,1.88,TRUE,"corrib","ie",NA
2002,89.6859788261893,TRUE,1,3,96.8,6.85,FALSE,"moy","ie",2
2001,100.264788537436,FALSE,1,2,78.9,3.17,FALSE,"corrib","ie",2
2002,112.49041279909,FALSE,1,2,81.8,3.78,FALSE,"corrib","ie",2
