"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22"
"1" 5.86 4.02 3.84 4.37 9.3 8.38 3.57 6.28 2.31 6.58 3.88 5.53 5.78 8.48 4.4 9.77 5.53 6.98 3.27 6 1.06 1.24
"2" 6.64 5.28 0.75 2.13 4.7 3.89 6.11 6.18 6.48 4.71 2.71 5.85 8.52 5.1 5.69 10.08 6.1 8.3 3.56 4.41 5.73 7.26
"3" 4.46 8.11 3.12 6.23 4.42 5.26 6.73 3.73 2.56 5.54 0.9 5.67 2.6 5.53 2 5.23 6.18 2.63 7.58 5.15 5.94 5.3
"4" 2.83 5.67 2.59 0.64 3.96 7.36 5.9 8.78 8.4 2.5 4.49 1.47 4.52 4.49 5.89 6.92 7.68 1.37 5.9 0.04 1.68 2.37
"5" 1.04 4.78 7.6 5.92 6.4 5.11 6.48 5.68 5.68 3.76 2.99 4.14 1.3 5.53 2.27 3.4 4.99 2.53 3.13 5.47 5.46 5.49
"6" 3.24 0.62 5.35 5.28 4.52 4.26 5.65 6.16 2.67 3.42 5.79 1.34 4.44 0.4 7.07 3.65 8.67 10.08 6.88 3.65 5.05 3.16
"7" 3.77 3.56 3.1 4.55 5.26 7.33 4.94 4.36 5.82 0.85 5.66 4.6 3.9 4.42 5.36 4.59 5.19 4.3 5.62 3.8 4.81 6.17
"8" 5.29 5.65 4.55 4.41 2.46 2.92 1.95 2.21 2.59 9.54 2.75 5.5 7.17 6.29 5.85 3.79 4.66 5.18 2.86 7.79 3.29 4.35
"9" 5.52 1.6 1.88 9.38 3.08 4.06 4.52 4.85 6.54 3.16 6.55 2.34 1.89 4.67 4.87 4.76 4.12 2.44 5.54 1.18 4.56 1.92
"10" 2.83 7.32 8.87 1 5.56 5.16 3.25 5.59 5.58 5.57 4.52 4.22 8.95 3.71 4.5 3.83 2.51 4.61 9.15 1.48 5.15 4.76
"11" 8.37 3.3 5.65 5.44 5.23 3.43 7.6 4.11 3.94 5.56 5.14 3.91 6.83 7.57 4.95 4.16 6.03 7.5 5.01 5.59 2.71 6.35
"12" 5.26 0.97 8 8.16 3.98 6.95 5.45 6.24 5.3 4.62 1.84 3.57 2.5 0.82 4.8 8.48 6.46 4.66 4.46 4.62 6.81 4.61
"13" 5.84 7.71 6.59 5.54 0.7 6.37 8.02 0.86 3.75 3.12 4.59 3.45 3.18 3.15 5.2 4.79 3.9 7.34 4.88 3.14 4.74 3.53
"14" 5.86 4.91 3.68 3.65 5.32 5.73 5.53 4.2 2.42 3.99 7.12 3.65 7.62 3.83 9.35 6.95 6.39 4.52 7 6.68 2.31 3.17
"15" 7.04 6.2 5.69 9.85 7.25 6.89 5.7 2.35 3.85 8.44 8.35 4.74 4.4 4.77 7.01 7.04 0.89 5.7 6.78 3.82 1.86 3.53
"16" 6.7 5.2 2.58 6.04 3.92 6.21 7.37 5.37 4.45 4.64 6.26 0.73 5.63 3.6 9.42 9.12 3.6 4.55 6.52 2.24 5.18 3.62
"17" 5.5 6.81 3.22 2.68 6.1 5.15 8.22 5.42 5.03 4.1 5.87 2.71 1.55 8.74 6.87 5.35 2.87 7.92 4.73 5.72 1.52 6.86
"18" 1.24 5.7 3.67 6.4 7.42 7.45 6.07 3.43 4.35 4.56 2.81 2.25 6.8 5.98 3.28 1.78 5.37 4.19 5.6 3.58 2.94 7.14
"19" 6.33 4.26 4.3 6.13 4.83 5.51 5.62 7.72 3.81 5.79 4.59 3.47 6.95 5.51 2.51 3.94 5.73 2.98 4.43 5.39 4.38 6.67
"20" 7.55 7.38 7.7 5.17 7.14 2.89 4.72 1.55 7.64 5.43 3.67 4.89 6.18 6.32 1.78 2.28 6.5 1.55 6.85 3.51 5.17 5.2
"21" 5.2 3.16 5.07 5.37 3.1 6.81 5.62 5.98 4.59 2.87 2.6 10.1 4.94 8.88 4.27 2.56 6.5 1.89 1.98 5.51 5.2 4.61
