"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"1" 5.24 4.85 1.17 3.92 4.18 2.18 3.64 4.36 6.01 8.15 7.75 6.93 4.94 4.15 4.04 5.36 6.61 4.26 2.7 6.1 6.48 4.43 4.27 1.74 1.29 6.87 8.06 3.48 4.83 2.63 9.22 6.23 5.3 -0.29 2.92 9.13 5.61 5.66 2.56
"2" 3.93 4.91 4.73 5.13 3.55 7.81 7.55 6.56 3.2 5.37 10.14 6.76 3.98 1.83 3.8 7.68 5.68 3.11 5.52 4.59 3.13 3.8 5.13 5.2 7.39 5.22 5.13 6.84 3.56 4.58 3.98 5.31 2.53 1.55 2.84 6.66 11.11 4.43 6.62
"3" 4.16 3.76 3.45 5.38 6.12 2.65 3.97 5.75 4.97 -0.71 6.49 5.1 4.01 5.42 1.07 6.46 3.66 5.82 3.71 3.88 1.99 4.63 5.84 4.21 6.43 3.61 2.04 6.87 6.93 6.5 5.82 7.71 8.52 3.54 2.56 6.48 4.84 6.11 4.99
"4" 0.92 5.56 6.36 7.94 -1.36 5.29 5.84 5.92 5.01 3.27 3.21 8.76 10.78 8.79 4.81 3.3 3.04 3.32 7.79 2.75 7 5.09 6.27 1.81 3.46 3.3 5.63 5.59 8.81 6.24 -0.38 5.98 7.58 -0.22 3.66 4.69 2.29 -0.46 8.47
"5" 5.73 4.56 5.24 5.67 6.19 3.58 5.77 5.4 6.74 5.98 4.38 3.65 6.24 5.77 -0.48 5.26 4.93 3.02 2.87 7.85 4.1 6.27 6.06 6.76 1.63 1.53 5.01 5.06 5.02 6.2 1.82 3.21 5.28 5.37 8.36 5.07 8.47 3.12 1.09
"6" 4.67 6.94 4.42 4.32 3.82 1.69 3.98 4.06 7.16 3.13 3.3 9.9 3.4 3.77 7.42 3.81 3.91 2.95 5.39 6.66 8.95 2.69 5.25 6.14 2.45 5.44 2.93 5.38 5.06 5.99 7.22 2 6.66 2.4 7.75 6.06 6.15 6.68 3.88
"7" -0.1 5.8 5.34 4.67 2.97 5.01 8.38 7.03 4.69 8.34 3.19 6.57 4.43 4.27 9.22 2.04 5.12 6.9 8.71 6.24 3.26 1.77 4.53 4.64 8.42 4.62 3.92 6.57 5.23 7.03 6.75 5.29 4.46 4.36 6.04 3.53 8.4 6.74 3.09
"8" 4.69 6.92 7.22 2.02 5.07 6.51 6.47 6.52 2.42 6.84 9.24 3.67 4.78 3.99 7.13 7.56 10.13 3.48 5.53 3.58 6.64 -2.42 5.52 1 -0.49 1.99 7.41 5.44 7.16 2.3 1.1 2.29 5.68 7.29 7.19 3.53 6.5 5.8 2.55
"9" 4 7 5.05 1.09 5.82 7.24 3.37 5.83 4.62 6.16 4.6 7.12 3.56 7.65 3.95 3.63 5.95 3.84 5.24 3.87 4.35 5.25 4.39 8.46 2.75 6.84 2.77 4.7 -2.06 4.55 6.77 7.38 6.19 4.35 6.29 6.87 2.86 2.65 7.61
"10" 4.49 5.18 5.84 5.43 6.48 4.2 8.46 2.32 1.95 2.87 3.39 3.45 6.51 1.73 2.99 5.53 4.88 5.26 4.21 7.71 4.77 3.02 5.65 3.71 7.05 6.66 1.96 6.71 5.33 5.2 3.45 3.08 7.19 2.77 3.9 7.19 7.05 3.62 1.96
