"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"1" 4.03 7.2 4.55 9.1 7.33 6.73 0.52 4.94 6.47 4.54 3.56 2.47 8.34 3.81 4.15 2.91 4.35 8.37 3.84 3.72 5.74 1.93 8.11 5.59 3.83 8.17 4.27 6.36 3.93
"2" 3.38 7.47 5.66 5.31 5.19 5.57 2.72 6.82 3.12 5.84 4.78 4.33 5.29 3.86 4.25 2.25 5.95 6.95 3.98 3.14 1.19 6.41 3.71 7.15 3.91 7.16 2.75 5.13 3.63
"3" 3.8 7.4 5.37 3.6 3.99 3.09 1.64 5.76 4.43 2.17 8.34 7.86 1.37 5.69 6.15 3.6 3.32 6.25 3.46 2.28 1.21 3.06 2.82 4.08 5.5 3.48 2.37 7.83 3.72
"4" 7.06 4.97 8.36 4.2 6.99 4.8 3.27 3.29 7.37 5.26 5.7 6.54 2.58 5.77 2.69 5.62 3.04 4.86 3.72 2.89 2.86 8.45 5.05 3.8 4.49 6.06 7.65 5.35 6.01
"5" 6.33 5.83 4.56 6.43 5.26 6.64 5.87 6.61 7.33 7.21 6.31 3.5 3.65 6.57 5.76 5.57 1.38 4.76 2.9 7.27 6.04 3.42 8.12 1.36 5 6.35 0.76 4.23 6.2
"6" 7.4 4.15 5.87 5.62 4.62 8.81 7.02 4.15 6.66 4.54 5.9 5.34 1.92 7.61 4.25 3.76 5.95 5 6.96 2.33 7.43 4.1 4.27 2.52 3.29 6.34 4.26 4.12 3.81
"7" 3.36 5.63 3 9.25 3.6 2.79 5.76 2.97 2.63 1.04 3.18 3.22 6.39 5.4 3.56 5 2.05 5.58 6.54 2.16 7.85 1.91 1.52 3.47 6.18 1.86 6.29 7.66 5.64
"8" 6.53 3.85 -0.97 6.29 4.33 2.62 4.18 6.87 6.1 7.79 6.39 4.68 5.51 7.42 6.48 4.55 5.71 8.91 8.29 4.52 6.13 6.22 4.98 5.6 6.68 5.9 9.38 5.03 5.79
"9" 5.68 4.46 3.79 5.12 5.32 4.01 4.07 3.41 5.86 5.06 6.11 6.83 6.61 3.93 4.26 6.01 5.02 5.2 3.52 7.91 4.82 3.24 6.06 7.21 5.29 5.18 3.92 8.06 2.23
"10" 5.23 8.48 7.78 4.91 5.17 5.06 4.67 5.04 3.42 0.97 6.61 6.8 3.06 3.87 3.79 5.14 4.55 3.64 7.37 5.9 5.61 5.78 5.78 2.15 6.7 5.01 4.16 7.48 1.91
