"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 2.96 2.26 5.76 8.59 6.82 3.24 1.75 6.17 6.85 1.92 2.09 7.16 4.45 2.22 5.5 6.66
"2" 6.89 5.26 6.59 0.92 6.69 6.22 5.86 5.62 3.14 7.26 2.26 2.6 7.46 9.17 5.91 8.45
"3" 2.8 6.07 8.13 4.53 4.02 5.19 9.62 4.25 4.44 6.31 6.02 6.52 7.59 4.08 3.76 5.63
"4" 5.86 0.05 2.98 8.14 6.45 5.38 5.59 1.77 2.05 4.48 5.36 10.29 4.27 4.49 6.46 8.45
"5" 9.27 5.01 5.05 7.69 6.85 2.42 5.2 4.62 8.79 5.09 4.75 1.25 4.84 9.32 3.74 7.13
"6" 4.36 5.81 4.18 5.9 4.69 5.9 2.33 4.17 7.22 6.39 6.76 8.53 5.71 5.17 3.5 7.41
"7" 3.17 6.01 6.9 5.93 8.56 5.66 7.22 1.5 0.82 5.42 6.42 5.04 5.21 5.01 2.24 4.81
"8" 4.96 6.8 5.56 7.12 3.78 1.29 6.04 6.62 2.33 6.88 6.06 9.09 7.43 6.29 4.94 3.71
"9" 3.6 4.76 8.19 5.33 5.32 4.13 7.06 8.18 10.19 3.98 3.95 6.01 2.99 4.27 6.54 6.44
"10" 6.1 3.97 4.6 5.83 5.47 4.58 5.74 3.7 3.33 6.02 3.05 5.3 6.57 4.6 4.79 4.1
"11" 8.03 6.79 6.58 1.75 4.83 6.58 6.64 3.69 3.61 2.81 4.97 4.64 2.49 4.6 4.81 4.66
"12" 7.12 5.75 4.02 2.93 5.14 6.28 3.56 6.54 6.35 0.49 4.52 4.73 4.46 3.7 6.8 3.6
"13" 2.87 5.75 5 4.74 5.53 4.33 6.62 7.54 5.05 5.14 4.63 7.88 7.19 6.86 4.85 3.28
"14" 1.69 2.99 3.18 2.64 7.13 5.87 6.08 1.45 3.71 3.64 2.34 6.52 9.23 6.32 1.56 7.25
"15" 4.55 4.12 3.85 7.07 6.06 7.11 3.84 6.77 3.38 2.89 5.69 3.06 6.43 7.49 3.58 2.57
"16" 3.57 5.16 6.37 6.83 6.92 5.86 6.65 1.47 4.13 6.5 4.28 4.04 4.55 5.55 4.61 4.95
"17" 6.76 4.5 0.71 8.99 0.9 6.97 3.64 1.48 -0.53 8.01 8.85 7.09 6.57 5 2.04 6.41
"18" 5.83 3.92 7.01 2.64 3.9 5.51 7.8 2.52 4.19 4.61 3.89 5.05 3.91 3.09 8.48 4.07
"19" 5.2 3.98 5.86 5.39 4.2 6.96 8.22 7.24 5.07 6.95 3.57 6.06 7.01 2.52 5.55 4.93
"20" 6.31 -0.36 4.36 6.03 2.64 4.26 5.48 8.5 6.79 2.23 3.95 1.87 3.07 8.31 4.78 0.93
"21" 4.26 0.74 4.95 1.33 4.58 6.44 5.46 4.45 1.76 3.31 3.78 3.56 5.24 4.57 5.26 3.96
"22" 3.72 5.03 3.77 5.34 5.76 4.29 3.03 4.71 4.26 5.07 5.31 4.44 6.75 1.38 3.54 1.89
"23" 3.86 3.27 1.07 4.66 3.23 7.63 4.79 6.31 6.25 4.72 2.33 7.69 6.87 6.63 8.01 6.83
"24" 3.69 7.83 5.05 1.05 5.11 3.66 5.83 3.84 5.05 2.58 6.59 5.21 3.42 -1.62 3.55 7.06
"25" 3.18 3.59 1.51 8.73 6.52 3.52 5.71 8.67 4.36 5.35 5.8 3.78 2.22 2.06 2.41 4.41
"26" 6.5 5.55 1.47 3.91 3.92 4.24 4.07 5.51 6.38 8.08 3.81 4.41 1.84 5.74 5.6 3.83
"27" 0.22 6.99 2.72 5.64 5.82 6.28 3.49 4.86 6.97 9.4 7.26 7 7.09 3.68 4.06 4.52
"28" 3.35 3.79 2.12 5.09 5.73 6.34 6.23 8.4 4.98 5.04 0.66 2.83 5.03 3.67 5.34 6.28
"29" 7.38 6.23 3.13 6.09 4.72 6.57 7.47 2.43 9.17 1.06 5.97 5.49 2.61 4.93 5.57 5.09
"30" 0.8 3.79 2.53 4.58 4.44 5.3 6.8 3.85 2.21 6.69 5.21 5.97 3.93 8.27 2.91 3.49
"31" 7.3 0.84 6.21 7.74 4.89 2.85 4.71 3.49 6.99 6.14 1.58 3.25 7.29 5.51 7.14 1.99
"32" 8.08 6.93 7.88 2.72 7.98 5.74 8.41 4.86 1.21 6.84 7.25 2.68 8.24 5.69 5.62 4.48
"33" 5.5 7.3 5.89 6.78 3.99 5.92 4.9 5.74 3.46 3.41 5.23 1.3 4.35 7.7 8.32 4.55
"34" 2.86 2.52 2.96 5.83 6.24 4.1 5.31 6.05 5.29 7.2 5.27 7.83 7.94 9.24 4.92 3.88
"35" 5.26 5.32 4.15 4.26 4.83 10.36 4.91 4.84 4.02 2.93 2.31 4.92 3.77 4.36 8.07 6.68
"36" 6.12 4.8 6.37 6.67 6.79 5 1.59 4.07 3.66 1.78 6.02 5.85 8.35 2.05 4.74 6.5
"37" 5.87 5.74 6.4 2.14 5.98 2.72 8.09 6.62 7.51 5.06 5.53 6.69 2.92 2.02 5.98 2.47
"38" 3.48 4.16 2.78 1.84 5.74 6.92 6.87 4.33 7.31 -0.09 4.12 2.24 5.02 4.8 3.75 5.39
"39" 7.08 5.1 4.19 3.59 6.02 2.53 2.56 5.7 4.41 3.31 7.01 8.89 5.7 8.94 4.29 6.83
"40" 6.51 7.04 5.87 6.12 4.12 3.13 5.07 7.9 4.81 5.28 3.6 6.77 3.33 5.84 4.63 3.91
"41" 6.95 5.38 -1.51 8.09 5.27 4.12 3.84 6.56 3.48 5.49 5.27 4.91 5.83 6.35 7.66 0.82
"42" 4.64 5.74 3.48 6.88 5.42 1.94 3.63 6.8 6.14 6.48 3.91 6.41 5.4 7.12 0.25 2.11
