"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48"
"1" 1.37 5.45 7.51 5.66 6.8 6.48 6.64 3.59 8.05 4.49 6.16 -0.39 3.18 7.02 3.44 1.34 5.49 4.47 3.38 2.44 7.68 4.12 6.69 4.17 4.07 4.77 4.3 5.54 8.3 4.64 2.31 4.89 3.87 7.63 10.67 6.36 0.63 4.71 5.61 3.29 4.67 4.59 3.23 5.16 3.96 7.01 2.28 5.7
"2" 7.56 11.28 7.11 2.73 5.18 4.3 1.69 2.31 3.88 6.49 5.12 5.67 8.94 4.39 4.36 0.82 4.3 3.93 5.79 5.42 5.9 8.08 4.54 2.28 3.71 5.2 4.98 6.34 3.27 5.24 4.67 5 4.91 4.62 6.64 3.96 2.7 6.37 4.41 4.55 2.14 1.23 1.93 4.99 5.18 7.37 5.79 4.7
"3" 3.18 6.28 6.53 3.56 3.02 3.38 6.39 7.91 4.97 2.56 6.95 0.82 3.53 3.47 4.82 5.37 9.65 3.19 2.37 6.63 2.32 5.74 4.65 5.58 7 2.36 4.67 6.88 4.84 7.06 6.63 4.23 6.62 5.16 7.08 4.01 6.97 1.41 4.9 3.64 3.66 4.55 6.21 3.15 0.35 3.45 3.52 6.46
"4" 7.87 1.39 3.63 4.43 3.53 8.44 5.06 5.69 3.84 6.23 1.64 6.96 1.87 7.34 2.61 2.03 6.36 4.58 4.96 4.18 4.44 4.48 4.75 5.11 6.06 5.68 4.2 3.66 4.4 6.46 7.73 3.17 7.03 7.29 5.44 6.04 4.6 6.14 3.56 5.02 3.24 4.04 4.76 2.18 5.63 7.03 4.02 0.79
"5" 5.24 8.27 5.31 4.12 3.89 3.81 4.84 4.28 5.02 4.1 3.29 2.82 4.89 3.77 2.16 4.96 7.98 4.4 4.98 0.89 9.84 7.61 3.34 6.24 9.31 5.86 6.03 4.18 3.77 3.31 8.38 5.81 9.31 1.01 5.13 5.64 4.06 2.18 2.35 4.44 4.44 6.9 3.79 2.65 3.1 6.4 2.74 2.4
"6" 7.75 2.97 6.75 5.43 5.7 4.14 3.46 5.44 6.2 3.89 4.47 6.23 4.67 5.26 5.63 3.25 3.51 7.55 2.44 7.71 2.05 7.09 6.36 6.04 5.1 4.84 6.54 3.88 3.92 4.33 6.49 4.15 6.05 9.26 3.41 7.02 7.41 4.28 3.22 6.36 7.36 3.49 6.22 4.88 3.31 7.41 5.41 5.21
"7" 9.43 4.39 2.24 7.01 4.69 2.37 5.36 7.72 5.65 7.56 6.78 0.63 5.66 3.31 3.4 5.07 2.08 4.99 4.34 3.79 5.28 7.79 4.58 5.48 6.51 5.43 3.03 5.37 4.75 6.98 4.39 1.96 8.31 2.32 8.51 5.36 2.43 0.88 4.06 5.14 4.99 5.8 4.76 7 4.95 5.11 4 4.67
"8" 3.6 2.76 6.4 7.07 2.92 5.74 7.32 2.29 6.28 -1.11 4.42 2.65 1.34 2.52 4.47 5.57 6.46 7.32 5.35 5.18 3.42 5.85 5.29 3.06 6.1 3.8 6.51 4.53 4.02 3.85 3.73 6.28 8.42 8.64 3.26 7.61 2.25 4.64 8.22 5.45 0.91 8.06 5.44 6.37 4.41 5.62 3.67 5.48
"9" 7.75 4.3 6.1 5.42 6.24 8.06 6.2 5.65 5.78 3.48 3.33 3.88 4.91 7.12 5.63 1.76 7.46 4.03 7.52 5 7.62 6.09 8.23 6.9 5.45 6 3.81 5.75 5.95 4.21 5.03 4.58 6.32 8.56 5.08 9.26 6.63 6.38 4.49 5.62 3.01 2.61 7.17 3.76 2.01 0.05 2.42 5.39
"10" 4.07 1.7 4.58 4.38 4.11 5.69 3.02 9.22 7.47 5.82 3.53 3.3 1.97 6.53 4.03 3.46 2.04 -0.83 3.52 4.35 5.19 2.69 1.8 3.75 2.5 0.56 8.08 2.83 2.56 3.03 8.34 5.12 1.56 5.37 3.99 5.46 3 5.35 4.16 5.36 3.99 5.58 6.47 4.84 4.12 0.19 7.87 0.7
"11" 6.79 3.61 6.15 4.89 3.53 6.33 3.31 5.69 3.56 6.02 4.27 2.02 1.62 3.22 4.54 6.74 1.23 7.56 4.3 3.72 9.92 3.55 6.07 5.63 8.51 6.27 4.35 4.04 5.8 5.76 8.32 5.69 4.31 7.13 6.34 1.09 2.65 4 7.5 5.41 5.78 8.29 4.37 4.97 6.27 3.98 3.96 5.07
"12" 7.33 7.08 5.74 2.49 7.65 4.87 4.68 5.17 2.66 2.16 7.14 4.43 1.36 8.92 5.58 -0.93 7.02 8.81 6.88 4.67 9.36 5.26 8.56 5.6 2.05 5.03 8.79 4.48 8.53 6.22 5.47 7.13 2.2 0.31 1.64 6.5 2.98 5.93 9.65 5.51 4.75 6.61 8.63 2.41 2.19 6.17 5.66 3.9
"13" 6.14 4.26 6.04 7.49 2.84 5.41 8.12 0.89 4.87 6.32 4.06 5.55 1.95 3 4.23 3.42 8.14 3.35 4.01 5.42 8.56 6.28 6.8 5.28 5.31 3.76 8.06 4.91 4.54 4.23 4.13 4.8 5.41 3.19 6.05 2.2 6.46 7.39 5.66 6.17 4.69 5.16 8.52 3.31 6.72 5.38 2.49 7.04
"14" 6.84 6 9.29 4.4 7.3 8.1 4.19 2.72 4.07 8.84 3.04 5.5 5.21 4.27 3.37 3.05 5.21 5.14 4.16 8.42 0.53 5.82 4.94 5.73 8.09 4.29 2.03 6.54 4.74 0.68 6.92 6.59 4.63 4.56 8.25 6.27 9.06 6.63 6.55 7.07 2.5 7.07 4.59 5.78 4.35 3.58 6.03 3.67
"15" 5.51 3.49 4.01 8.71 6.44 8.56 5.19 4.67 7.38 4.67 7.04 2.71 6.26 6.11 5.51 2.98 3.55 3.89 6.25 1.18 6.79 5.2 6.45 4.79 5.22 -1.14 5.73 5.43 3.35 4.74 4.39 4.93 5.88 6.1 5.09 6.29 5.78 3.9 5.61 6.69 6.29 5.86 5.42 4.09 5.22 5.06 6.13 4.4
"16" 3.87 6.41 5.51 6.82 4.51 4.5 8.27 3.47 7.16 4.58 5.52 6.59 5.59 4.05 8.55 2.72 3.17 -0.23 5.99 2.7 9.73 7.11 6.34 6.78 1.42 4.96 1.77 4.32 6.69 1.81 5.53 8.85 2.65 3.12 7.55 7.21 3.41 4.3 5.12 5.38 7.49 5.33 5.33 4.81 6.01 7.04 2.86 6.49
"17" 5.67 6.35 1.11 -0.71 5.06 5.31 6.4 3.74 8.76 2.45 3.89 5.36 7.99 3.66 4.99 7.15 2.86 6.64 3.91 6.34 5.89 7.09 5.75 4.75 3.92 7.13 6.26 5.54 4.83 6.1 4.93 8.57 3.76 2.24 4.02 6.67 4.32 6.6 1.23 5.33 9.39 3.95 5.12 0.99 3.34 6.5 4.59 3.99
"18" 4.87 7.78 5.54 2.86 7.94 4.96 2.8 7.68 7.29 3.07 6.82 5.06 8.08 7.51 1.37 9.66 7.1 6.1 4.25 0.01 4.23 5.93 3.32 2.94 3.58 8.19 7.5 5.37 5.31 5.34 5.11 5.56 3.85 7.16 3.71 3.24 5.45 7.7 2.66 2.94 5.74 8.8 4.63 4.29 5.07 2.93 4.04 1.75
"19" 7.91 6.51 2.13 5.01 4.04 6.61 5.96 4.32 6.26 5.32 2.97 4.24 2.25 10 5.67 -1.25 6.62 5.86 6.24 3.35 3 4.47 6.87 5.85 4.35 5.46 5.32 6.08 6.51 4.97 6.67 4.28 3.8 2.67 2.68 5.14 5.18 7.86 5.12 6.64 7.55 4.13 7.96 5.4 6.96 7.17 6.13 4.74
