"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80"
"1" 4.49 8.37 6.9 5.82 1.97 5.06 6.26 5.71 4.21 5.58 3.72 4.67 7.49 7.11 6.07 2.59 5.92 4.21 6.36 2.38 6.06 6.28 3.92 5.62 4.03 7.09 5.5 5.4 3.91 4.97 2.6 3.83 7.96 1.45 6.15 6.02 5.9 7 0.55 5.47 2.35 2.73 4.53 3.13 3.12 3.92 7.13 5.15 4.83 11.12 4.71 4.48 4.09 1.43 3.81 6.48 7.41 3.01 4.49 5.41 5.3 1.17 7.09 6.23 3.03 2.59 5.6 3.04 7.18 4.81 8.72 4.7 4.27 6.7 4.33 5.79 8.47 7.76 5.86 4.16
"2" 6.7 7.28 8.51 7.95 4.34 -0.9 7.54 7.38 3.77 -0.27 2.4 6.09 7.77 8.79 2.23 5.52 4.96 3.91 4.42 -1.96 7.14 4.67 1.92 4.77 3.82 5.88 7.65 5.15 2.71 6.69 5.54 4.13 8.03 5.95 6.12 8.33 4.2 6.71 2.92 7.45 4.58 4.45 7.81 3.72 7.91 2.62 3.26 4.11 4.43 3.53 2.96 3.88 4.53 5.44 3.15 1.14 3.79 9.84 5.75 2.12 3.18 6.79 6.04 8.84 4.57 4.5 1.83 1.81 3.92 2.27 1.19 7.29 5.13 6.92 2.54 3.43 6.06 3.65 8.82 6.18
"3" 8.45 1.08 4.5 5.55 5.79 7.21 3.52 7.28 7.35 6.09 5.12 6.05 6.72 6.29 6.83 10.08 7.79 5.14 6.84 3.9 2.34 2.96 4.5 1.83 4.95 5.64 5.44 5.34 4.09 7.47 2.78 4.54 6.32 7.88 5.6 4.63 5.97 6.65 4.02 5.92 7 5.75 5.39 7.24 3.86 6.02 8.37 7.72 3.36 2.13 3.91 8.69 4.42 5.71 4.1 5.56 8.02 6.81 2.23 4.29 4.72 4.4 6.71 3.95 5.12 7.15 2.06 2.59 6.65 3.56 5.4 7.99 4.06 5.12 3.29 5.8 3.75 8.14 1.48 4.78
"4" 3.96 2.66 5.85 3.86 6.31 3.43 3.71 0.81 6.32 4.99 5.33 2.67 -0.29 3.61 5.63 6.98 5.79 2.23 3.01 4.43 5.97 4.27 1.57 6.71 4.99 6.33 6.5 4.98 4.91 8.65 3.91 9.46 2.63 3.58 7.03 1.6 4.44 3.28 3.64 7.87 8.36 5.19 5.15 4.06 0.93 2.75 4.16 7.03 5.17 3.61 3.04 5.04 5.53 4.33 -0.28 2.57 6.56 6.53 4.38 4.89 5.35 6.31 7.47 5.25 5.91 3.82 7.18 2.52 3.16 6.25 3.79 4.7 2.24 4.78 5.84 8.43 6.15 6.29 5.98 4.63
"5" 2.15 5.15 9.03 2.64 8.09 2.24 8.78 4.39 4.89 3.81 4.32 1.98 5.46 7.94 7.58 3.61 4.54 2.46 3.61 1.49 7.52 6.13 2.01 5.02 5.1 2.2 5.57 5.32 4.06 2.19 3.2 4.06 3.78 2.88 4.15 5.54 5.37 4.22 5.59 3.16 3.96 8.29 6.33 7.84 6.86 2.81 4.58 0.73 8.94 3.93 7.24 5.92 5.51 3.25 5.83 9.38 3.54 5.55 7.13 5.46 -0.6 2.54 2.01 1.62 5.19 3.55 8.26 1.2 6.35 4.51 4.09 4.6 6.53 8.52 4.32 4.79 9.57 7.24 4.53 4.13
"6" 6.6 6.13 3.63 5.2 4.83 2.36 4.02 7.04 5.76 6.13 3.28 4.92 8.43 3.85 6.59 -0.01 6.74 2.89 1.23 1.81 4.08 7.55 7.17 6.09 6 3.59 5.25 8.47 1.95 5.32 5.81 5.72 4.56 5.16 1.48 5.21 6.53 6.27 5.68 4.14 7.18 3.08 2.91 6.54 6.56 3.01 3.31 3.99 1.95 4.49 6.79 4.22 6.66 7.02 5.07 3.61 3.74 4.88 0.63 4.28 3.3 5.63 6.91 6.08 3.83 4.33 5.8 4.79 5.59 7.29 6.86 5.53 9.99 6.6 6.78 4.64 2.57 4.76 5.79 5.41
"7" 8.55 4.94 2.98 6.72 5.08 1.09 1.25 5.27 5.23 4.86 2.21 2.26 6.55 4.51 5.89 6.17 8.19 2.17 5.12 4.83 3.05 1.27 7.24 4.21 2.05 4.42 7.05 5.4 3.35 2.57 3.34 1.98 3.29 5.12 5.47 3.67 5.58 6.87 5.88 5.59 5.02 4.55 3.85 0.76 3.73 2.33 5.27 4.98 4.61 6.08 2.93 4.58 7.16 5.74 2.12 4.46 4.53 5.41 5.77 3.46 4.46 2.08 5.02 4.2 5.11 4.65 6.09 3.89 4.52 3.42 5.74 4.45 3.09 5.02 6.52 7.97 2.91 6.16 5.94 4.43
"8" 3.16 5.43 6.88 3.84 6.23 4.44 6.37 5.95 8.03 5.42 1.78 8.39 2.76 2.9 3.57 1.57 7.47 4.99 5.24 1.25 5.9 6.76 4.03 4.32 4.51 6.91 7.61 3.29 2.4 5.39 0.94 5.3 3.2 4.84 2.97 2.3 3.71 6.9 4.85 3.25 4.48 8.86 8.35 2.58 8.7 5.99 3.62 9.16 6.51 4.63 5.56 3.12 8.23 5.53 3.96 0.8 5.34 3.09 7.84 5.25 3.92 4.58 2.26 2.98 6.83 3.84 5.11 7.97 3.7 5.67 4.03 3.83 6.85 5.81 3.22 5.95 4.81 5.91 5.4 8.29
"9" 5.03 5.27 0.68 6.46 4.52 3.46 3.45 3.19 5.65 3.85 5.85 0.82 4.97 3.57 6.82 6.39 3.96 5.08 8.75 5.4 6.09 4.42 3.18 4.55 2.72 5.1 4.92 3.46 4.55 5.3 4.41 6.01 5.87 4.16 3.76 7.1 5.48 8.76 7.18 7.89 6.7 3.73 6.98 1.24 6.5 2.26 4.72 4.04 5.25 2.57 4.79 4.21 5.82 -0.09 4.09 6.8 4.63 7.61 3.8 3.6 3.86 7.61 2.88 4.26 7.13 1.61 7.01 4.22 4.1 6.48 4.02 4.1 3.54 6.1 3.47 7.38 5.5 4.42 7.22 9.2
"10" 3.08 6.49 4.85 5.04 6.22 5.73 6.85 6.31 6.53 7.16 4.51 5.19 7.47 2.87 6.95 6.32 5.06 8.93 6.32 3.43 5.8 4.52 3.47 3.25 2.1 3.27 5.39 2.78 2.19 3.49 5.96 7.47 3.67 0.02 3.48 1.61 3.96 6.78 6.28 2.9 4.83 3.84 -0.23 8.31 3.85 9.98 6.99 7.26 6.16 7.48 4.39 5.08 3.72 8.42 3.39 2.97 -0.4 6.35 5.32 3.47 6.83 7.64 6.72 4.61 5.87 6.38 3.02 5.18 3.35 2.14 0.8 3.04 5.13 6.08 7.18 9.54 5.56 4.4 2.6 5.89
"11" 4.89 5.04 1.7 5.01 6.15 3.12 5.96 3.62 6.57 6.27 5.94 4.46 5.85 5.06 7.75 8.15 6.56 5.23 5.55 6.31 5.9 6.42 4.15 5.25 4.84 6.13 7.38 5.42 6.74 6.11 4.96 7.81 0.53 4.77 6.71 6.33 4.99 2.13 5.39 3.05 2.54 7.21 2.41 3.58 5.27 2.32 4.81 2.93 5.05 5.35 3.09 3.8 4.32 3.04 5.1 4.54 5.94 7.66 2.2 4.08 4.05 5.27 4.52 6.73 3.58 5.34 3.87 4.25 2.74 6.54 1.84 5.32 3.69 3.74 6.2 6.48 1.98 7.68 5.3 5.86
"12" 6.33 6.62 6.03 2.18 6.46 1.57 2.22 1.42 9.74 6.2 3.78 5.21 3.34 2.89 5.88 5.35 6.24 6.6 -0.06 3.81 10.31 2.37 6.45 2.4 5 6.89 9.65 5.43 2.17 7.13 1.82 8.03 7.69 5.03 5.71 7.6 7.84 2.5 7.03 3.96 4.77 1.26 3.7 5.2 5.81 5.94 5.54 4.37 1.48 2.2 8.57 4.11 1.11 6.61 7.06 4.91 6.16 4.38 4.09 4.05 4.36 1.14 5.92 5.16 1.8 2.43 7.75 7.66 6.24 7.88 4.93 4.01 4.78 2.78 9.41 3.46 8.24 5.24 3.86 4.22
