"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64"
"1" 5.03 4.57 6.06 4.85 4.99 7.23 6.55 7.28 0.85 3.22 3.97 3.35 4.96 2.94 3.6 5.52 4.34 7.58 6.12 6.78 5.34 4.35 4.55 7.79 3.93 6.4 6.82 6.53 5.11 4.28 8.95 3.61 5.1 6.23 3.29 2.54 2.4 4.49 8.21 5.2 4.22 5.14 2.18 8.2 3.13 3.86 7.84 9.38 1.99 8.08 7.1 7.74 5.29 6.49 1.18 8.96 1.84 4.71 6.87 8.06 5.43 4.52 2.55 6.14
"2" 8.73 3.2 3.4 3.21 8.92 2.5 3.97 5.71 4.02 7.55 0.43 6.52 0.67 5.09 8.27 9.64 6.07 4.5 4.94 4.21 5.48 4.2 7.84 8.21 7.09 3.69 4.19 5.37 6.33 2.74 7.07 6.47 1.64 3.39 5.44 3.09 5.89 8.76 4.43 7.9 7.97 5.58 6.52 7.13 3.29 6.15 6.13 5.54 7.24 -1.28 7.93 1.41 5.87 3.08 4.92 6.45 3.03 3.83 6.83 7.27 6.35 7.46 6.71 5.33
"3" 7.11 6.09 3.15 5.8 3.77 3.13 5.8 5.58 4.05 4.07 4.68 5.83 6.74 6 2.99 3.16 2.39 6.91 7.08 3.12 3.5 6.49 5.91 2.15 6.16 2.56 6.82 4.51 2.16 1.58 5.16 2.82 3.77 4.02 3.69 6.22 2.32 3.43 4.61 3.5 6.54 7.96 6.94 4.95 9.39 4.35 5.25 6.57 4.2 6.19 3.8 3.54 5.29 3.43 5.87 4.89 5.13 5.57 7.27 8.43 3.66 5.26 4.67 2.45
"4" 6.73 2.9 3.46 3.97 4.49 4.01 6.66 5.57 7.01 5.11 6.23 7.63 4.17 10.4 8.12 7.03 2.31 3.67 4.65 5.05 4.21 5.01 4.13 4.12 5.14 5.36 6.3 8.11 6.06 3.12 7.78 7.04 7.29 5.36 4.41 5.36 3.92 1.48 3.86 5.28 2.61 4.18 5.58 5.84 3.64 1.81 5.14 3.88 1.83 9.4 5.31 5.97 3.99 7.23 4.56 5.37 5.81 7.75 5.11 3.58 3.9 7.77 1.2 7.19
"5" 3.15 4.14 5.37 7.25 4.55 4.19 4.36 7.62 5.24 3.04 4.04 7.32 4.69 4 5.56 6.55 5.06 1.39 4.05 5.18 7.45 6.61 1.47 6.01 5.69 5.03 1.46 5.63 4.75 4.6 2.94 4.1 4.54 6.98 6.05 3.19 6.8 4.57 9.5 5.38 6.42 6.89 6.65 5.07 5.99 7.55 5.8 1.88 6.76 2.55 4.91 5.77 5.51 2.06 2.47 3.54 5.87 7.05 3.53 7.49 5.56 7.32 3.44 2.01
"6" 4.61 6.44 4.07 4.33 6.94 9.76 4.08 3.35 5.35 3.56 4.06 2.24 3.55 5.3 0.9 5.43 3.93 4.74 4.52 4.84 5.73 5.17 7.96 4.6 4.09 3.96 8.68 1.97 5.29 6.54 5.56 6.08 5.67 8.19 4.88 4.99 3.82 7.69 6.36 1.56 6.72 -1.97 4.22 3.36 5.47 1.37 6.21 4.44 3.36 5.11 1.88 3.61 6.99 3.2 3.26 3.65 4.19 5.34 6.18 3.84 1 8.44 8.73 4.53
"7" 0.6 3.9 4.33 5.24 4.66 5.12 8.14 9.7 0.76 4.59 6.63 3.55 3.94 4.17 2.69 6.88 7.95 -0.63 6 2.79 5.27 6.02 7.29 5.89 4.7 2.16 4.3 5.12 3.93 7.4 5.55 4.95 8.61 2.31 1.72 3.13 5.16 7.15 4.72 4.14 3.59 5.48 5.47 9.15 4.06 4.99 3.65 4.76 5.57 0.9 4.39 7.14 5.89 5.15 4.17 4.88 7.29 4.99 5.59 5.64 2.56 3.53 4.94 0.15
"8" 4.71 5.56 6.3 6.37 3.09 7.12 1.15 4.06 3.56 5.3 6.85 3.66 5.38 7.46 7.59 3.33 8.86 8.9 7.71 9.3 7.1 8.19 6.38 8.24 4.91 5.43 4.39 6.85 2.29 7.52 4.71 4.14 4.09 4.49 5.21 2.47 6.53 5.92 4.51 5.3 5.41 6.51 7.45 4.42 5.41 4.93 4.08 3.53 7.2 1.68 7.22 2.01 4.47 4.67 5.4 6.74 4.95 5.89 3.83 6.15 8.1 5.95 5.94 8.53
"9" 4.41 3.86 2.87 6.34 5.47 6.45 6.83 5.73 2.96 7.43 6.19 4.09 0.97 5.89 5.94 8.14 6.08 1.2 2.09 6.27 3.98 7.18 7.5 5.04 2.76 4.37 5.91 5.97 3.9 7.28 5.3 4.11 6.23 7.07 9.05 6.73 7.4 8.33 6.38 4.83 6.35 2.32 3.57 2.22 4.81 10.74 6.06 2.8 6.27 4.93 5.92 7.73 6.57 6.24 3.36 3.99 6.6 3.17 3.51 3.01 5.36 -0.13 7.13 5.7
"10" 6.18 3.1 4.95 8.33 4.67 4.19 4.95 8.04 6.09 6.38 3.02 0.32 3.65 7.83 6.56 4.04 4.97 4.26 3.49 0.77 4.78 4.24 6.75 8.96 6.56 7 8.58 2.07 4.46 3.8 5.2 4.93 1.64 4.36 8.08 4.82 6.39 5.13 2.78 7.56 5.95 8.92 3.86 2.06 1.37 5.84 7.87 3.09 6.9 4.33 5.15 5.79 2.44 4.9 6.43 4.08 2.67 4.96 3.2 4.78 5.28 6.8 1.36 3.48
