"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54"
"1" 5.07 2.6 3.31 5.59 3.13 5.87 8.02 6.57 7.22 7.44 8.67 9.29 4.1 5.11 6.77 6.44 6.09 6.37 6.3 3.6 3.39 1.98 7.43 7.15 3.16 2.53 4.31 9.59 3.03 5.68 0.86 6.51 6.2 1.48 4.97 4.84 3.25 6.87 1.67 3.82 5.2 5.93 2.57 5.41 4.27 5.8 4 5 1.22 5.73 4.48 11.51 2.41 0.3
"2" 5.48 4.8 4.5 2 4.88 5.87 6.56 3.77 4.6 3.06 4.01 8.27 7.04 7.28 1.61 6.1 1.97 4.71 4.72 7.11 5.88 8.39 4.38 2.41 3.23 7.36 7.92 4.57 7.01 7.04 6.83 1.88 2.51 6.29 4.83 3.01 1.8 6.48 4.09 4.97 3.8 4.51 4.61 6.91 3.56 6.96 2.42 1.69 3.77 7.5 5.64 4.11 7.71 7.9
"3" 4.31 5.94 2.85 6.81 1.96 6.24 6.63 7.08 3.67 -0.62 3.35 8.36 0.99 5.46 7.51 1.91 4.48 6.22 5.76 5.22 1.74 5.8 5.61 5.78 6.74 4.64 3.08 7.9 8.66 5.1 9.43 2.86 4.93 5.07 8.74 4.79 4.96 5 5.34 1.46 4.03 3.55 6.74 7.52 4.65 5.04 3.08 5.96 6.5 2.78 3.76 1.17 7.26 5.54
"4" 8.04 5.45 6.52 4.52 5.96 5.39 8.08 7.58 7.24 5.45 5.04 3.91 -0.4 0.99 7.25 3.47 3.28 4.37 3.46 5.85 6.47 6.35 5.85 3.54 3.29 4.29 4.49 2.66 10.11 4.29 3.76 4.65 6.6 3.52 6.24 8.06 6.77 5.75 5 2.31 4.71 4.22 7.39 5.72 6.14 4.78 1.99 5.09 7.9 -0.04 5.94 6.65 2.73 7.61
"5" 2.2 4.2 6.56 2.23 2.81 5.16 2.97 3.38 3.95 3.52 3.68 4.33 7.95 4.18 7.9 5.62 5.27 5.72 4.28 7.12 6.31 5.09 7.04 3.73 6.09 3.65 6.76 4.04 4.86 4.42 3.64 7.01 5.5 6.22 2.41 1.64 3.49 6.86 7.17 7.26 6.83 6.33 3.8 6.98 7.23 3.87 4.19 6.53 4.11 1.37 4.57 4.2 4.74 7.85
"6" 4.64 6.96 4.27 6.83 0.34 4.31 4.65 5.27 7.41 5.15 7.64 3.94 8.77 7.29 5.76 6.21 3.91 2.95 6.12 6.06 7.69 5.77 5.46 5.11 5.89 5.17 6.02 6.56 10.65 4.16 5.44 4.96 7.07 7.12 3.54 4.42 2.67 5.4 8.63 5.51 5.58 4.88 6.79 5.36 4.76 8.38 8.95 9.62 4.83 6.31 5.74 3.58 5.1 1.67
"7" 3.1 5.23 4.46 5.27 5.13 7.55 5.13 8.76 7.47 4.9 8.03 8.63 3.07 8.79 6.61 6 4.01 4.15 6.15 5.76 3.35 2.36 6.59 4.19 4.28 3.86 4.05 6.34 4.88 6.24 3.52 6.53 2.84 4.39 3.57 1.98 6.5 7.14 4.11 5.11 7.44 5.03 4.43 0.4 6.12 1.97 5.55 5.21 3.5 5.73 3.78 1.15 3.09 3.69
"8" 5.03 1.89 6.19 3.32 3.96 2.11 4.5 3.68 3.96 7.37 5.43 5.26 8.46 7.3 10.3 4.57 7.8 5.5 8.02 6.72 4.98 5.32 2.69 4.55 5.7 6.96 6.95 3.36 5.74 3.23 5.65 8.59 6.03 6.56 7.36 3.34 4.58 8.05 7.81 7.07 4.16 5.32 6.34 3.74 3.21 5.68 8 8.45 3.42 6.25 5.84 5.76 4.26 3.51
"9" 6.03 6.62 6.33 8.61 6.57 5.06 2.43 3.23 3.74 3.95 6.05 9.54 5.88 5.4 4.29 2.59 5.65 8.43 7.44 6.68 6.92 3.58 8.95 7.78 2.38 3.94 2.98 4.61 3.4 3.67 5.66 6.37 -0.1 6.41 4.31 4.02 6.89 6.99 7.51 6.61 4.84 3.56 2.78 7.23 7.49 6.79 2.74 2.52 5.84 5.06 6.02 4.45 3.1 5.16
"10" 6.04 4.07 5.6 3.22 1.97 5.59 8.57 2.84 3.93 6.65 7.2 8.22 8.26 5.49 0.69 5.26 1.28 3.31 5.14 4.41 5.01 8.21 5.5 4.34 10.2 6.56 5.13 2.09 7.01 3.36 2.7 7.42 7.64 4.07 2.66 2.34 5.13 2.86 5.73 5.95 5.61 5.23 2.34 7.12 5.3 7.91 8.12 8.34 3.19 10.19 4.62 4.4 4.69 4.15
