"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28"
"1" 8.32 3.04 6.54 9.56 4.06 4.94 5.56 4.65 5.78 6.51 3.24 1.69 4.36 5.15 5.42 5.54 2.61 6.67 7.84 6.75 6.82 4.84 3.59 3.92 8.76 8.28 2.31 4.21
"2" 5.76 4.08 6.52 6.85 5.53 5.83 5.48 4.71 4.26 4.46 5.56 5.19 4.35 3.64 4.76 4.57 5.4 4.57 4.29 2.74 2.18 5.19 6.49 3.37 5.17 3.15 5.82 3.09
"3" 5.36 4.72 5.65 2.86 3.99 4.76 3.39 7.44 6.23 2.94 4.28 2.96 4.32 6.62 3.68 5.82 6.64 5.05 5.94 4.58 4.78 5.65 3.14 6.57 6.22 5.1 9.08 3.58
"4" 4.51 7.81 2.93 5.37 2.22 4.69 7.93 5.07 2.96 2.84 5.55 2.44 5.28 4.52 6.96 7.05 3.32 5.08 4.71 5.43 4.38 6.59 4.73 6.73 6.58 7.23 3.28 6.41
"5" 1.39 5.35 7.41 3.38 1.51 8.6 8.9 6.15 4.03 4.21 4.57 5.66 3.78 5.69 5.56 5.65 8.28 4.2 5.63 1.78 3.39 4.51 8.64 3.92 8.39 5.67 7.23 5.91
"6" 6.22 5.84 2.45 6.34 8.65 9.18 3.2 6.2 7.65 1.97 5.26 8.13 5.24 5.39 0.46 4.55 5.15 1.73 5.93 4.01 5.76 3.19 5.31 4.16 5.41 4.99 1.72 5.28
"7" 2.99 3.67 4.87 2.66 4.94 5.28 2.66 2.96 8.24 2.68 6.06 5.57 5.4 8.31 6.56 3.43 3.46 2.78 6.73 5.09 4.02 3.69 7.68 8.23 2.03 4.08 5.92 1.86
"8" 6.27 5.27 5.56 6.37 4.33 5.06 3.6 2.37 4.93 4.93 4.46 7 5.14 4.04 5.22 7 5.04 4.89 5.44 7.05 6.77 5.79 6.9 6.6 5.86 0.96 3.2 7.7
"9" 5.84 6.19 6.95 4.77 2.07 4.25 7.72 5.49 4.8 6.96 2.95 3.86 8.13 6.88 4.97 4.78 4.89 4.05 3.43 6.95 4.41 2.12 6 4.62 5.89 5.03 6.34 5.36
"10" 6.57 6.16 6.31 4.77 2.49 5.52 5.99 3.06 5.54 6.25 3.45 3.15 5.06 2.64 6.25 7.65 7.26 2.93 5.27 6.98 5.54 4.31 2.1 3.02 5.37 8.83 6.02 4.23
