"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"1" 8.04 4.64 7.25 4.15 4.24 6.2 1.91 4.55 4.49 4.89 0.89 3.26 1.72 6.05 5.44 4.86 4.94 5.17 6.08 8.15 3.65 4.69 4.16 3.82 4.91 10.32 2.64 2.48 5.53 7.86 6.19 5.81 2.38 1.39 5.15 6.84 6.69 5.49 3.28 4 3.96 5.27 4.23 8.5 8.11 7.79 6.61 1.99 5.38 1.93 7.28 3.17 3.84 1.91 3.63 3.88 6.76 3.76 5.72 6.91 1.14 3.73 5.49 7.24 3.64 2.25 4.55
"2" 5.98 3.85 5.25 6.51 5.78 6.52 3.39 5.09 9.44 7.19 5.38 4.59 3.88 3.96 8.92 3.35 1.94 6.99 6.58 1.84 3.33 6.74 2.35 12.7 4.27 3.53 4.85 7.89 -0.27 9.4 9.19 4.56 3.25 2.55 5.94 4.65 6.92 5.73 7.64 7.55 7.76 3.11 5.22 6.25 3.74 1.83 -1.17 6.52 4.16 3.71 8.65 5.63 2.48 5.84 6.76 6.27 5.87 6.08 2.19 6.89 4.98 4.39 4.97 5.11 2.7 3.06 5.81
"3" 7.14 6.87 4.01 3.17 5.75 4.12 8.69 5.4 4.77 4.38 3.85 7.57 0.22 2.37 7.82 6.13 4.52 3.57 3.57 6.78 7.23 4.34 5.95 4.46 6.4 5.06 6.43 8.16 6.24 4.54 1.4 9.19 5.59 7.17 1.98 2.17 6.78 2.81 7.29 3.4 7.51 5.72 3.22 0.87 1.56 5.85 3.41 4.82 6.64 5.76 2.91 6.04 5.06 5.21 1.87 6.16 2.57 4.04 6.01 3.9 5.72 4.54 4.29 1.49 6.02 2.83 4.18
"4" 6.44 3.78 2.1 7.2 3.15 2.51 2.41 6.82 6.29 5.97 4.17 2.86 3.46 7.43 5.14 4.41 4.54 7.8 3.65 3.18 8.87 4.1 7.36 3.68 5.86 7.55 6.01 5.54 6.64 4.73 2.44 7.37 2.53 3.67 5.57 6.61 5.76 4.24 5.47 4.89 4.24 4.93 5.54 7.03 5.22 3.95 3.77 6.56 7.44 2.62 8.29 8.73 1.62 4.27 5.85 5.13 3.84 2.17 5.54 3.96 5.43 4.48 4.78 7.81 3.16 6.39 7.15
"5" 4.69 4.95 4.78 4.13 6.78 5.22 6.82 2.15 4.84 8.01 3.56 6.98 5.32 5.42 3.88 4.47 5.92 6.48 5.31 4.17 4.72 6.42 3.41 4.99 3.4 1.54 7.83 4.04 8.93 6.93 7.1 5.17 4.08 6.21 7.32 6.39 4.02 6.13 2.4 6.77 5.79 4.89 5.08 4.86 4.98 5.25 5.56 7.97 5.2 2 3.73 1.26 5.92 3.47 8.35 4.37 3.65 4.73 3.23 6.84 4.8 5.8 3.02 1.86 2.36 1.69 1.94
"6" 4.63 4.34 5.6 6.33 7.45 3.6 3.96 0.39 2.53 5.18 5.67 2.09 6.57 7.72 9.56 4.14 2.16 4.02 6.54 7.09 4.68 4.29 6.36 6.06 5.06 4.27 5.12 4.53 8.11 2.6 5.08 5.03 7.43 5.4 5.34 3.53 2.91 7.99 4.23 1.77 7 3.81 9.11 2.36 9.01 8.46 8.85 1.37 3.95 6.92 5.54 3.28 7.82 3.15 4.53 1.87 7.26 4.1 5.23 5.36 6.04 7.42 4.87 5.21 4.19 5.73 3.31
"7" 5.24 3.56 3.45 4.76 4.35 1.33 6.03 3.21 4.08 7.73 8.04 1.56 4.38 7.47 6.46 4.23 5.57 4.46 3.69 5.98 5.99 7 7.95 2.4 1.68 2.93 1.52 6.48 7.91 6.43 6.85 4.81 4.05 7.42 6.84 4.74 6.71 3.17 1.19 2.66 1.16 3.7 6.52 5.55 5.16 5.96 5.72 7.91 6.9 6.62 3.54 7.25 5.18 5.77 6.06 2.08 4.87 4.61 5.4 5.12 8.65 3.57 4.76 3.57 3.73 8.14 2.82
"8" 3.44 4.57 8.42 5.77 5.25 2.3 2.95 4.93 3.61 3.85 6.2 5.63 5.24 7.39 4.95 3.52 0.53 2.92 6.56 6.91 6.48 5.35 5.05 -0.76 3.42 1.73 2.79 2.67 5.83 5.9 2.93 3.38 1.5 7.38 1.12 4.11 2.79 5.54 4.59 7.66 3.44 9.26 2.02 2.98 3.48 4.65 4.84 8.21 5.08 3.56 3.82 7.36 3.02 4.09 5.92 6.78 5.13 3.27 5.25 1.49 5.17 2.78 4.93 5.86 6.33 5.21 5.91
"9" 7.69 4.88 4.18 5.82 6.65 3.8 5.41 8.6 3.13 8.8 6.22 2.56 3.69 6.42 4.45 6.69 6.18 7.29 7.05 6.77 2.11 3.63 5.84 5.03 6.65 6.46 6.98 5.22 4.85 2.21 3.06 1.56 6.74 7.83 6.12 7.91 7.39 1.53 6.18 7.62 4.48 3.09 5.25 5.52 7.18 7.66 5.87 4.31 6.49 3.62 3.14 4.21 3.45 3.11 2.59 3.29 7.12 5.97 5.66 6.13 6.57 5.56 10.39 4.64 3.47 0.26 8.53
"10" 5.59 5.28 7.91 6.02 5.77 3.12 4.94 2.81 6.26 6.62 6.76 5.15 5.34 6.11 4.74 6.46 5.9 4.2 4.92 5.36 4.66 3.74 9.09 5.7 1.38 4.79 8.96 7.05 4.99 5.66 3.66 3.63 0.58 3.07 10.01 4.72 4.44 7.66 2.4 5.93 3.92 6.39 4.3 4.94 6.58 8.74 0.27 5.38 7.32 5.25 7.03 5.55 4.03 4.34 4.48 6.34 3.58 6.22 3.33 7.46 4.85 5.28 6.05 3.09 6.32 7 3.02
