"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"1" 4.14 7.38 8.34 7.83 4.49 8.41 6.29 5.33 2.16 2.42 5.26 4.83 2.58 5.91 5.17
"2" 3.41 4.83 6.24 4.71 4.86 5.25 6.27 4.51 2 5.17 3.93 2.56 2.33 3.77 5.87
"3" 0.33 4.68 5.01 1.41 6.47 8.79 2.91 4.19 5.31 2.56 3.38 3.23 3.62 2.73 4.52
"4" 4.73 8.67 8.83 3.54 4.05 5.83 1.3 6.01 5.55 4.95 7.26 3.18 3.54 9.67 4.04
"5" 5.18 5.33 7.93 5.73 2.78 3.78 9.08 5.56 3.17 3.64 0.92 4.35 5.74 3.08 5.98
"6" 4.64 4.77 5.13 3.42 7.75 3.51 2.92 1.7 6.18 2.95 5.89 1.95 10.19 5.71 2.41
"7" 5.46 6.34 5.32 2.02 3.08 6.72 3.7 4.32 8.57 4.53 7.33 6.88 1.37 6.17 2.86
"8" 6.58 5.04 5.93 3.3 5.82 0.89 3.68 4.21 8.22 3.36 5.11 5.49 1.69 2.71 7.83
"9" 5.04 4.81 4.82 7.21 4.32 4.48 4.69 4.27 4.8 4.13 4.08 6.02 5.56 7.73 6.62
"10" 5.41 3.18 7.31 8.04 7.67 6.81 3.3 3.75 4.79 5.37 9.64 3.26 6.47 9.94 3.9
"11" 3.69 3 4.09 4.18 5.12 8.6 5.13 5.57 8.99 6.01 6.61 2.66 3.6 6.08 3.62
"12" 2.56 5.07 3.45 4.45 2.08 5.19 7.84 6.07 4.32 5.44 2.17 4.7 3.86 7.31 5.71
"13" 4.82 8.74 2.44 4.21 8.17 10.03 1.86 5.47 1.48 2.11 4.03 6.1 1.63 6.99 6.48
"14" 5.8 5.15 2.56 4.79 3.93 6.81 6.39 7.42 3.47 3.14 3.11 1.68 2.13 7.07 4.26
"15" 2.26 2.95 4.14 4.61 8.1 3.17 2.22 5.24 2.9 5.42 9.17 8.73 3.12 3.46 5.09
"16" 8.66 4.25 5.74 2.19 6.32 6.93 4.05 5.72 4.57 7.83 4.9 6.15 3.06 4 6.62
"17" 7.7 4.55 8.06 1.99 6.24 6.31 7.42 5.36 6.6 6.44 5.09 5.45 5.03 6.64 3.92
"18" 3.32 9.62 4.44 1.81 1.78 4.62 2.45 5.58 6.85 4.8 4.35 5.19 0.53 4.82 7.92
"19" 5.28 4.09 7.23 4.24 3.21 3.49 3.03 3.39 5.73 8.54 4.46 6.47 3.49 6.46 6.44
"20" 3.63 6.92 6.7 4.45 3.24 3.93 4.42 3.74 6.5 5.39 3.52 3.89 6.21 5.34 5.71
"21" 4.04 1.48 4.28 6.8 4.33 6.79 6.73 6.99 5.13 7.92 5.53 7.57 4.29 1.29 6.41
"22" 3.56 6.38 5.19 8.5 3.56 5.17 0.92 4.78 4.38 5.47 5.56 8.6 5.65 11.03 6.93
"23" 3.23 5.79 1.18 2.36 3.78 3.51 4.99 4.21 4.19 8.81 5.67 6.87 6.44 3.15 4.04
"24" 5.63 3.25 1.34 6.88 7.83 4.12 3.33 3.53 3.23 5.11 6.16 4.6 1.98 7.01 6.85
"25" 9.53 5.58 1.56 4.23 4.83 5.71 2.34 6.16 4.6 9.47 8.3 2.84 4.98 2.87 3.99
"26" 2.75 9.09 6.72 4.17 6.04 5.8 8.91 5.86 5.28 9.28 3.62 5.89 5.55 4.05 -1.01
"27" 6.76 8.15 5.03 5.11 7.18 4.6 5.29 8.64 4.55 5.44 3.07 3.68 2.31 3.72 3
"28" 6.03 1.98 4.09 4.5 4.19 1.99 7.12 3.35 7.42 6.22 6.12 5.91 5.06 2.25 5
"29" 5.72 1.37 4.67 3.53 4.88 4.63 2.65 6.55 3.52 7.43 4.7 3.66 4.81 5.99 4.9
"30" 8.44 6.9 3.93 2.58 5.79 6.87 1.91 6.21 6.39 5.31 9.1 3.04 9.44 5.1 3.51
