"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
"1" 7.61 2.55 5.53 5.44 4.56 5.92 6.89 4.05 5.6 9.32 5 5.27 3.38 5.1 1.19 4.72 5.34 4.3 4.57 7.15 5.26 7.78 5.6 7.28 7.44 4.62 4.34 7.56 4.1 8.24 3.07 8.18 4.01 3.29 1.18 7.43 4.82 5.87 5.29 6.39 5.59 4.64 6.43 3.43 2.55 4.53 5.71 2.77 3.57 4.28 -0.24 3.19 6.34 2.86 5.12 3.04 6.22 2.57 7.33 2.17 8.08 6.41
"2" 5.22 5.61 2.29 4.75 8.37 -1.18 7.59 8.01 4.83 5.88 6.14 8.27 8.26 7.26 6.8 3.04 6.25 2.69 5.36 5.16 7.32 2.27 6.83 3.26 5.06 4.2 2.46 6.2 3.59 6.46 8.66 2.66 4.53 7.3 3.77 3.26 3.71 5.23 5.56 4.88 2.81 4.6 5.77 5.53 1.73 7.23 5.46 3.04 -0.36 4.32 -0.26 8.65 4.7 5.81 4.97 1.89 4.4 7.55 3.44 3.8 -0.03 7.12
"3" 2.75 5.19 5.62 8.69 2.34 3.45 4.91 7.24 1.54 3.36 6.35 0.2 2.29 6.69 6.34 5.29 8.41 3.7 6.66 0.76 8.6 2.5 5.85 3.56 4.57 8.13 4.74 8.1 4.8 6.78 5.38 2.7 2.53 2.47 6.23 6.74 2.72 8.23 5.57 5.19 9.06 5.98 5.61 3.12 4.27 4.71 8.19 1.26 6.61 0.84 2.04 3.27 2.43 3.11 7.78 6.89 1.67 3.21 1.92 4.28 3.84 5.9
"4" 4.88 6.62 1.69 6.76 4.33 7.45 6.72 3.55 1.35 6.79 7.36 1.46 3.09 5.45 7.79 4.7 6.04 5.16 3 5.18 7.61 6.74 6.23 6.28 5.74 10.85 4.6 4.45 3.29 2.51 7.7 2.33 7.07 2.94 3.44 2.13 6.35 3.74 6.81 5.55 8.54 5.37 5.56 2.68 6.84 6.85 8.4 4.68 7.81 9.88 7.21 5.4 3.84 7.38 8.06 5.8 5.36 5.76 2.41 7.22 3.31 5.94
"5" 5.78 8.51 4.28 6.25 1.76 7.83 5.03 7.83 5.31 5.89 7.35 6.25 6.57 0.57 5.61 2.18 7.3 5.4 7.14 7.97 3.7 8.78 1.48 3.91 3.16 3.23 3.29 6 3.32 5.84 8.11 3.36 1.71 5 4.62 7.13 3.93 4.63 4.3 2.65 7.35 3.27 1.92 4.97 7.53 7.45 8.56 5.6 5.52 5.41 5.12 6.12 7.43 6.17 4.58 4.22 8.09 6.44 1.11 2.29 10.13 7.98
"6" 5.44 2.92 5.63 5.69 8.75 6.74 3.87 5.93 6.02 2.56 4.96 7.83 5.28 4.41 5.05 4.8 5.72 6.1 4.85 7.92 7.81 4.33 3.49 3.9 3.77 3.01 5.44 7.65 5.66 4.32 7.43 5.46 3.12 5.02 3 5.37 7.51 6.77 4.67 7.72 5.98 5.55 5 4.81 6.8 10.2 -1.01 4.66 3.96 5.72 3.37 3.55 7.63 4.68 3.65 4.52 3.68 3.76 5.81 4.67 6.46 0.82
"7" 2.65 5.64 8.2 1.53 4.86 7.89 4.73 5.58 4.42 5.07 5.43 1.79 3.26 5.31 6.19 8.54 5.54 4.37 -0.19 8.15 4.67 3.39 1.45 3.99 2.12 4.58 1.71 3.28 4.08 0.47 4.02 2.21 5.57 6.04 4.62 5.07 3.81 3.99 7.1 6.1 6.96 8.41 3.7 7.12 6.83 2.42 0.78 6.68 4.5 3.61 7.45 2.9 5.15 5.62 4.91 6.29 4.48 2.81 5.79 4.9 4.13 7.81
"8" 3.46 6.34 5.06 3 5.7 4.3 3.01 2.6 2.98 4.5 9.22 3.83 5.08 4.64 5.4 6.04 2.58 3.62 2.32 5.76 5.5 3.78 8.41 8.56 2.75 5.69 7.32 2.57 2.93 3.22 3.06 5.39 3.67 5.86 5.82 8.59 4.89 4.88 7.11 6.9 4.26 5.71 4.86 8.84 6.31 6.44 5.13 5 7.54 8.36 7.94 3.7 1.3 8.03 3.78 5.66 10.32 5.63 4.65 5.36 4.17 2.25
"9" 4.58 4.93 5.59 7.43 4.6 2.85 7.36 2.33 4.66 6.87 2.73 6.06 7.01 4.57 3.09 2.18 6.08 0.15 3.75 2.86 8.83 1.52 7.91 5.83 7.18 3.2 3.67 3.66 4.61 7.06 7.01 4.51 2.49 8.18 2.58 1.93 5.39 5.82 6.73 7.92 4.28 7.29 2.68 2.53 1.74 7.01 7.02 4.82 6.86 2.55 6.19 6.07 4.04 6.18 3.47 7.75 4.13 6.77 5.56 6.46 5.88 7.42
"10" 6.21 4.7 3.5 7.27 0.18 7.14 6.38 5.67 3.1 7.04 6.13 6.83 4.68 4.25 5.86 4.38 3.26 4.86 4.38 4.21 4.3 2.85 7.01 6.1 5.86 2.36 4.81 6.51 5.52 6.96 -0.5 2.99 2.27 4.84 4.1 6.21 8.75 1.81 5.06 3.79 7.48 4.31 3.12 6.8 6.37 7.67 6.72 8.46 5.48 3.65 5.79 6.33 4.82 7.09 0.89 6.53 1.63 5.97 3.99 6.9 8.33 2.08
