"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
"1" 2.02 3.16 4.41 6.74 0.51 4.38 3.65 3.83 5.64 5.25 3.82 7.29 2.45 4.9 2.76 2.29 0.44 7.65 7.67 7.77 3.32 5.76 6.55 3.77 0.59 7.07 6.99 2.47 5.26 10.93 4.35 9.71 3.61 2.43 6.28
"2" 4.6 2.45 1.73 4.99 1.7 2.59 3.44 4.73 5.08 6.01 3.53 5.66 4.74 8.76 2.79 4.14 7.04 3.92 5.99 5.29 7.48 6.36 2.53 3.56 3.58 4.22 5.43 3.32 4.51 4.69 6.84 2.82 6.5 2.56 4.7
"3" 4.04 6.91 4.83 5.44 4.42 4.01 6.19 2.84 1.87 6.55 2.52 2.46 7.04 1.08 1.45 3.93 5.64 3.97 2.3 3.84 2.63 4.39 1.84 6.2 7.43 3.17 7.17 6.92 8.24 7.48 3.48 3.03 3.89 3.6 6.05
"4" 3.3 3.36 1.72 0.78 4.6 4.07 6.48 3.28 5.81 8.29 3.97 7.11 7.94 7.57 4.75 7.89 3.6 3.61 5.03 5.99 3.59 5.16 3.41 4.59 5.52 0.94 4.02 7.28 2.82 7.65 5.25 6.03 3.04 6.77 7.73
"5" 8.91 3.71 5.59 4.98 1.61 5.17 5.4 2.85 7.9 7.46 4.87 5.41 4.13 6.8 3.99 4.79 3.53 6.8 4.14 3.46 5 5.18 4.76 4.15 8.3 5.18 4.84 5.01 3.72 5.12 3.46 7.4 4.2 3.31 2.26
"6" 3.29 4.37 5.01 4.71 3.92 3.42 10.49 3.42 1.74 4.92 9.31 6.15 6.41 1.92 2.56 6.52 1.71 3.22 6.16 1.62 6.99 6.08 1.24 5.52 6.17 5.42 6.46 8.51 5.89 5.63 5.1 3.43 5.48 6.99 4.65
"7" 6.08 6.05 6.4 1.64 4.46 6.58 2.05 4.48 3.9 7.84 5.04 4.74 6.56 4.09 5.48 6.56 2.35 1.62 3.69 7.53 4.24 4.1 2.23 3.62 2.42 1.55 3.93 1.1 4.84 4.04 5.28 6.4 6.94 8.23 3.02
"8" 7.42 3.43 4.59 8.82 3.17 3.56 4.67 7.74 6.92 5.03 5.39 8.18 4.11 3.36 3.68 6.72 5.6 1.63 7.26 6.43 3.49 3.82 3.52 5.2 8.48 4.82 6.1 5.71 3.38 5.43 6.1 4.13 6.7 4.42 6.71
"9" 3.79 3.38 7.87 0.3 9.52 4.6 6.83 5.7 3.74 8.32 6.46 4.67 5.62 4 4.81 5.06 4.3 2.24 -2.17 4.74 6.99 1.28 5.37 2.38 1.93 6.4 7.53 4.55 8.03 5.97 2.45 9.44 5.39 7.57 8.4
"10" 4.91 2.4 7 6.44 3.25 1.74 7.64 4.77 5.66 6.11 4.55 4.12 8.31 2.19 3.46 7.41 6.52 6.83 4.41 1.93 1.5 5.21 4.16 4.88 3.86 1.6 7.29 2 6.1 8.69 5.92 5.37 3.97 5.5 5.99
