"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"1" 0.85 -0.27 8.1 4.71 5.11 4.39 8.48 4.51 3.59 4.1 2.7 5.69 6.25 8.23 3.23 5.5 7.4 0.69 5.87 4.99 2.91 8.67 5.53 6.29 6.8 4.65 2.21 1.68 6.76 6.37 5.5 7.32 3.67 0.76 6.74 5.65 5.65 5.65 4.36 5.41 2.97 5.76 4.33 7.23 9.12 5.49 4.92 1.64 6.24 7.24
"2" 3.37 4.09 7.71 2.17 5.11 2.08 3.36 7.67 3.11 5.83 8.24 5.55 5.79 7.19 4.42 2.17 5.66 4.42 10.13 3.34 3.17 4.8 5.93 4.58 7.17 5.12 5.76 4.7 4.13 6.18 3.73 3.56 3.91 7.15 6.95 6.94 8.85 6.4 7.34 2.63 6.55 4.8 -1.73 3.99 5.65 7.07 5.91 6 7.13 2.27
"3" 4.93 4.78 0.66 1.11 5.55 7.13 5.43 8.52 3.86 1.8 5.48 6.43 2.83 6.86 7.05 3.08 7.19 7.31 5.12 4.97 5.32 6.92 5.1 3.94 5.73 1.04 5.98 7.7 9.64 4.99 1.02 4.34 7.3 5.49 5.58 3.33 2.34 6.25 8.39 6.38 6.31 2.82 6.67 1.3 5.47 2.44 5.44 5.86 4.59 2.57
"4" 6.83 4.6 4.45 2.02 4.15 5.26 2.52 5.38 3.41 8.08 4.59 3 4 2.63 0.31 4.5 6.61 4.98 5.57 4.41 3.88 9.44 6.03 3.76 5.4 4.47 8.56 3.21 5.02 6.35 6.61 3.32 9.3 4.92 5.38 3.06 5.92 5.63 3.53 9.84 8.21 1.89 2.67 7.62 7.78 4.68 5.88 5.88 3.68 3.65
"5" 5.13 3.23 7.24 4.6 5.31 5.03 10.76 6.85 5.35 4.13 3.46 1.73 5.21 6.35 7.69 5.19 4.69 1.22 3 6.52 6.66 5.07 4.87 10.86 3.88 6.01 5.93 3.36 3.96 7.06 7.48 3.22 7.3 1.77 4.3 4.22 5.57 5.8 6.53 6.65 6.03 5.16 2.37 6.01 6.1 6.17 6.5 4.22 4.81 7.5
"6" 5.22 6.42 5.37 4.51 6.32 3.79 8.15 5.05 7.21 7.2 5.51 6.46 5.28 3.6 7.37 7.13 4.11 4.51 5.7 3.57 5.63 4.09 4.61 4.98 4.98 -1.37 5.82 5.86 8.23 5.14 1.91 6.7 2.56 6.12 6.22 5.68 3.22 3.96 5.46 4.93 3.53 2.54 5.51 4.16 5.4 5.37 4.37 1.85 3.23 6.43
"7" 5.31 5.18 7.61 8.48 4.59 4.67 4.65 3.42 6.39 0.25 4.64 6 2.61 4.34 6.35 5.76 3.65 7.28 5.03 1.76 3.95 4.86 5.21 5.46 2.93 3.5 3.19 6.16 6.02 6.44 2.67 3.96 5.9 3.44 6.91 8.23 4.07 8.91 5.12 5.5 3.53 7.24 5.3 7.2 3.57 4.94 3.95 4.44 3.73 5.25
"8" 4.6 6.59 0.22 0.3 6.62 3.57 4.56 4.69 3.85 3.98 3.62 6.18 7.29 3.61 6.35 3.58 6.53 6.64 0.31 7.22 4.08 3.5 3.91 6.65 4.41 3.92 6.05 5.25 5.36 7.71 1.85 2.8 5.32 1.14 5.67 3.5 5.24 1.49 0.52 2.95 7.27 6.14 6.48 5.66 6.7 6.71 4.31 7.8 7.88 0.88
"9" 4.05 2.3 7.93 3.61 3.15 4.8 5.91 3.16 7.1 1.42 3.35 1.93 3.83 4.26 1.03 5.7 3.93 6.26 4.04 6.27 4.7 6.87 3.06 7.7 5.62 5.76 5.33 5.21 3.1 5.81 3.63 2.44 3.14 4.61 6.71 4.44 2.74 4.29 8.43 7.55 7.19 3.91 3.99 3.33 4.78 5.98 3.65 4.6 4.94 3.72
"10" 5.37 4.7 4.05 2.28 5.01 6.22 4.88 9.53 7.6 5.05 5.01 6.01 5.85 5.12 5.51 4.56 2.34 3.31 3.72 4.89 6.81 6.16 5.34 6.57 8.15 7.37 6.35 3.74 -0.38 8.53 2.75 3.96 0.64 5.53 2.74 4.51 -0.45 3.7 0.34 6.48 5.29 8.76 7.02 5.68 4.67 8.7 7.36 2.89 5.12 7.63
"11" 6.73 7.22 3.66 -0.73 3.9 6 5.17 8.2 4.97 4.63 2.6 0.25 5.09 5.02 1.41 2.59 4.51 7.86 4.73 3.93 5.59 0.95 8.56 0.47 5.26 5.44 6.33 7.32 3.44 4.6 4.56 4.55 6.38 4.21 5.69 6.31 3.41 2.47 3.11 4.76 2.31 3.32 3.82 5.99 5.52 6.87 9.93 3.15 6.8 6.33
"12" 5.3 5.31 10.58 4.49 3.29 6.49 5.39 5.11 9.35 7.18 3.97 3.87 6.14 5.28 3.82 2.81 5.07 5.39 2.02 4.56 5.88 4.21 3.46 5.82 6.83 1.34 3.46 3.69 6.47 1.26 5.76 6.42 5.48 4.98 2.26 2.69 6.05 5.95 5.26 6.52 6.88 2.87 3.99 6.23 1.8 5.73 5.47 7.47 5.78 4.17
"13" 2.48 3.69 7.55 10.08 1.89 3.47 2.97 1.52 5.2 1.36 3.88 3.6 9.43 3.61 6.53 6.16 1.99 4.82 6.44 4.66 4.84 8.87 5.25 4.18 7.69 7.53 2.16 6.46 9.02 9.02 10.72 8.16 4.91 4.95 6.24 7.45 6.02 6.02 3.68 4.65 4.04 7.21 5.46 1.85 5.58 6.4 3.83 4.35 4.35 9.5
"14" 3.66 8.91 5.63 9.34 4.76 8.38 2.24 8.16 3.98 7.79 0.92 5.62 2.79 5.79 1.26 1.18 2.39 5.01 4.41 5.71 1.03 10.05 4.51 6.05 -0.3 6.93 4.93 7.89 7.13 6.69 6.86 5.24 5.58 1.61 10.95 3.43 6.73 7.47 8.63 6.57 2.92 8.19 4.55 4.4 6.76 6.92 2.38 6.55 6.16 3.85
"15" 0.8 3.61 4.42 5.55 6.99 2.68 2.3 4.56 3.71 6.15 5.3 3.1 5.76 5.86 6.35 5.68 5.46 3.2 4.56 6.87 4.92 5.16 5.28 1.66 4.2 3.32 2.65 8.12 5.29 2.63 4.81 7.22 4.94 6.81 5.07 4.55 2.39 4.21 3.63 7.16 2.12 7.12 4.17 1.61 6.57 2.55 8.27 5.77 0.33 5.46
"16" 3.57 3.41 2.4 2.85 6.72 7.44 9.12 4.42 6.89 5.5 6.41 3.88 4.87 5.98 3.85 4.07 1.65 7.76 6.05 7.63 5.49 3.83 5.52 4.38 6.73 6.8 4.67 3.12 4.4 4.41 3.14 5.44 3.84 1.24 3.04 2.56 5.07 5 5.95 4.16 8.48 11.67 3.61 5.47 5.67 4.49 4.22 3.58 4.08 5.55
"17" 4.56 7.43 6.29 6.47 1.94 6.33 0.69 6.01 5.54 8.36 8.06 3.72 2.74 1.77 6.81 6.49 1.41 2.96 3.81 2.25 2.69 5.95 2.77 4.33 1.12 3.21 4.11 0.93 4.73 6.49 5.69 5.86 3.54 5.98 5.85 5.04 4.29 5.02 4.06 7.17 4.53 3.68 -2.67 2.24 8.46 7.54 6.8 2.07 4.18 3.96
"18" 5.83 6.48 4.94 4.83 6.88 3.4 6.47 4.58 3.96 8.66 5.18 5.45 9.72 5.28 6.16 6.3 1.62 3.48 1.7 5.7 5.12 5 4.31 3.36 7.7 3.48 4.2 2.84 2.75 3.37 3.28 2.46 3.21 2.97 7.19 6.36 3.01 5.64 7.06 6.52 2.61 3.86 8.53 4.37 9.41 6.07 7.55 2.92 6.94 5.31
