"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 2.21 5.9 3.12 6.23 2.62 3.79 6.34 3.26 2.81 3.08 6.49
"2" 1.73 1.28 2.62 4.99 5.47 6.31 7.94 6.27 8.07 3.96 5.52
"3" 3.73 4.28 5.79 6.76 6.35 1.04 8.2 5.2 2.99 6.09 6.09
"4" 5.37 5.59 5.86 5.4 3.41 5.98 2.15 -1.18 0.85 4.24 5.47
"5" 6.33 2.27 3.74 6.63 5.24 6.57 4.59 5.74 6.13 1.15 3.41
"6" 3.58 8.78 2.27 8.03 2.09 5.97 3.68 6.5 6.03 5.78 6.41
"7" 3.73 2.69 6.14 1.27 0.85 2.44 3.57 6.81 8.23 3.41 7.84
"8" 4.61 3.99 8.6 4.29 5.65 6.11 7.62 3.42 1.14 6.86 6.76
"9" 4.11 5.52 3.48 0.41 4.48 4.05 0.96 2.83 7.63 6.72 4.93
"10" 2.71 6.58 2.8 5.06 5.72 4.2 7.62 5.22 3.88 5.44 2.99
"11" 6.19 2.55 4.43 5.26 7.55 7.21 4.89 2.23 -1.63 2.26 4.48
"12" 4.7 6.16 6.41 4.97 4.83 5.75 2.7 2.27 4.43 4.35 6.41
"13" 6.8 6.47 7.13 5.38 5.72 4.98 3.78 5.02 7.29 6.4 4.86
"14" 5.27 5.69 3.49 9.53 8.55 0.92 5.46 6.51 3.05 6.22 3.53
"15" 1.17 6.46 7.62 0.84 6.22 3.14 0.79 4.54 3.18 4.96 1.02
"16" 5.7 6.8 6.7 1.42 4.96 5.26 4.16 3.65 10.26 0.91 4.28
"17" 4.57 6.32 3.42 2.45 5.82 3.25 6.53 5.67 6.23 0.77 5.24
"18" 4.39 6.29 4.95 5.47 4.61 8.02 6.08 3.18 5.41 4.72 7.14
"19" 7.04 4.09 3.55 4.75 1.78 5.14 4.16 2.87 3.08 5.85 3.67
"20" 4.15 5.35 9.28 6.62 4.52 13.12 5.23 4.79 4.51 3.31 3.88
"21" 5.46 5.34 5.58 2.98 2.48 5.02 5.91 3.88 8.14 -0.11 5.91
"22" 5.24 7.79 7.43 6.67 4.53 5.42 4.9 6.55 5.31 6.17 3.25
"23" 0.08 5.65 5.17 1.4 4.42 1.61 8.04 7.08 -0.28 8.6 7.49
"24" 6.9 4.75 5.86 1.97 4.83 3.77 2.55 1.68 6.16 3.32 3.9
"25" 1.04 4.02 3.03 5.25 6.91 5.58 5.99 5.11 7.32 4.11 4.25
"26" 4.96 4.67 4.54 4.26 6.08 5.11 5.98 7.11 7.55 0.32 0.54
"27" 4.27 6.92 2.74 3.92 5.22 5.48 6.43 5.07 5.03 4.62 6.22
"28" 5.43 5.48 5.79 3.55 3.27 6.23 5.44 6.19 4.55 5.44 4.75
"29" 4.59 4.64 6.66 6.34 2.08 6.73 5.26 4.36 5.26 2.8 7.28
"30" 4.76 5 5.36 8.01 2.48 3.39 3.57 3.86 4.93 6.11 5.67
"31" 4.5 2.19 8.83 7.31 4.02 4.19 4.18 0.23 7.18 2.92 4.84
"32" 2.93 7.1 8 6.56 1.62 3.7 2.31 7.6 3.96 6.01 5.58
"33" 3.06 3.46 7.14 3.22 8.03 8.65 0.21 2.18 3.95 3.58 4.13
"34" 7.53 5.41 4.23 4.57 5.03 1.51 5.12 4.82 5.95 4.54 3.94
"35" 5.66 2.71 4.38 5.49 5.33 3.13 3.27 5.4 3.5 4.61 3.6
"36" 4.02 6.37 4.98 6.63 1.91 4.93 5.81 0.98 5.72 3.85 2.62
"37" 0.68 5.57 5.32 3.36 3.56 5.44 2.87 2.47 4.21 3.76 5.04
"38" 6.67 7.19 3.93 2.66 6.61 4.2 6.75 4.3 4.63 7.98 4.73
"39" 8 6.4 4.71 5.9 4.93 3.82 8.84 6.61 0.98 1.24 3.37
"40" 3.29 11.59 4.75 3.62 2.79 2.24 3.31 3.42 3.92 4.06 6.05
"41" 7.27 5.09 4.31 6.96 3.05 7.54 8.15 3.52 4.14 4.9 4.26
"42" 6.64 5.76 5.85 7.35 5.27 4.09 7.71 8.58 1.97 3.9 5.33
"43" 6.3 6.25 4.57 5.38 5.07 1.37 2.58 6.1 7.8 9.46 5.78
"44" 2.62 4.66 6.77 5.86 6.9 2.51 4.54 7.24 7.92 -0.46 5.12
"45" 6.89 3.39 5.48 8.38 7.75 2.47 4.47 3.83 0.42 2.79 2.65
"46" 1.99 7.01 4.23 8.72 5.27 5.96 7.24 2.92 6.71 6.08 3.32
