"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 4.4 6.56 8.65 1.49 5.9 8.27 2.7 3.51 4.18 5.2 9.44 5.34
"2" 2.55 5.06 5.43 4.32 7.94 2.87 5.39 4.7 5.77 0.91 5.73 3.5
"3" 6.69 5.64 9.7 5.26 1.86 6.14 6.49 2.57 9.72 0.89 4.53 2.84
"4" 6.74 9.73 6.77 7.6 3.65 6.08 8.04 3.66 5.99 7.51 4.03 5.09
"5" 3.85 4.97 8.36 1.03 5.59 2.72 3.53 4.58 4.76 3.06 7.96 8.89
"6" 4.92 4.95 8.91 3.93 1.1 5.76 3.5 1.34 3.78 7.99 5.22 9.25
"7" 4.77 5.4 6.42 6.09 4.73 8.48 7.9 4.88 5.31 6.55 5.92 3.06
"8" 2.91 9.78 8.4 7.34 3.84 4.48 7.51 6.53 4.43 3.08 2.63 6.06
"9" 5.95 7.13 4.44 0.44 4.51 4.91 1.1 3.32 5 5.1 5.93 7.15
"10" 4.71 2.42 5.73 3.74 8.32 6.77 7.24 9.39 7.18 7.77 5.54 6.54
"11" 6.92 1.88 4.98 3.99 2.71 5.31 5.32 2.95 4.95 4.23 3.47 5.77
"12" 8.17 3.15 4.18 5.8 5.03 4.52 5.92 5.39 4.21 8.7 9.19 4.52
"13" 1.85 3.26 7.14 4.88 6.25 2.71 2.59 3.65 5.56 4.61 3.07 5.03
"14" 3.33 6.63 4.5 4.93 4.13 2.77 6.69 6.52 3.48 3.07 5.14 6.34
"15" 3.12 3.25 3.25 5.49 5.97 5.8 2.64 7.84 3.94 5.03 6.81 8.14
"16" 4.33 6.48 2.56 4.13 2.62 5.93 7.7 6.88 2.82 4.6 3.84 7.16
"17" 5.93 7.92 7.04 5.61 2.85 6.14 2.3 6.38 2.7 5.61 7.52 4.93
