"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"1" 3.59 3.23 5.93 3.01 5.96 4.53 7.46 7.18 5.67 3.21 3.52 6.69 2.99 0.8 4.31 1.41 2.77 5.75 6.06 5.9 4.32 3.09 7.89
"2" 6.58 3.66 4.54 3.1 4.89 3.24 5.45 4.66 6.59 4.55 4.73 3.24 6.25 9.21 4.7 5.06 5.95 7.71 7.71 8.82 3.41 5.41 4.58
"3" 5.6 4.1 5.84 5.12 5.45 4.71 4.6 4.43 5.72 4.76 6.26 2.31 4.17 5.36 3.76 4.67 3.4 4.44 6.75 4.32 1.55 5.74 5.03
"4" 6 6.13 5.11 3.32 6.45 7.68 6.12 7.55 7.8 5.95 3.9 8.52 5.98 7.68 4.4 3.4 8.27 5.47 2.07 4.76 3.68 3.91 7.55
"5" 4.71 3.13 5.23 9.34 6.23 5.14 6.13 5.62 5.66 2.1 4.99 5.17 4.84 7.23 4.15 3 4.94 1.41 5.6 6.27 4.47 6.07 5.68
"6" 4.94 3.31 6.84 4.75 6.54 7.12 5.33 4.53 7.4 3.27 7.09 4.43 5.17 0.64 3.05 7.13 6.98 5.54 5.61 3.83 4.68 3.45 3.64
"7" 6.17 3.67 2.36 6.96 4.6 3.45 4.61 6.07 5.57 4.94 5.78 4.41 5.75 7.35 -0.58 0.89 2.17 1.38 5.45 6.96 6.3 7.94 5.3
"8" 4.52 1.99 5.15 2.89 6.94 9.58 2.45 6.86 7.13 2.97 2.9 5.18 4.04 3.12 7.04 8.89 2.73 3.82 3.88 5.93 2 6.12 8.15
"9" 5.18 6.91 4.22 5.5 4.04 3.77 4.31 4.69 3.68 8.16 5.47 2.78 5.53 3.31 3.33 5.39 6.08 4.45 4.79 1.49 8.09 0.78 6.46
"10" 1.72 5.56 5.33 5.36 7.13 3.45 3.79 6.92 5.23 6.62 4.93 5.64 4.36 4.01 4.54 5.2 4.24 5.92 6.47 2.1 5.67 7.7 5.62
"11" 1.97 2.58 4.99 4.65 4.21 6.26 2.85 4.1 2.5 4.91 6.6 3.31 3.17 4.8 5.14 5.6 5.15 2.37 5.57 2.65 5.75 1.81 4.88
"12" 3.92 8.56 5.44 2.57 1.96 2.31 5.34 8.19 4.6 4.01 4 4.44 4.25 3.16 5.06 3.55 7.21 4.69 8.64 6.08 5.67 5.16 4.55
"13" 4.59 7.7 7.21 4.34 -0.64 4.86 2.84 4.97 8.98 4.68 8.12 8.72 5.03 9.12 4.26 4.31 4.75 6.33 8.86 4.57 8.33 9.17 2.9
"14" 1.53 6.59 7.59 4.24 8.05 6.23 4.47 2.68 3.28 4.6 6.18 2.84 5.59 5.53 4.59 5.21 2.2 2.65 4.21 3.24 4.59 4.14 7.01
"15" 5.08 6.62 7.35 4.23 7.54 4.55 6.67 3.04 8.35 2.47 4.16 7.66 1.9 -0.18 4.59 6.03 3.91 5.18 1.6 8.2 0.06 4.4 4.73
"16" 6.68 4.41 4.46 2.37 4.48 5.33 3.18 7.32 6.93 5.44 5.94 5.19 3.6 8.15 4.6 3.21 3.96 2.56 5.21 5.15 4.41 3.6 2.61
"17" 7.34 7.64 6.6 3.33 3.66 6.71 4.06 5.08 4.82 4.29 4.26 7.51 2.28 4.68 6.61 2.85 3.7 4.83 8.31 2.49 5.74 7.78 6.34
"18" 2.64 6.07 7.52 9.27 3.81 1.25 7.56 6.58 5 8.65 7.25 3.78 5.53 9.68 7.3 0.71 6.33 7.71 6.49 6.64 10.8 5.83 9.8
"19" 6.27 6.1 4.41 7.75 3.22 6.65 3.63 3.39 4.81 6.41 3.1 3.07 7.04 1.63 4.72 3.93 5.36 4.52 3.47 4.21 6.98 5.02 0.15
"20" 8.12 7.21 2.5 3.81 6.96 3.6 6.5 8.27 7.34 2.94 2.32 7.89 3.94 6.24 4.86 0.71 2.4 6.48 3.7 7.79 5.25 1.45 7.19
"21" 5.04 2.4 6.72 7.62 1.5 5.57 4.9 3.07 3.71 5.42 6.37 7.2 4.43 3.14 7.48 9.25 2.38 3.31 7.09 5.86 5.36 2.95 2.44
"22" 6.75 6.43 4.52 6.03 6.27 3.67 5.1 0.45 4.53 6.29 5.1 6.69 4.45 5.29 5.17 6.52 5.49 4.7 5.92 3.41 3.6 2.48 3.88
