"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"1" 7.54 5.15 5.64 5.77 5.58 8.11 4.47 5.64 3.22 4.05 4.68 5.65 5.79 4.17 9.09 6.56 5.77 1.64 3.05 3.45 1.79 2.93 5.01 5.28
"2" 5.05 7.15 3.04 3.54 3.74 8.48 5.21 3.16 5.09 4.38 2.96 9.3 5.83 4.96 3.95 7.55 9.91 3.51 4.42 6.27 7.64 5.04 4.97 8.46
"3" 4.41 5.12 6.04 6.94 3.88 8.14 2.5 9.61 4.02 2.24 3.35 7.52 2.51 6.49 6.2 6.16 3.42 8.35 4.52 9 4.2 3.29 8.51 1.7
"4" 5.44 5.46 2.78 6.6 3.17 3.4 6.47 4.21 5.69 4.09 5.56 5.38 6.36 3.88 7.99 5.76 3.88 6.36 2.31 3.98 0.67 7.43 4.13 2.81
"5" 1.84 4.59 5.91 3.47 2.94 6.44 6.35 5.26 4.58 4.77 4.39 4.82 6.94 2.34 3.76 3.41 5.89 4.27 3.33 6.13 4.22 3.93 5.31 4.22
"6" 3.46 10.25 7.37 4.53 4.08 6.95 2.49 6.58 6.32 3.28 7.1 4.55 5.37 7.18 3.79 6.18 3.25 0.67 0.98 8.24 6.96 4.72 2.61 5.81
"7" 9.82 4.95 6.99 2.9 2.05 5.98 1.97 5.08 5.9 8.88 5.56 6.09 4.99 5.46 3.2 4.35 3.36 4.82 3.88 8.41 4.73 2.05 5.44 4.36
"8" 6.23 3.1 10.1 6.32 6.54 4.08 3.59 2.68 5.31 7.09 3.76 2.7 5.71 5.69 7.03 2.89 3.8 3.34 5.62 5.92 3.75 6.97 6.91 5.3
"9" 3.16 2.85 5.56 3.21 5.54 5.37 0.78 8.26 6.99 4 6.38 5.73 5.75 6.6 7.14 5.65 7.74 6.51 6.76 5.69 6.43 5.29 5.21 6.1
"10" 3.44 2.56 4.47 5.43 5.11 3.56 4.87 6.28 7.34 4.55 3.16 4.06 6.92 6.27 4.86 6.55 2.33 4.84 5.88 6.12 5.18 5.45 5.07 5.64
"11" 3.6 2.5 4.09 9.4 4.69 6.46 3.65 3.36 5.11 3.25 2.7 4.94 3.76 3.25 5.33 7.14 3.02 3.68 4.16 6.36 4.49 5.1 4.37 8.57
"12" 1.37 2.13 4.23 6.75 6.1 8.4 3.87 4.49 4 5.88 5.03 3.06 7.19 5.43 3.86 3.49 4.12 6.74 5.75 3.64 4.91 5.14 4.61 1.9
"13" 7.44 6.95 6.79 5.13 5.01 5.17 5.27 6.07 5.41 5.54 6.2 5.15 1.54 5.06 3.02 2.93 5.81 8.32 -2.62 4.26 2.76 4.63 4.11 4.11
"14" 4.34 5.52 2.14 6.42 1.4 4.32 2.86 5.18 5.43 6.81 4.64 3.49 4.46 2.93 2.01 5.38 0.96 8.36 2.79 5.32 3.24 6.99 3.43 4.78
"15" 3.81 4.78 8.3 7.43 5.25 0.21 9.24 7.92 5.19 5.54 2.83 6.79 5.76 0.82 4.87 7.56 3 6.55 4.69 3.45 8.59 2.04 4.73 6.23
"16" 5.47 2.48 6.81 3.63 4.88 6.17 5.68 7.59 4.1 6.49 4.13 5.41 2.66 4.41 5.44 5.07 5.01 4.03 1.2 3.03 4.7 9.16 4.06 6.42
"17" 4.37 4.49 6.81 2.82 1.86 6.34 2.41 5.84 4.73 5.86 5.97 7.76 8.35 4.11 3.71 4.44 6.46 3.18 3.6 4.05 1.95 5.97 4.18 5.42
"18" 3.67 6.4 1.92 7.99 7.93 5.37 2.26 8.09 4.98 3.03 4.46 6.73 6.37 5.44 3.58 3.57 4.36 5.7 3.93 2.35 5.47 7.02 -0.51 7.39
"19" 5.35 3.73 6.82 5.16 4.29 3.63 4.68 4.12 2.85 6.51 5.62 3.96 4.85 4.69 4.51 4.59 8.37 4.27 5.1 4.19 2.33 4.7 4.3 4.65
"20" 5.11 4.56 6.15 3.07 6.8 8.39 5.8 4.5 3.53 2.45 7.43 3.6 4.31 3.95 3.05 4.58 3.84 7.45 5.9 6.1 4.13 5.55 6 6.26
"21" 9.48 3.71 7.34 1.19 6.26 5.25 6.28 1.57 2.53 4.07 2.28 4.58 6.97 1.42 6.98 7.35 3.05 4.2 5.97 5.95 4.64 8.34 7.41 8.66
"22" 5.45 4.56 4.72 3.42 1.17 4.17 5.23 7.45 5.68 5.41 4.43 3.38 4.86 5.4 4.24 7.34 6.04 5.81 3.4 7.64 5.62 3.79 6.67 4.8
"23" 3.6 4.92 6.47 4.09 2.55 3.74 1.36 5.64 4.57 6.09 5.5 2.74 2.96 6.38 5.84 3.41 4.78 5.63 6.91 5.1 4.37 4.46 4.41 3.8
"24" 3.07 5.54 5.97 2.93 3.47 3.55 5.13 5.47 6.97 1.82 9.22 4.42 6.09 6.67 6.07 1.33 2.19 2.34 5.7 3.81 2.74 4.12 5.67 7.7
"25" 1.36 4.9 7.22 2.04 1.96 0.85 5.02 3.82 6.09 6.11 9.39 6.22 4.28 5.89 1.74 6.3 6.09 7.29 7.09 5.39 5.64 7.36 3.29 4.87
"26" 3.62 1.75 3.14 1.31 4.4 6.98 6.39 4.09 4.6 6.22 3.09 10.39 6.23 -0.35 2.95 4.13 4.97 7.46 2.65 4.89 5.17 6.6 4.93 4.43
"27" 6.52 6.19 6.66 2.22 4.31 6.5 6.12 6.85 9.08 8.08 6.39 6.92 4.77 3.73 5.22 5.76 5.46 2.18 6.52 7.74 1.23 2.11 7.03 6.35
"28" 6.06 4.04 5.15 5.54 6.76 0.21 4.77 5.07 4.94 6.57 4.15 7.37 5.24 6.68 5.74 5.76 2.32 5.97 9.77 3.52 6.87 0.81 4.73 4.67
"29" 4.58 5.04 6.92 5.16 7.69 4.94 3.59 5.2 5.06 3.06 4.46 6.16 6.43 3.35 5.28 7.56 2.92 5.78 5.89 6.57 4.02 5.71 5.49 4.57
"30" 6.16 8.99 9.84 4.9 5.69 1.91 4.7 6.32 2.35 6.65 10.12 5.43 3.04 6.18 3.16 8.98 4.23 2.61 5.93 1.45 3.81 6.14 3.57 1.92
"31" 4.94 6.87 3.56 10.29 6.89 0.18 6.42 6.06 5.56 6 4.26 2.94 5.92 3.47 7.37 5.95 3.81 8.9 4.39 3 1.23 4.88 3 3.97
"32" 5.44 2.87 6.11 2.63 2.91 3.63 5.39 7.93 2.93 4.86 4.87 4.29 2.87 9.02 4.07 4.46 2.86 7.42 2.19 5.9 5.07 5.58 7.44 4.53
"33" 3.35 2.28 9.01 4.66 5.11 3.56 3.19 6.37 5.45 5.46 7.09 3.25 -0.57 3.46 4.55 3.23 6.92 5.72 4.49 3.37 5.95 6.26 2.14 5.97
"34" 4.65 5.83 6.23 -0.45 6.86 5.06 3.2 3.75 6.27 4.46 5.41 7.82 4.54 5 8.09 6.96 3.36 7.69 4.94 5.67 6.66 4.15 5.02 6.71
"35" 3.69 4.71 4.63 0.14 1.55 6.16 5.64 1.75 3.91 5.57 5.52 8.75 7.88 6.44 4.85 4.94 7.53 4.26 5.68 4.27 1.91 5.02 5.87 3.18
"36" 4.33 10.04 5.15 5.64 5.76 5.17 6.16 0.08 4.38 1.21 7.63 8.35 3.02 3.95 6.9 2.69 5.95 3.54 1.64 5.49 5.36 3.36 4.64 5.11
"37" 4.25 6.16 4.24 5.71 7.63 3.45 6.13 2.04 3.12 2.78 6.74 4.02 5.09 5.05 2.79 4.49 4.59 6.29 2.44 7.36 8.42 1.44 4.31 1.49
"38" 5.21 4.52 4.33 3.41 5.46 6.65 5.1 4.65 5.47 9.55 4.26 5.6 5.63 6.72 2.3 4.73 7.18 4.2 -1.37 7.02 6.68 5.68 6.29 4.06
"39" 4.51 6.79 4.32 4.21 3.53 3.77 6.22 1.76 5.57 6.91 10.32 5.14 3.05 4.07 4.48 2.93 1.73 5.34 1.49 10.36 4.9 8.84 5.5 7.17
"40" 6.19 7.69 4.9 6.8 4.55 3.63 3.62 4.09 4.85 2.49 2.76 2.95 2.93 3.89 2.36 7.01 3.24 5.64 7.55 8.03 7.7 5.13 4.36 5.33
