"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"1" 5.96 4.97 7.53 7.48 2.48 3.17 6.9 6.93 4.63 1.38 4.5 5.28 4.84 6.53 6.04 8.07 4.95 4.23 3.16 2.9 5.63 3.97 2.89 6.46 6.97 6.05
"2" 7.38 4.39 5.97 4.09 1.24 4.83 8.73 5.91 4.02 8.98 5.47 3.06 3.68 3.87 6.84 6.44 1.04 2.4 1.47 5.76 2.06 5.9 2.5 5.23 6.56 4.97
"3" 6.13 6.33 5.88 7.18 4.82 2.44 6.79 8.18 4.47 6.36 5.13 4.58 6.73 5.63 2.82 2.82 7.91 6.98 7.6 6.48 6.48 4.41 5.43 4.11 4.09 4.12
"4" 4.3 1.64 3.92 2.27 4.26 9 7.31 4.46 3.14 6.01 7.22 6.86 4.49 7.09 7.44 7.07 5.64 8.76 3.79 4.84 7.91 6.49 4.2 5.07 6.25 3.06
"5" 7.38 5.6 6.83 5.99 5.56 5.21 4.58 5.74 5.53 2.66 1.16 8.64 3.15 4.72 3.03 5.48 4.41 4.81 6.54 1.92 4.63 6.77 1.78 2.47 7.64 7.21
"6" 3.53 5.18 4.84 4.87 4.44 3.16 4.97 7.56 6.45 2.02 5.65 10.58 9 8.87 6.31 7.67 3.49 3.16 5.91 1.9 7.25 6.53 3.69 5.21 2.2 4.68
"7" 2.47 6.29 3.43 3.84 5.22 5.33 6.93 6.34 3.09 6.21 3.93 6.28 8.17 8.67 1.47 7.49 6.2 3.51 3.24 6.89 2.4 4.64 3.08 7.12 7.06 6.71
"8" 2.44 2.73 5.97 7.27 4.58 5.06 2.83 7.14 4.03 3.24 5.52 6 3.54 4.71 9.19 3.55 1.71 3.58 0.93 5.64 6.47 2.16 1.17 1.15 4.22 7.52
"9" 4.65 3.38 5.62 5.44 3.51 3.64 4.62 7.06 4.13 3.82 5.48 5.9 4.87 7.43 4.61 7.82 4.67 5.94 4.86 4.93 7.06 9.74 5.06 7.8 3.93 6.84
"10" 3.49 2.33 4.1 4.77 4.05 2.45 5.94 4.23 3.53 5.41 4.48 3.98 3.47 8.16 2.57 5.47 6.44 4.91 7.03 7.79 7.36 4.53 7.59 5.37 2.87 4.55
"11" 7.47 7.34 4.78 5.58 7.74 2.07 1.63 5.67 3.02 6.37 2.18 4.31 3.68 7.77 7.07 5.08 3.4 1.78 6.49 3.45 2.11 3.76 2.66 6.61 4.72 3.32
"12" 6.6 6.9 3.02 3.38 6.34 4.08 0.91 9.31 5.82 6.16 9.94 7.47 2.82 5.05 4.03 8.82 7.91 6.51 5.75 4.64 1.74 3.28 7.81 3.83 5.98 5.45
"13" 3.68 7.68 5.93 6.93 7.1 8.37 10.3 8.02 7.44 3.5 9.07 6.49 5.42 3.69 4.82 1.54 3.64 7.05 4.49 3.39 6.7 7.83 6.44 4.71 6.32 4.69
"14" 2.8 4.39 5.38 2.09 3.65 4.61 6.12 5.25 3.89 7.03 8 3.24 2.42 2.72 5.79 4.3 6.69 4.73 4.08 3.93 3.3 5.56 3.88 4.48 3.19 6.18
"15" 8.4 3.41 3.45 4.15 3.46 6.37 7.35 6.48 5.92 5.18 11.97 8.21 4.38 3.39 1.7 2.53 3.01 6.21 4.7 4.68 5.63 4.72 7.78 4.11 3.63 3.04
"16" 8.75 3.13 7.08 9.38 4.3 2.44 3.35 4.55 3.95 1.8 4.97 4.48 6.91 2.95 4.07 5.47 7.3 6.21 7.06 6.38 1.57 6.73 4.79 7.42 6.98 5.24
"17" 3.85 4.76 3.87 4.81 6.43 8.88 5.47 6.07 2.72 4.31 5.24 4.97 2.82 1.18 3 5.72 8.94 6.05 4.45 4.81 3.5 7.17 2.53 7.03 5.64 8.36
"18" 4.16 5.75 1.92 7.91 6.25 5.25 1.73 3.48 7.38 6 3.34 6.92 -0.21 3.14 5.77 3.11 4.42 7.08 6.26 4.45 3.78 5.87 4.89 2.12 2.64 6.36
"19" 5 6.5 2.96 0.71 3.89 3.79 5.23 2.59 5.43 6.17 6.31 5.91 4.65 2.7 4.03 6.77 3.83 2.67 5.5 3.96 8.64 3.12 5.89 5.45 8.41 3.29
"20" 7.98 5.94 0.19 6.94 4.36 5.75 3.94 5.96 8.21 7.67 5.51 3.97 7.48 3.08 7.28 2.89 5.94 3.66 5.31 5.07 5.03 8.25 1.63 7.17 6.79 7.06
"21" 4.34 1.65 4.7 2.51 2.94 5.88 -0.55 6.96 5.56 3.72 5.64 6.34 6.48 5.11 4.51 4.8 2.85 4.55 1.74 1.35 9.31 3.85 2.63 1.43 5.88 4.53
"22" 5.65 5.71 4.14 2.6 3.2 6.14 4.73 4.69 4.27 4.58 4.53 4.3 5.85 6.22 6.28 4.08 5.8 5.1 10.08 5.42 4.8 4.02 3.52 8.5 5.13 8.72
"23" 9.5 9.83 3.05 4.57 2.28 5.92 4.31 5 4.82 5.9 4.01 2.11 4.53 7.13 3.87 3.69 5.11 1.93 3.28 3.35 6.29 7.21 3.68 2.69 5.67 5.4
"24" 6.6 4.6 5.51 4.76 4.96 9.3 5.86 2.87 8.55 2.26 1.74 5.76 8.27 5.34 4.6 3.35 5.83 4.88 5.34 2.52 3.33 5.16 7.32 4.45 9.45 5.49
"25" 5.07 7.1 2.71 3.27 6.66 5.92 3.29 6.54 4.57 5.68 5.57 1.77 5.07 2.55 5.09 0.73 2.43 7.5 8.49 3.38 9.15 5.68 1.1 8.06 3.4 7.71
"26" 5.22 4.54 7.22 6.48 4.95 3.03 6.37 1.31 6.15 7.13 4.33 2.55 4.06 7 8.11 6.98 4.4 3.75 4.7 4.58 3.51 5.87 4.4 8.85 6.57 4.56
"27" 4.12 5.6 8.58 -0.44 6.32 7.88 1.53 4.28 4 5.13 5.88 6.5 5.66 3.69 4.52 4.2 4.83 4.69 3.99 2.97 4.77 4.52 3.1 7.6 10.46 2.32
"28" 6.8 6.49 2.1 7.32 5.6 4.67 0.41 6.1 6.13 6.5 1.77 8.8 1.76 6.42 6.8 6.49 6.43 4.04 3.03 3.62 8.08 9.11 4.43 5.07 3.66 6.57
"29" 8.47 9.52 7.18 10.28 4.13 8.13 5.32 4.57 10.13 6.97 5.71 4.06 6.08 3.03 4.77 7.84 3.28 5.89 3.87 6.4 6.26 7.42 3.08 -1.03 9.08 4.16
"30" 4.69 4.64 5.19 9.08 3.56 7.66 7.37 2.2 7.54 10.15 3.3 6.78 3.77 5.07 5.21 5.24 5.58 6.76 2 4.56 2.9 2.89 2.59 10.4 2.7 4.56
"31" 5.19 1.82 4.77 3.28 2.57 3.02 2.79 4.28 4.86 5.66 7.14 5.33 1.97 4.65 1.05 4.76 3.46 4.87 3.09 4.35 7.46 4.46 6.39 1.99 6.02 7.1
"32" 3.2 2.85 5.86 5.19 4.42 3.44 4.82 6.87 4.73 4.75 6.07 4.52 5.16 6.29 4.86 6.29 4.5 8.53 8.84 4.38 6.97 2.86 7.97 4.84 6.27 5.45
"33" 6.06 4.41 5.57 5.41 3.03 6.44 4.16 7.08 6.43 1.64 6.1 6.84 1.65 4.31 3.42 5.65 7.14 4.92 4.49 3.86 3.99 7.49 1.77 3.02 3.27 3.79
"34" 4.03 0.1 4.48 7.53 1.85 6.55 5.32 4.31 5.68 6.53 3.25 4.78 5.89 1.58 2.38 5.07 4.9 5.19 4.68 4.97 8.78 4.74 2.75 4.16 7.1 4.21
"35" 4.47 4.21 4.33 5.7 1.91 4.13 3.3 8.66 7.46 2.73 6.52 2.77 2.71 3.53 2.88 4.87 4.01 6.53 5.82 2.71 5.29 6.66 8.97 5.36 4.05 2.95
"36" 7.88 6.06 4.65 3.64 5.11 8.36 3.64 4.4 7.16 4.26 4.46 1.38 4.05 4.74 8.46 9.17 6.13 3.63 6.22 1.74 1.63 8.51 5.93 6.56 7.5 5.1
"37" 2.88 4.91 4.89 4.92 5.64 3.15 4.75 4.64 4.4 5.72 5.68 2.17 8.85 4.63 2.58 7.67 0.59 3.58 5.53 4.43 7.25 3.46 3.74 6.92 2.56 2.89
"38" 4.75 7.55 7.12 4.2 4.92 0.99 9.09 6.24 4.99 3.86 4.07 3.81 3.27 4.88 5.24 6.14 4.47 7.84 2.6 6.32 4.56 3.61 6.25 6.76 4.79 4.68
"39" 4.7 1.91 5.93 5.66 3.28 5.07 3.7 3.93 9.96 3.15 4.64 3.42 5.43 5.32 0.26 3.72 7.58 3.44 2.95 5.8 8.43 5.63 4.6 3.09 2.85 5.62
"40" 5.9 6.69 4.22 2.63 6.58 3.47 6.12 5.47 2.77 5.73 6.38 4.27 10.11 1.84 5.34 4.14 6.17 2.95 7.57 6.97 6.9 7.44 3.2 3.46 2.23 7.13
"41" 4.98 8.82 2.83 4.86 5.34 5.08 6.32 0.63 5.21 7.82 6.54 5.5 9.02 5.83 3.84 4.49 6.22 6.13 5.33 5.31 5.66 3.87 4.89 5.77 8.56 4.98
"42" 3.62 3.88 4.89 5.15 4.93 6.41 4.63 6.29 7.35 6.03 5.46 9.03 6.49 7.43 6.34 8.18 6.45 7.39 4.99 2.29 3.4 6.46 7.19 3.9 6.1 4.79
"43" 3.7 6.35 4.72 6.13 8.45 4.45 6.21 8.76 4.6 8.16 5.58 2.93 9.37 2.75 6.69 6.3 8.01 6.4 6.97 6.19 3.99 5.21 5.82 6.69 2.21 3.48
"44" 3.04 6.99 9.12 7.87 7.57 6.1 4.86 5.09 3.74 8.38 2.54 6.81 3.27 5.89 7.88 8.7 5.39 1.29 1.48 7.41 3.83 5.69 6.95 5.35 5.83 4.5
"45" 1.05 3.33 4.16 7.62 5.63 8.43 5.39 4.54 8.01 8.99 4.33 5.6 3.85 5.57 4.48 6.46 6.21 3.97 2.13 4.74 2.16 6.27 2.5 3.73 5.76 3.17
"46" 3.72 0.31 6.56 5.96 3.61 5.23 8.12 9.33 6.12 6.84 5.84 5.3 4.67 4.36 4 5.39 4.87 3.06 7.55 6.62 5.92 8.84 2.59 -0.49 2.14 7.08
"47" 7.83 1.38 7.86 2.03 4.55 2.21 3 8.05 2.16 6.08 6.6 3.69 6.95 4.44 2.5 4.6 5.34 5.25 4.57 5.41 6.2 1.86 6.33 5.46 6.73 4.67
"48" 4.73 6.21 2.92 2.93 6.62 4.88 2.83 4.48 5.76 2.62 2.41 8.26 6.82 5.89 6.27 1.42 5.97 5.47 1.41 3.98 0.66 3.86 4.28 4.98 4.57 7.44
"49" 2.27 2.54 3.36 5.13 7.16 5.27 2.21 5.12 4.17 5.66 6.29 8.2 3.02 2.12 1.21 4.81 6.87 5.56 9.86 5.38 4.09 7.39 3.24 2.9 5.27 5.47
"50" 6.46 7.47 7.75 2.48 4.28 7.86 3.53 4.99 7.51 7.95 4.2 5.1 4 8.01 4.06 7.23 2.18 5.25 3.19 6.84 2.65 3.49 4.39 4.52 5.37 7.16
"51" 4.69 4.4 3.41 6.94 6.16 3.82 6.52 3.11 3.55 4.91 5.86 6.58 4.83 3.07 4.13 10.23 6.84 5.48 1.28 3.34 6.75 7.4 7.55 3.99 6.72 4.81
"52" 5.39 4.6 7.65 7.06 2.8 6.14 5.76 5.6 5.6 3.77 3.34 2.43 5.72 2.6 3.44 7.59 6.67 3.6 5.42 5.25 4.82 8.5 5.07 4.54 4.79 8.03
"53" 1.82 8.34 3.58 5.02 7.67 2.92 5.95 4.65 8.06 6.26 1.67 3.32 6.48 5.71 7.46 2.63 3.88 4.73 4.42 5.69 5.81 5.38 0.87 7.16 3.76 3.91
"54" 6.58 8.69 0.35 0.48 3.75 6.67 5.56 11.88 5.58 0.77 6.74 4.57 7.81 3.69 2.51 4.03 2.35 2.05 7.54 6.58 7.62 7.4 6.44 7.7 2.7 5.67
"55" 1.91 3.31 8.09 4.48 -0.88 4.29 5.98 1.74 3.25 1.91 4.48 4.03 6.61 3.44 5.71 7.11 3.25 5.73 4.93 6.28 3.89 5.99 3.02 3.34 3.22 4.43
"56" 5.58 6.43 3.33 6.05 6.62 6.91 4.85 4.22 7.12 6.82 5.46 6.4 4.19 4.33 8.02 4.7 5.42 5.96 9.72 9.06 5.6 2.01 7.69 2.62 4.06 5.82
"57" 2.32 5.85 5.47 5.93 6.43 4.03 0.75 6.09 4.75 4.68 3.85 6.63 3.64 4.6 4.82 2.67 2.06 3.96 3.78 3.38 7.03 7.5 5.36 7.55 6.01 6.43
"58" 7.66 5.17 5.06 6.13 5.98 7.04 5.6 7.15 5.03 4.44 5.11 -0.57 4.9 5.67 4.31 5.91 1.85 1.43 4.62 5.06 3.7 6.91 5 5.04 8.14 5.11
"59" 4.03 4.33 5.1 1.37 4.03 3.39 8.27 7.2 5.36 1.21 3.7 5.96 2.32 1.78 5.94 8.48 3.19 4.81 5.23 5.54 4.06 3.07 3.75 3.79 4.51 5.62
"60" 6.45 4.84 2.59 2.52 12.2 3.05 6.22 1.7 4.61 5.62 7.86 6.64 4.35 7.32 6.26 9.48 6.06 3.91 -0.1 5.95 5.8 5.1 1.76 5.89 6.64 4.72
"61" 6.89 3.98 3.51 7.23 7.15 4.21 2.81 6.52 4.26 5.23 2.53 5.5 7.65 8.35 7.41 4.35 5.93 6.17 6.42 6.57 5.75 3.12 6.55 6.69 2.83 5.82
"62" 4.73 7.44 2.77 6.79 9.93 5.63 9.11 4.02 8.09 6.52 4.36 4.73 4.92 4.99 2.93 1.04 5.97 1 5.44 3.92 6.15 6.44 4.93 6.74 4.99 5.82
"63" 5.31 3.64 3.94 1.75 7.7 10.59 5.88 4.99 5.13 7.76 3.28 6.47 5.82 4.12 5.4 3.42 3.69 3.18 4.92 6.9 5.02 4.29 6.8 6.19 5.2 7.61
"64" 5.16 2.03 3.39 4.41 5.89 6.41 4.48 5.65 3.28 6.43 -0.13 7.27 4.01 6.35 5.74 4.83 5.03 6.64 7.9 5.7 4.24 6.22 4.2 3.61 4.19 4.35
"65" 6.58 6.22 7.21 9.44 4.84 2.5 4.74 5.54 4.76 3.74 4.25 2.85 4.57 6.13 5.49 6.95 4.44 7.82 5.29 4.9 3.87 5.97 5.2 3.75 5 4.32
"66" 3.87 5.14 5.83 3.22 8.56 3.67 3.25 4.67 5.58 1.81 6.68 5.5 8.84 7.71 1.77 4.83 3.29 3.79 2.1 6.88 6.47 7.04 7.55 5.4 9.38 5.08
"67" 8.75 2.81 3.52 2.46 2.8 2.23 6.85 5.37 4.86 6.13 8.31 3.67 2.96 4.47 6.81 3.87 3.06 6.8 5.88 6.41 4.56 6.7 4.08 4.11 6.13 7.68
