"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"1" 4.51 2.25 3.18 4.4 8.26 2.37 5.26 4.46 6.15 5.72 2.74 7.22 3.81 3.5 2.99 4.41 4.44 3.45 4.12 8.73 4.47 3.87 6.19 6.58 5.15 1.79 6.58 3.03 3.56 7.63 5.13 3.54 6.76 6.72 5.99 5.31 7.28 3.41 7.57 4.67
"2" 7.17 6.14 8.25 8.49 5.44 3.41 7.13 6.58 4.56 4.37 5.62 1.63 5.97 7.38 3.57 6.45 6.03 3.93 4.33 5.76 10.35 5.53 5.62 4.94 4.33 2.77 1.04 2.13 2.91 6.06 3.27 5.55 5.48 3.75 5.69 4.72 6.87 1.92 2.8 2.98
"3" 1.15 7.8 7.95 0.12 8.11 6.15 8.25 6.61 7.47 5.91 4.93 3.43 4.88 3.25 2.95 6.11 5.31 4.2 5.19 3.21 3.89 4.08 5.6 7.25 6.45 6.45 5.82 5.83 4.64 4.12 8.9 3.44 2.69 3.23 6.57 3.51 4.82 2.72 7.15 9.16
"4" 3.91 7.16 6.37 3.06 3.33 2.48 6.79 3.91 3.22 5.16 3.09 7.92 10.61 4.87 5.04 4.27 4.43 -0.09 4.86 7.71 2.98 6.96 1.45 5.68 3.68 4.58 6.1 4.97 4.09 4.56 3.98 6.69 4.24 3.67 6.07 8.78 4.28 5.64 4.26 6.89
"5" 3.12 3.18 6.99 9.85 7.26 4.11 3.26 7.11 6.27 6.8 4.86 4.4 6.24 5.27 3.87 6.02 8.28 7.05 4.63 3.7 6.6 7.5 9.2 5.21 7.11 5.69 4.93 6.24 2.73 3.32 5.49 1.9 4.25 5.64 10.93 6.54 5.01 6.3 3.74 6
"6" 8.65 4.7 4.5 4.46 3.97 6.13 5.07 6.33 3.18 6.13 3.43 3.09 4.87 3.28 6.62 4.94 3.06 7.11 5.8 6.68 5.36 5.79 7.45 5.57 4.57 7.1 6.15 6.33 6.36 3.76 3.95 7.56 5.29 5.46 7.59 9.51 8.14 1.17 4.57 5.54
"7" 9.23 2.94 3.68 6.9 5.22 2.69 7.82 5.23 6.26 4.77 5.35 5.15 2.45 3.94 6.63 6.25 7.38 6.91 3.29 4.26 4.33 5.67 4.78 9.55 5.63 4.96 5.86 3.94 5.92 5.74 7.15 4.06 1.26 0.95 2.04 5.04 6.61 4.1 4.59 2.58
"8" 4.08 3.53 4.44 6.66 6.79 5.96 7.63 3.5 1.12 5.91 3.89 6.13 4.54 6.88 3.88 5.59 5.59 6.74 5.01 4.38 0.96 2.87 5.98 2.69 1.62 6.59 5.44 5.38 5.53 6.57 3.77 7.24 0.59 3.12 6.53 4.89 2.59 9.1 2.58 2.54
"9" 3 4.88 5.22 3.39 5.84 3 4.59 3.17 4.42 4.33 5.66 4.32 6.42 5.49 2.33 0.53 4.82 6.49 6.76 4.74 2.68 5.05 1.84 8.44 2.15 5.17 4.48 6.86 2.67 7.25 3.97 4.29 3.89 2.77 3.42 0.73 4.89 2.76 5.6 3.67
"10" 3.22 6.63 3.74 5.45 1.63 2.07 5.59 5.6 4.15 5.58 3.23 5.34 3.17 2.74 5.33 4.35 5.45 5.54 2.93 8.8 6.2 5.94 6.06 2.42 0.38 6.16 8.18 6.34 2.45 4.55 6.77 5.84 5.72 3.58 2.58 5.08 7.26 4.75 0.89 5.36
"11" 7.71 5.21 5.64 7.12 2.78 5.94 1.69 3.24 5.91 6.14 4.16 4.13 1.96 6.2 4.08 3.55 6.3 3.48 0.34 2.03 8.23 5.9 7.28 6.64 6.74 4.57 7.18 4.08 5.79 4.87 6.31 4.2 4.45 0.78 1.8 1.31 5.58 3.54 4.59 3.99
"12" 7.6 8.18 6.76 3.62 7.79 5.15 4 1.92 8.16 4.98 5.71 3.9 0.52 3.63 4.58 5.68 4.39 2.16 1.89 3.94 3.73 8.66 7.73 4.82 3.65 2.89 1.73 4.18 5.55 3.26 7.72 6.83 6.63 4.74 4.9 8.38 4.67 2.79 3.52 6.59
"13" 2.56 4 3.89 6.65 3.18 5.02 9.04 5.91 6.63 3 2.95 2.55 3.91 3.77 4.29 5.47 3.21 -0.31 5.68 3.39 6.33 6.44 3.11 4.99 7.48 5.84 4.67 5.01 2.42 4.6 7.38 8.04 5.86 2.35 4.81 2.93 0.36 6.15 4.62 3.3
"14" 5.15 3.14 5.98 5.43 4.22 3.46 4.95 6.87 9.49 3.24 5.01 7.47 5.67 5.42 4.99 3.31 6.55 2.12 5.48 6.2 3.02 4.48 5.16 6.58 3.36 5.84 5.95 4.22 4.32 7.27 9.28 4.24 4.28 3.97 5.67 8.29 3.03 2.26 3.37 5.2
"15" 5.25 3.13 6.5 4.39 4.94 5.55 2.14 5.55 2.23 5.92 8.5 4.86 7.66 8.53 6.05 7.55 3.76 8.84 5.86 2.55 2.91 5.48 2.28 5.28 4.36 6.87 8.16 3.89 5.74 3.98 5.52 3.87 6.83 2.02 4.75 4.06 5.99 3.89 8.09 4.71
"16" 7.23 2.22 7.39 4.85 4.92 6.65 5.92 3.45 7.43 3.93 2.36 4.33 3.13 7.27 4.72 2.5 7.95 5.1 3.52 1.52 6.52 3.75 2.37 7.64 3.45 2.65 5.9 9.09 6.65 5.03 2.65 4.04 5.09 6.23 4.81 3.7 4.35 1.16 4.71 5.25
"17" 7.58 5.67 2.95 4.79 7.86 4.34 5.32 3.25 6.7 5.04 2.98 7.99 4.96 6.25 6.46 3.59 2.9 5.46 4.63 2.99 4.73 6.36 3.86 3 5.71 7.79 5.66 -0.1 4.3 3.49 6.17 4.75 2.34 1.3 5.86 3.73 2.91 4 4.5 2.44
"18" 5.5 2.94 9.24 6.51 1.99 4.91 4.07 4.22 0.98 2.08 4.97 4.44 1.32 6.55 6.32 5.83 3.82 3.94 6.38 3.03 7.18 6.54 4.35 6.16 3.1 6.86 2.78 0.68 4.28 7.23 1.23 6.47 6.04 6 3.7 4.16 4.68 2 4.82 5.48
"19" 2.69 5.18 7.56 4.94 7.21 5.82 5.79 4.53 4.59 4.71 2.21 6.6 3.81 6.8 5.18 6.03 5.69 7.65 4.87 5.75 4.56 4.21 5.31 5.57 5.38 5.61 4.64 5.42 4.69 8.1 4.09 7.84 7.43 5.06 5.61 5.31 3.21 5.72 6.41 3.7
"20" 4.12 5.21 3.87 4.23 5.2 5.99 4.8 5.88 7.7 6.25 4.46 9.08 5.96 3.87 7.44 3.09 2.72 8.57 5.74 4.9 2.88 4.72 5.58 5.65 4.3 2.96 3.38 5.85 5.81 8.82 3.51 5.44 8.12 4.8 7.35 7.18 6.24 5.49 3.94 8.84
"21" 5.25 7.51 2.43 5.5 6.3 2.62 3.87 7.32 4.43 4.16 2.72 5.22 5.42 6.93 3.71 5.12 5.74 4.18 2.27 5.31 3.61 7.98 3.86 7.96 6.82 7.75 5.39 7.71 2.19 7.98 0.95 8.31 4.01 6.19 6.88 3.36 10.17 -0.9 7.14 8.08
"22" 4.35 3.48 6.27 3.5 6.94 7.73 5.34 4.43 8.29 5.38 7.29 3.73 6.15 4.34 6.56 6.18 9.54 2.77 4.32 4.16 4.64 5.41 8.55 5.18 7.68 4.51 5.17 3.1 4.49 5.65 8.05 3.95 6.47 4.04 8.21 1.02 6.21 5.91 7.95 3.14
"23" 5.06 4.44 3.88 5.89 3.2 2.76 2.43 9.02 8.23 7.26 6.08 5.76 6.04 5.57 5.32 4.01 3.54 3.56 5.98 7.2 7.46 4.78 5.03 9.5 5.15 4.98 3.98 4.3 5.65 2.43 5.11 5.83 4.51 6.85 6.36 5.8 4.75 3.17 6.72 5.5
"24" 9.2 6.93 7.57 3.26 3.58 7.94 3.88 1.67 7 7.79 5.93 6.9 9.81 5.61 7.94 3.25 7.98 5.93 5.04 5.19 4.04 6.2 7.63 1.82 5.06 10.27 5.84 6.35 5.97 2.81 6.94 6.05 4.16 8.62 3.16 1.77 2.26 3.69 4.43 5.62
