"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 5.46 6.7 6.49 4.15 5.64 7.13 2.71 5.21 3.95 8.09 4.56 7.07 3.84 6.5 3.23 5.22 6.87 2.78 5.5 6.11 5.03 3.65 2.94 7.34 2.24 2.74 5.74 4.07 4.7 5.43 5.78 3.89 3.16 6.05 3.33 8.79
"2" 6.09 4.48 2.86 5.47 3.28 6.63 5.02 7.43 6.76 5.89 6.06 3.69 7.36 7.16 5.9 4.31 7.41 6.49 5.8 3.63 6.95 5.28 1.63 2.6 4.37 2.82 8.05 6.25 4.3 8.24 5.66 4.71 1.56 8.69 2.83 3.68
"3" 4.74 5.17 4.13 5.46 2.8 2.74 6.16 2.04 4.03 9.44 4.69 4.47 6.74 3.83 4.18 6.49 5.93 4.48 5.88 2.72 5.43 5.09 2.62 3.87 5.49 8.11 4.02 5.13 3.99 5.14 2.53 4.04 4.8 7.04 8.93 5.18
"4" 9.88 5.15 1.26 9.12 3.23 4.19 3.65 5.33 4.52 4.34 5.35 4.42 4.9 7.25 4.75 3.15 1.07 2.97 6.78 4.38 3.77 9.02 3.47 7.15 6.8 3.15 4.84 6.36 5.46 4.69 4.56 0.76 1.78 5.39 8.71 8.19
"5" 6.8 9.63 3.98 5.72 7.34 6.18 6.18 6.38 6.33 5.96 3 5.73 8.76 3.73 3.3 0.21 6.58 6.13 7.6 4.98 5.19 2.1 5.44 5.37 2.28 7.65 5.2 4.15 2.55 6.2 4.51 0.14 9.08 5.2 4.15 7.61
"6" 5.92 6.25 3.92 1.31 9.55 3.11 3.38 2.93 4.86 5.24 4.21 4.47 3.35 4.82 4.45 1.57 2 3.96 3.41 3.67 3.03 4.13 4.44 5.01 2.93 8.12 5.99 4.05 4.2 2.5 8.02 6.39 6.36 5.08 7.45 5.29
"7" 3.53 6.41 8.52 3.73 4.91 6.7 8.16 2.59 2.2 5.02 4.4 7.41 3.18 5.03 4.47 6.16 4.75 3.07 4.95 6.12 5.5 6.59 4.28 5.84 6.15 4.74 7.26 4.01 5.02 2.66 5.92 7.33 6.56 5.82 6.01 4.53
"8" 5.44 3.87 4.25 2.97 4.92 5.22 2.82 3.26 5.26 6.94 2.28 4.82 6.49 4.41 6.55 0.96 2.65 3.47 4.62 5.72 2.25 5.8 11.57 4.44 5.44 2.92 3.06 3.38 6.76 5.21 1.95 5.55 4.61 7.52 6.08 5.64
"9" 5.78 0.73 5.19 4.22 3.7 6.2 2.82 6.06 5.91 4.26 6.06 5.09 3.66 5.2 6.78 1.84 5.91 1.35 7.47 5.74 3.84 5.74 6.78 4.47 2.25 2.13 0 3.97 5.81 5.59 7.6 4.46 8.18 6.76 4.2 3.98
"10" 4.31 6.79 6.87 6.72 4.43 4.57 1.62 3.15 7.7 5.64 2.28 9.38 7.1 5.96 -3.21 7.38 6.48 3.88 4.56 7.45 5.24 2.02 7.14 6.92 4.82 5.09 4.8 2.64 6.98 9.64 4.28 6.26 3.65 2.15 3.94 3.5
"11" 4.67 5.61 6.25 5.23 3.42 4.97 5.4 2.91 5.6 7.45 7.59 4.46 3.89 5.64 6.07 8.12 11.03 6.46 4.65 5.8 7.39 3.03 1.67 4.07 6.77 4.51 6.21 6.33 5.07 5.37 3.3 4.2 5.25 6.65 3.68 5.85
"12" 4.5 0.64 4.98 3.21 4.74 4.86 4.68 4.52 8.14 2.41 2.42 3.77 3.39 6.92 0.09 3.23 3.24 6.99 5.75 7.64 4.27 3.25 8.38 4.11 6.86 6.9 3.68 4.31 5.82 3.36 1.94 3.83 5.27 6.35 7.17 4.14
"13" 7.47 6.75 5.53 4.79 9.64 3.65 7.55 6.08 2.76 2.29 5.82 5.14 5.26 3.61 5.42 4.79 7.56 6.69 -1.8 7.22 7.17 2.25 5.36 7.24 4.84 2.43 0.83 5.01 4.24 6.86 5.76 8.01 1.39 7.56 3.98 4.35
"14" 4.31 4.34 2.09 2.7 6.02 2.53 1.67 4.51 4.32 5.05 6.44 0.92 3.19 5.52 2.41 5.86 8.89 5.9 4.98 4.28 6.68 6.02 0.89 7.04 3.4 5.98 2.65 3.96 4.62 3.72 4.91 5.77 9.05 2.97 3.88 5.04
"15" 5.97 5.12 6.27 7.96 1.43 5.63 5.45 -1.11 2.33 10.5 7.43 9.59 5.8 4.35 5.09 4.2 6.58 3.47 4.29 5 8.25 3.86 7.15 5.28 8.42 5.97 1.99 4.43 6.99 1.08 0.35 2.41 2.5 7.98 4.05 5.09
"16" 4.87 3.77 8.57 5 4.21 4.22 5.52 6.04 5.93 4.99 4.87 2.03 4.53 1.36 7.68 4.21 4.28 4.09 2.44 2.03 3.73 5.03 6.49 4.84 4.92 3.65 4.94 2.41 4.53 3.98 7.02 7.54 7.75 3.86 4.27 6.87
"17" 5.45 5.31 2.84 2.39 4.78 3.88 4.8 8.35 2.64 4.95 5.78 4.87 7.95 6.09 4.99 3.09 4.13 5.39 1.51 6.89 5.52 4.38 5.72 4.27 3.45 1.84 5.85 3.23 0.47 5.61 8.14 6.89 4.92 9.63 8.01 7.62
"18" 7.04 10.75 2.93 3.22 8.16 4.43 5.65 2.14 8.17 6.27 4.24 5.73 9.61 4.15 3.78 5.24 6.11 5.33 4.09 5.61 6.4 5.84 2.88 5.61 6.37 5.41 2.38 5.73 1.94 3.11 8.06 3.36 4.32 4.98 4.57 5.55
"19" 5.48 8.54 4.36 5.3 3.21 5.42 6.06 4.18 8.07 6.2 4.17 4.48 4.87 5.53 9.71 5.6 5.09 5.23 5.11 6.74 7.04 9.42 2.58 1.08 2.13 4.39 4.44 3.85 5.43 3.2 7.2 5.16 7.7 3.62 4.68 5.12
"20" 6.66 4.74 4.58 7.45 5.56 4.34 4.5 5.17 3.57 7.23 5.71 3.39 8.24 3.63 7.28 2.36 7.49 5.03 6.02 4.56 9.53 4.75 7.41 8.13 7.94 2.61 4.15 2.99 3.59 5.26 3.64 1.48 8.47 6.78 7.11 3.67
"21" 6.76 3.98 5.57 7.08 3.84 4.53 7.1 0.42 6.27 4.83 3.32 4.63 5.81 5.56 6.39 3.08 5.7 6.73 2.93 5.65 6.72 1.59 5.1 8.42 5.96 5.86 3.25 2.98 7.62 3.15 1.28 6.86 5.75 6.4 4.56 -0.49
"22" 2.27 4.13 9.17 6.31 4.88 6.21 6.6 5.98 4.75 2.73 6.95 7.3 6.69 4.09 5.86 4.64 5.57 7.31 5.3 2.17 3.68 2.27 3.02 3.91 3.57 3.57 2.65 2.36 3.92 4.87 4 6.14 6.02 6.78 5.62 6.11
"23" 4.82 8.8 1.35 2.26 3.46 4.65 6.03 7.66 4.08 3.38 5.35 5.13 2.49 2.54 6.9 2.91 7.22 4.35 6.61 6.06 9.19 3.81 2.09 7.47 3.21 8.99 4.73 5.33 2.72 4.78 6.6 3.11 5.26 6.33 3.96 4.96
"24" 5.23 7.8 2.97 3.57 3.34 3.43 10.23 4.48 5.23 5.86 3.7 8.25 6.3 3.44 10.96 3.66 6.83 3.82 9.14 3.98 2.85 4.62 4.09 3.87 3.83 7.99 6.56 7.5 3.36 4.09 4.3 5.82 7.66 6.85 3.5 8.18
"25" 4.87 4.76 6.57 3.64 6.8 5.38 1.69 8.06 6.05 4.6 4.42 6.76 4.39 5.36 2.03 2.27 5.52 2.77 3.15 5.12 1.08 4.27 4.08 4.67 2.35 6.76 6.72 6.59 5.78 4.85 8.38 3.62 7.66 4.73 2.66 2.08
"26" 3.79 5.97 7.09 5.92 9.62 5.36 5.49 3.75 5.89 1.79 7.88 5.3 6.2 2.18 7.43 7.25 7.95 5.33 4.64 6.12 4.32 6.85 5.48 7.66 6.53 5.52 6.29 3.56 4.81 7.05 4.23 6.14 2.95 3.96 2.56 5.77
"27" 7.81 2.5 4.69 4.11 2.38 4.09 3.92 6.53 7.98 5.81 5.11 2.97 3.8 7.48 5.54 3.35 1.82 4.37 9.85 3.47 6.2 3.87 7.1 2.02 5.21 3.59 5.52 4.72 6.46 4.02 4.82 5.4 5.38 7.2 5.77 4.46
"28" 2.65 6.4 5.04 5.14 8.13 5.65 2.96 6.5 6.05 8.43 5.92 5.25 6.91 6.88 4.48 5.15 5.66 0.3 3.6 1.95 1 5.07 4.4 8.61 2.7 6.31 6.68 1.65 5.58 1.73 5.06 7.08 4.51 5.66 2.79 6.12
