"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"1" 4.56 2.82 4.78 3.33 5.61 6.05 3.42 4.83 4.12 4.12 6.13 7.55 7.02 0.89 5.53 5.8 5.13 7.29 3.99 6.59 4.46 3.58 5.51 6.46 5.8 7.5 6.37 4.48 6.92 7.04 3.38 3.25 6.07 3.39 5.56 2.91 7.65 0.6 8.71 3.81 6.54 8.31 2.28 7 5.4
"2" 3.68 5.08 4.45 5.09 7.56 5.08 2.2 7.47 3.95 3.71 5.51 6.2 8.53 3.61 5.98 3 4.78 7.11 5.63 1.55 7.36 5.39 6.46 6.98 5.56 3.25 7.88 5.87 7.15 -0.86 3.26 2.57 6.58 2.07 8.47 4.78 5.3 6.91 2.97 5.17 6.67 4.63 7.41 4.23 4.23
"3" 6.77 3.94 6.62 3.89 4.1 4.9 5.63 3.62 6.2 4.77 5.09 5.62 5.88 3.74 5.91 9.02 4.29 4.59 3.55 4.4 5.36 8.54 5.25 6.05 5.63 4.74 7.23 6.16 4.67 4.14 4.74 6.07 4.07 5.09 5.91 6.16 6.66 3.07 6.72 2.82 8.03 2.22 3.36 4.81 5.68
"4" 5.98 2.88 4.25 4.78 3.34 4.33 2.69 4.82 5.11 9.17 5.15 6.39 3.15 8.49 4.49 5.31 5.38 3.49 5.89 5.31 2.43 2.8 5.72 5.24 6.33 3.94 4.24 7.91 2.43 1.17 4.99 8.49 6.7 6.27 5.92 3.55 2.69 5.41 1.34 5.78 5.42 1.85 2.85 4.2 7.14
"5" 0.32 7.1 4.64 2.5 2.68 3.46 4.52 9.33 5.21 3.56 8.61 2.51 2.87 4.11 6.52 3.91 7.26 4.06 4.93 5.89 4.15 7.09 3.73 6.25 3.99 4.49 6.16 6.92 5.06 3.51 3.67 6.08 7.44 3.17 4.77 3.24 4.37 5.39 6.84 4.95 4.36 3.59 7.03 6.4 8.19
"6" 4.44 1.75 3.45 2.4 4.14 3.72 5.18 4.27 9.46 5.93 7.21 3.52 8.57 5.79 3.43 5.06 4.89 6.94 5.18 5.38 7.92 4.54 3.49 3.75 7.52 1.24 4.54 7.43 3.97 4.86 2.26 3.29 4.36 5.38 3.75 5.88 7.75 5.92 5.29 5 2.98 4.26 4.7 4.57 9.59
"7" 2.81 2.39 8.58 2.3 1.32 5.36 4.3 5.26 4.82 7.97 2.66 4.89 7.7 8.07 4.38 5.29 5.24 5.07 3.15 3.46 5.63 3.5 5.09 8.03 2.18 1.18 3.36 5.11 7.49 3 3.35 6.69 3.38 5.96 4.55 5.46 6.97 2.99 3.55 1.95 4.51 8.58 4.66 4.74 5.46
"8" 5.47 3.08 2.41 6.65 3.62 5.68 4 5.75 4.42 4.27 1.66 4.77 4.08 4.85 5.72 2.86 0.02 6.48 5.69 5.74 3.04 5.15 2.79 3.85 4.86 5.8 4.32 8.33 5.69 3.58 4.82 5.42 5.34 5.16 5.33 5.66 4.15 3.25 2.77 3.64 6.01 2.68 6.52 6.18 3.5
"9" 5.42 2.49 2.31 0.94 9.72 5.3 7.14 3.45 8.01 4.23 4.61 4.12 2.21 3.42 4.04 4.76 4.6 4.24 2.87 1.74 7.22 5.72 9.01 6.09 3.59 2.29 8.63 7.32 3.66 4.74 8.17 7.17 7.59 6.63 5.67 7.98 8.84 4.85 5.57 3.68 5.46 3.61 3 7.87 7.92
"10" 3.39 8.74 8.18 7.62 5.17 5.32 7.28 0.85 4 2.88 1.76 3.69 5.91 2.97 4.67 7.18 5.8 9.68 3.8 7.43 3.65 3.55 5.26 5.91 3.8 5.32 5.37 2.98 5.96 6.64 2.06 6.98 5.61 4.68 5.55 2.88 0.65 7.8 10.19 7.19 5.07 1.19 3.99 3.93 5.85
