"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75"
"1" 4.51 5.69 0.19 9.34 2.13 5.67 4.98 5.56 2.65 6.9 6.68 4.58 6.5 4.03 5.85 6.64 6.09 4.98 3.27 1.38 4.73 5.16 2.86 2.55 6.51 7.65 5.13 3.38 6.09 3.63 4.47 5.59 6.8 5.17 4.94 6.54 5.15 4.51 2.38 6.49 6.45 7.98 6.49 4.93 5.93 4.4 5.6 6.34 7.89 4.93 4.72 4.66 5.15 3.29 3.43 5.21 8.88 6.09 4.46 6.8 2.55 3.18 7.55 2.11 3.1 7.21 3.82 4.97 7.63 4.93 6.6 8.1 5.87 3.08 2.73
"2" 1.53 5.54 6.11 4.21 7.03 4.6 9.94 7.16 3.78 3.28 7.01 6.42 5.95 3.97 1.62 5.72 5.35 5.71 5.81 3.47 6.67 8.41 8.8 6.2 5.36 8.61 5.3 4.18 4.36 5.7 5.39 6.6 5.59 3.01 2.44 3.43 2.28 5.75 3.78 7 6.93 4.55 2.98 8.65 5.24 7.08 5.3 6.15 4.39 1.95 7.38 3.6 2.57 2.97 3.3 4.44 6.56 4.27 1.44 7.02 5.8 9.22 0.41 8.93 7.64 4.83 3.62 2.9 7.33 3.91 5.89 8.05 9.19 5.01 1.9
"3" 4.36 8 7.75 5.28 2.63 4.04 2.56 5.91 6.19 4.7 6.55 6.29 3.08 4.94 3.91 6.17 1 8.42 6.77 5.75 5.36 7.27 8.13 8.28 4.51 3.75 5.52 3.78 8.49 7.21 1.73 7.98 6.06 6.62 8.07 6.4 3.98 8.15 4.99 3.38 7.67 -0.06 4.55 5.56 7.8 6.93 1.88 5.49 6.5 7.38 5.1 3.76 5.66 3.23 4.43 6.24 8.47 6.48 6.84 2.62 3.54 3.81 7.05 5.64 6.85 0.99 3.74 5.55 0.37 4.83 5.6 2.42 2.29 6.8 6.85
"4" 5.15 3.91 9.42 8.74 6.44 7.43 3.07 2.76 3.6 4.37 4.18 3.84 3.15 5.1 5.16 3.55 6.1 6.06 0.75 7.06 2 4.57 5.35 5.72 9.65 4.29 0.95 5.25 4.74 2.17 4.18 1.02 5.5 5.55 7.92 4.5 4.15 2.78 6.25 3.08 7.54 4.92 3.64 7.49 4.04 2.59 3.89 3.6 1.34 5.53 6.62 4.17 4.28 4.89 4.8 1.52 4.04 3.9 4.65 0.48 7.02 5.24 3.78 2.43 2.43 4.25 7.78 5.68 4.2 4.26 0.89 2.62 7.96 4.06 1.65
"5" 3.69 1.7 7.4 5.6 9.22 5.49 0.77 5.48 3.34 4.5 3.55 5.31 3.98 3.73 5.92 5.08 7.63 4.87 5.22 4.56 3.72 6.79 5.35 4.7 1.64 9.63 3.23 3.04 4.61 5.59 2.47 4.14 7.27 7.71 7.14 0.85 4.64 4.18 -0.24 6.79 1.44 2.03 1.88 5.4 6.89 6.19 2.84 4.41 3.3 4.41 3.71 5.41 2.78 5.77 3.83 5.49 4.87 4.67 4.84 6.62 2.31 7.35 4.93 3.38 5.62 2.14 4.96 9.34 4.39 4.48 9.16 4.87 8.71 8.42 7.2
"6" 7.61 8.3 5.15 4.29 8.24 8.05 6.07 2.22 0.05 6.01 7.93 5.24 3.28 4.44 4.55 3.34 6.42 6.2 2.76 3.92 6.02 6.69 5.84 7.21 2.36 9.29 3.47 3.12 7.33 3.86 6.54 8.12 1.72 8.1 6.84 3.27 5 5.89 4.5 3.56 4.34 6.04 8.09 5.62 6.12 4.29 7.1 8.04 2.52 6.56 5.39 2.58 5.26 3.16 7.38 8.1 4.11 5.32 4.38 0.41 4.66 5.64 9.03 4.21 7.12 7 6.04 4.12 2.79 5.29 7.94 2.46 3.96 4.21 -0.86
"7" 4.45 5.3 5.88 3.56 7 3.19 1.95 4.38 4.31 6.74 4.16 3.85 3.68 0.55 2.3 5.15 5.48 3.69 4.73 8.59 2.67 3.35 7.69 1.14 3.04 9.65 3.76 6.41 1.7 4.26 3.63 1.63 2.8 5.04 7.74 3.43 7.47 7.46 8.32 6.22 6.29 4 6.73 6.77 1.3 5.24 6.88 6.24 5.56 7.07 2.31 5.07 3.91 0.92 8.34 -0.07 2.16 2.42 4.76 7.57 5.78 8.53 7.1 2.3 6.59 5.32 6.24 6.63 4.93 7.73 8.38 4.33 3.04 1.97 3.03
"8" 6.27 6.73 4.21 5.66 6.89 3.49 3.33 1.31 4.7 1.66 3.88 7.02 1.88 7.61 7.01 4.56 6.14 5.65 5.95 4.93 2.74 5.51 4.13 4.34 4.69 6.57 6.08 2.64 6.84 7.32 4.2 5.18 4.73 3.5 4.96 2.78 5.92 3.81 5.7 7.5 6.55 3.13 6.62 4.22 2.35 3.81 4.24 4.87 4.34 5.48 6.72 8.66 7.11 4.21 8.96 9.99 1.95 5.6 1.58 5.72 7.25 5.04 5.58 2.96 2.4 6.87 7.57 5.94 3.18 3.42 6.31 2.76 5.72 2.09 4.66
"9" 7.06 3.64 3.48 5.62 4.88 5 0.76 6.64 2.66 5.42 7.61 4.31 2.95 3.92 3.6 4.66 3.75 2.47 3.07 3.18 9.29 5.66 7.19 4.17 6.02 7.23 3.82 6.23 2.22 5.22 5.65 4.47 6.33 7.86 9.46 7.12 2.01 6.25 5.35 2.69 5.56 3.82 4.6 4.41 4.14 5.2 5.32 6.74 3.07 1.59 6.67 6.54 4.7 6.77 4.5 6.52 5.11 3.11 3.21 8.36 8.49 3.61 3.71 5.83 3.42 6.01 9.76 4.19 4.12 2.65 7.5 3.77 8.97 8.19 3.8
"10" 2.66 4.33 4.17 3.25 5.08 2.51 4.95 4.45 4.12 3.78 4.54 4.86 3.33 2.08 1.69 4.51 8.83 5.85 2.84 4.62 4.52 3.76 2.76 8.37 7.32 5.7 3.48 5.18 5.91 1.94 3.87 7.69 7.19 6.51 2.17 3.68 3.04 8.63 1.94 6.24 1.28 2.48 5.77 0.76 6.05 4.15 1.89 5.83 5.5 3.31 5.52 5 2.39 3.83 3.78 3.88 8.41 5.14 4.82 4.4 1.96 5.24 5.65 6.63 3.83 3.9 6.86 4.94 7.88 7.9 5.29 5.51 8.88 5.32 4.07
"11" 4.66 5.62 4.99 3.49 0.34 4.17 6.75 9.38 5.93 2.89 3.68 3.94 7.93 2.33 4.06 3.28 4.6 5.93 6.57 7.27 6.91 5.6 8.36 4.41 2.58 4.98 3.12 1.14 6.08 3.3 4.33 6.69 4.2 10.79 7.38 7.98 2.71 4.26 6.18 4.01 5.97 3.42 5.48 7.18 6.78 5.33 5.77 8.09 10.18 9.16 7.88 2.57 6.56 2.46 6.57 2.75 2.23 5.71 3.28 5.24 5.91 0.72 5.83 5.77 6.81 0.66 3.86 2.75 3.16 3.74 5.27 3.86 5.63 7.34 6.38
"12" 9.4 3.87 3.08 2.59 4.92 4.76 4.42 6.61 2.44 6.41 4.83 2.89 3.42 5.4 7.28 6.28 4.02 7.73 6.35 3.16 7.48 6.41 4.1 5.64 5.31 4.93 4.6 4.72 5.07 5.78 6.26 7.28 4.15 5.23 2.39 5 6.31 6.35 6.44 3.8 0.12 6.62 5.57 6.95 5.04 -0.35 2.45 5.87 5.22 1.28 4.23 5.12 5.26 6.5 3.87 2.3 3.46 1.95 3.89 2.93 4.9 2.87 6.57 5.77 5.92 2.46 5.79 4.31 10.31 5.64 4.16 5.72 5.08 2.12 3.29
