"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98"
"1" 4.93 4.44 3.27 11.15 7.79 5.64 3.78 1.68 5.96 6.4 7.62 7.89 2.47 7.57 3.09 2.79 3.05 5.21 6.55 6.53 2.12 1.47 3.77 4.06 5.04 7.52 4.17 4.12 5.53 5.8 2.62 4.16 3.85 2.45 7.41 3.09 1.79 4.55 1.16 6.3 0.93 5 9.75 5.57 5.42 7.59 6.16 5.81 3.61 7.96 4.56 5.69 6.19 2.62 5.55 6.91 8.72 3.23 7.9 5.96 2.75 3.88 2.63 4.32 1.53 8.31 7.28 4.22 1.02 3.28 8.69 5.64 2.57 2.74 5.52 7.27 6.54 2.22 6.39 7.49 4.02 7.72 5.82 0.65 8.77 2.93 5.37 5.26 2.87 3.62 7.38 8.86 4.69 8.03 4.17 7.33 2.79 2.95
"2" 4.52 5.61 4.77 -0.09 7.57 6.44 5.5 2.66 6.06 2.47 5.02 9.41 5.42 1.2 4.2 8.93 4.07 3.6 4.13 4.77 4.83 6.76 4.28 5.38 4.26 9.18 4.68 3.64 4.72 5.44 4.37 8.33 5.99 10.13 4.97 -1.21 5.25 5.09 3.84 4.32 7.73 7 4.08 3.11 3.29 2.72 2.84 5.99 2.91 4.86 4.66 4.24 5.61 1.09 4.51 4.03 5.02 7.2 0.05 7.47 1.83 2.86 4.8 5.08 2.19 5.35 3.8 4.85 5.42 3.84 5.15 4.55 7.29 3.88 7.29 4.43 6.53 4.56 5.97 2.94 6.82 6.72 7.42 7.23 5.17 6.97 10.07 4.65 5.61 6.49 3.42 3.64 6.72 8.05 5.65 2.4 8.74 5.04
"3" 3.99 2.66 5.24 4.27 6.03 6.06 6.93 4.58 6.68 6.57 10.36 4.48 4.2 5.03 5.54 4.98 3.61 4.65 5.04 1.31 1.76 5.19 5.28 9.94 4.65 5.41 3.21 5.06 4.46 1.94 4.23 7.5 7.94 5.94 5.87 6.38 6.61 5.76 4.05 6.19 5.38 4.43 4.3 2.55 6.44 9.13 4.95 6.25 2.95 4.8 4.11 4.33 6.79 0.93 5.94 2.44 5.24 6.97 4.4 7.11 6.19 7.72 7.14 1.7 1.26 5.61 5.31 4.37 3.71 6.8 7.01 9.11 5.76 5.72 2.39 6.83 2.78 8.16 2.98 4.96 8.59 7.12 6.88 2.78 6.13 6.11 8.07 6.03 6.04 0.98 3.7 6.24 4.62 4.11 1.46 3.44 4.41 5.43
"4" 6.16 4.92 6.4 8.44 0.48 4.23 1.78 6.32 7.18 7.04 5.85 4.35 5.7 4.78 4.7 4.15 4.09 2.87 4.8 5.68 4.92 7.6 6.32 5.54 4.05 3.63 4.4 6.18 4.98 9.1 2.64 3.8 -0.29 8.46 6.3 6.25 4.59 3.62 3.76 2.33 3.79 10.96 3.37 1.53 1.67 2.99 4.21 5.07 7.3 3.27 8.2 5.44 7.43 5.26 4.35 5.12 9.42 5.22 5.38 4.02 5.01 0.74 5.37 6.5 5.25 6.21 5.01 3.88 3 7.94 5.43 4.09 2.58 4.98 3.57 5.7 -0.13 6.39 5.49 5.53 5.72 5.84 4.67 9.02 2.35 3.78 3.9 5.96 4.84 5.04 5.65 3.71 7.77 4.67 3.29 4.73 5.37 3.01
"5" 7.13 6.92 1.91 5.41 5.57 3.64 6.41 6.34 1.56 7.4 2.82 3.02 6.69 2.09 7.17 5.7 4.18 8.48 3.44 6.58 2.68 5.78 3.66 3.87 4.94 4.38 2.21 7.06 5.94 7.97 5 8.7 6 7.25 6.1 4.95 5.11 5.26 6.62 6.17 5.29 7.64 7.44 5.6 7.8 6.2 4.42 2.63 5.09 6.68 3.63 6.29 5.19 2.39 0.92 1.85 2.35 4.81 2.97 5.96 9.22 3.65 4.68 8.46 5.23 2.56 3.82 5.72 3.97 5.74 1.68 5.53 6.82 5.47 3.63 2.65 6.33 3.77 6.9 8.23 8.45 6.23 7.57 6.66 0.53 2.03 7.54 5.06 4.98 5.87 7.87 7.03 8.66 4.31 4.91 6.51 6.61 4.56
"6" 1.93 6.09 0.84 2.18 4.52 2.86 10.97 2.7 0.26 5.31 5.92 4.61 3.85 7.76 5.44 2.33 6.01 6.33 3.26 1.64 4.54 6.66 7.38 3.59 4.03 2.24 4.93 2.48 3.75 8.1 2.55 6.21 5.18 4.67 5.38 4.52 6.09 4.89 7.52 7.77 6.03 3.32 5.28 3.46 4.19 5.4 5.17 2 5.51 6.93 6.73 6.26 6.41 7.54 6.87 6.12 6.75 8.44 7.04 9.97 5.06 5.92 4.59 4.23 3.25 7.79 7.24 6.36 4.49 3.73 3.61 4.28 4 3.36 6.34 4.47 1.24 4 7.81 5.35 5.51 4.71 4.77 3.36 3.54 3.75 6.73 6.82 4.27 7.22 2.85 8.41 9.01 2.17 4.51 8.02 8.82 1.29
"7" 4.82 2.34 6.46 5.9 4.89 5.58 4.42 4.92 3.59 3.34 5.7 1.25 6.27 1.81 6.24 6.27 6.1 4.55 5.66 5.04 2.66 6.46 5.32 2.11 6.38 5.02 5.76 8.81 3.88 4.33 3.16 4.92 4.22 5.05 3.18 3.12 5.7 5.6 4.97 2.87 6.17 0.09 3.79 5.62 2.49 3.37 4.38 5.96 3.54 4.78 5.79 3.17 2.52 2.78 7.92 2.83 7.24 4.63 1.82 6.39 6.47 3.7 5.21 7.65 3.75 3.18 6.72 1.77 5.92 3.98 10.22 5.43 5.74 7.45 5.72 6.18 5.16 5.47 3.94 4.7 3.34 1.05 4.14 3.03 5.98 4.46 2.82 2.48 3.7 5.31 5.21 0.61 3.94 6.81 3.57 4.66 4.27 4.41
"8" 6.29 5.62 3.36 7.93 3.27 6.29 4.25 6.05 6.9 5.44 7.98 3.98 5.83 3.82 7.66 1.06 0.02 9.25 4.62 6.31 4.1 4.51 8.13 5.89 8.48 4.45 3.65 6.53 7.58 7.52 8.61 2.9 4.74 5.12 8.96 5.82 5.21 5.55 3.67 3.5 4.17 7.31 4.12 5.61 6.91 2.02 3.53 4.67 3.63 4.9 4.7 4.71 7.67 3.92 5.95 3.18 6.74 8.03 4.98 4.31 2.79 5.74 7.27 5.48 3.4 7.26 -0.93 4.85 1.6 4.18 4.73 4.05 0.44 2.94 10.2 7.19 7.8 1.46 3.05 3.55 6.9 5.21 6.49 4.55 2.89 7.11 5.81 4.45 4.46 6.27 -0.16 2.87 6.24 5.53 6.6 5.58 1.12 8.81
"9" 8.7 2.88 3.35 2.21 4.96 4.32 5.22 6.21 6 6.87 2.27 5.85 6.19 4.62 3.91 6.65 6.25 4.68 4.85 10.35 2.94 4.19 7.78 5.52 1.03 3.02 1.5 4.03 2.01 1.18 6.26 4.35 3.77 2.9 4.54 4.32 2.92 2.24 7.99 2 4.62 3.26 5.05 3.67 6.62 5.49 3.64 9.01 7.44 0.69 7.38 4.51 2.22 6.76 5.75 6.92 2.69 4.2 8.79 10.9 1.3 6.19 3.63 0.75 1.25 6.35 1.15 7.63 4.19 3.72 5.3 5.06 6.65 7.43 2.47 7.12 4.98 4.3 7.09 1.24 10.03 3.12 4.63 6.24 7.38 5.23 3.09 5.76 8.65 5.18 4.98 4.05 6.35 3.05 6.09 5.22 5.56 3.26
"10" 4.17 7.66 4.24 2.53 6.38 4.6 6.53 3.44 9.03 5.13 2.02 5.66 3.84 5.22 7.76 8.16 4.47 5.75 4.97 5.72 4.01 7.74 6.1 4.9 4.44 2.54 1.55 4.84 8.99 4.86 2.11 8.97 6.19 5.65 6.02 2.28 8.89 6.34 5.89 5.09 7.15 9.26 5.63 6.14 3.66 5.63 4.67 6.5 4.02 5.14 4.75 2.29 4.06 3.94 6.69 0.99 3.81 8.42 6.75 5.92 1.88 4.38 8.44 6.93 8.22 5.69 3.88 4.85 2.46 4.37 4.39 4.6 3.94 8.15 4.47 6.63 7.33 9 6.36 6.91 7.32 2.1 4.67 3.9 6.88 3.05 9.67 3.72 2.23 8.42 3.9 2.68 5.33 3.77 6.92 5.59 3.21 5.43
