"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"1" 7.15 1.72 5.33 6.61 8.17 4.01 3.02 5.1 2.98 3.23 2.27 3.48 2.05 3.15 5.45 2.37 5.18 6.23
"2" 5.55 3.82 2.46 7.83 6.14 7.29 8.02 5.6 5.18 3.21 3.28 3.88 6.93 7.93 5.93 5.32 5.6 6.95
"3" 4.25 5.02 3.87 3.85 0.89 6.91 6.4 5.18 5.12 6.78 9.24 7.32 4.38 6.71 3.81 7.87 7.38 6.86
"4" 5.82 7.38 6.82 8.54 3.4 4.94 5.26 3.55 3.88 8.34 7.51 4.59 2.6 7.8 1.45 6.12 4.52 5.96
"5" 6.93 5.77 3.87 -0.39 6.07 6.45 3.22 6.95 3.26 4.18 3.23 5.99 9.46 5.5 6.12 5.46 5.68 2.09
"6" 1.41 7.22 6.14 3.98 5.9 4.81 7.62 5.59 5.56 1.36 6.53 5.42 3.01 0.82 7.33 5.4 6.89 4.25
"7" 8.88 4.93 11.07 7.49 4.36 7.01 6.55 4.48 1.57 7.88 4.84 5.45 4.65 6.84 7.65 3.13 6.95 4.87
"8" 6.35 4.73 5.59 4.75 8.78 2.93 5.91 5.79 6.97 4.68 5.77 1.18 3.96 1.78 8.69 5.03 4.9 5.3
"9" 5.8 7.6 8.96 3.74 1.29 6.47 5.49 4.68 3.64 5.67 3.27 7.96 2.73 4.46 3.71 5.91 7.12 4.94
"10" 6.69 4.35 8.99 4.25 4.13 6.05 3.8 6.37 3.61 1.96 6.89 7.19 4.49 4.97 4.18 6.8 6.04 1.76
"11" 3.85 6.32 7.05 7.37 6.16 4.1 6.29 5.4 1.46 3.53 3.78 5.53 9.44 4.94 5.05 7.53 6.5 4.79
"12" 3.45 3.09 4.12 2.23 7.06 3.75 5.99 0.69 4.7 7.46 7.89 5.33 6.29 3.72 5.23 4.07 4.66 5.56
"13" 4.87 3.74 10.97 6.14 3.35 5.14 5.4 6.48 4.11 6.02 2.4 5.17 9.52 7.77 4.58 4.03 9.37 3.22
"14" -0.83 4.54 9.15 5.12 3.53 3.09 7.01 4.3 3.1 6.34 3.78 8.99 3.64 4.78 5.28 0.91 5.7 7.08
"15" 8.08 3.21 4.44 6.02 2.64 6.14 5.22 4.19 2.49 7.6 7.07 3.9 4.96 4.72 3.35 1.22 4.3 3.44
"16" 2.47 4.87 1.97 5.3 3.34 3.21 4.48 3.64 4.1 6.4 3.47 8.79 7.44 7.32 4.75 3.03 3.33 5.58
"17" 6.16 2.39 9.08 6.58 6.1 3.37 6.11 3.98 5.97 9.59 3.93 9.23 7.21 4.03 0.71 4.73 1.91 5.89
"18" 4.25 4.36 8.04 5.86 4.76 9.24 8.46 4.71 4.94 3.52 4.52 3.79 3.05 5.1 7.02 4.29 7.12 5.4
"19" 7.26 2.15 6.65 7.12 2.91 4.06 4.04 2.9 6.96 4.09 6.28 1.8 3.45 2.8 4.67 4.97 5.24 4.04
