"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"1" 3.62 6.59 3.06 1.75 2.31 3.93 2.94 5.42 8.54 4.02 6.15 5.95 1.47 7.91 9.44 8.89 3.15
"2" 5.95 4.17 4.32 4.95 7.45 3.25 4.08 8.86 3.78 4.75 3.78 5.51 6.96 6.49 2.07 7.92 9.39
"3" 6.76 5.73 4.78 2.65 5.26 3.84 6.59 6.77 7.98 5.44 7.4 3.41 6.78 4.75 1.17 2.24 2.82
"4" 4.83 3.71 3.62 5.65 7.73 6.2 5.26 3.9 2.19 7.84 3.23 6.39 5.01 5.53 4.91 6.19 8.18
"5" 2.84 1.98 3.11 4.39 6.82 3 5.46 6.4 6.63 5.47 7.14 6.42 7.13 6.49 5.43 2.55 4.41
"6" 5.18 5.1 3.7 4.42 6.85 5.14 6.59 7.29 7.63 0.97 4.93 4.11 5.62 6 1.67 3.72 4.08
"7" 5.9 3.26 4.2 2.34 5.05 5.69 6.26 4.1 3.76 4.68 4.71 5.88 4.73 5.98 6.12 3.5 7.93
"8" 3.1 5.33 5.83 4.66 4.17 4.19 4.81 6.04 6.27 3.91 5.19 10.28 3.15 6.58 4.26 7.5 4.17
"9" 1.85 7.05 2.79 6.1 4.76 5.19 7.08 8.13 4.61 3.38 7.78 3.78 3.61 7.66 4.1 5.47 5.45
"10" 4.45 4.6 3.69 4.81 9.15 5.78 6.39 2.91 4.83 3.84 8.46 2.18 9.78 4.46 5.93 5.65 5.02
"11" 6.88 6 2.88 6.46 5.44 6.06 7.63 4.27 9.98 5.56 3.9 4.82 10.88 3.85 7.79 2.06 8.51
"12" 5.95 5.67 1.99 5.98 5.39 3.35 1.48 7.18 6.49 4.23 6.52 2.44 5.92 1.91 4.11 3.74 3
"13" 3.83 6.12 5.9 8.58 8.01 5.45 7.56 4.79 5.54 2.54 4.16 4.96 5.38 6.33 1.05 5.69 1.53
"14" 3.25 7.56 9.81 7.28 2.84 2.86 3.04 2.59 5.09 5.57 6.16 4.6 4.62 4.13 10.17 6.28 6.03
"15" 8.8 8.39 5.66 4.78 5.9 5.79 7.33 0.06 6.23 7.78 4.68 3.79 3.07 4.8 5.11 5.61 2.43
"16" 6.59 3.46 8.84 4.95 6.39 3.74 5.53 4.92 2.86 5.83 4.97 4.96 6.73 1.05 3.47 5.9 6.76
"17" 7.52 10.51 4.39 9.07 3.91 4.35 5.6 5.64 4.12 4.88 4.36 6 3.31 4.15 2.86 5.71 5.05
"18" 2.03 9.71 4.34 5.45 1 5.35 7.38 6.86 3.12 3.52 6.88 5.22 1.25 3.03 3.88 7.38 2.63
"19" 5.22 2.81 7.58 3.77 4.56 5.71 3.23 6.17 2.93 6.62 6.21 3.67 4.8 6.34 6.41 5.28 4.47
"20" 2.3 5.42 6.08 5.77 3.47 6.84 7.7 7.6 2.45 5.67 5.02 3.89 7.37 8.82 2.06 3.09 7.54
"21" 4.3 2.24 5.32 8.16 2.81 4.85 2.76 2.37 5.57 5.06 7.43 6.1 6.27 2.42 2.55 5.01 5.49
"22" 5.11 7.03 4.3 5.24 3.67 1.81 4.08 5.51 5.26 3.95 6.73 3.17 4.51 5.13 7.77 3.54 1.29
"23" 2.58 6.74 5.87 4.76 4.6 5.25 5.03 7.92 5.6 3.89 5.05 2.57 7.67 1.94 0.98 7.92 8.13
"24" 8.44 9.89 6.11 2.33 3.43 8 5.86 3.65 4.52 5.98 5.43 6.56 8.19 3.84 5.94 5.21 2.57
"25" 5.45 4.8 4.37 2.9 1.03 4.32 2.04 4.83 6.05 7.19 5.81 1.18 8.53 5.21 6.46 5.84 6.52
"26" 6.02 3.73 4.13 3.17 6.75 2.37 5.29 3.34 4.31 3.88 5.03 5.17 4.31 6.35 2.76 5.57 5.73
"27" 7.56 8.36 1.2 5.55 7.32 4.32 6.17 6.74 3.8 4.93 6.38 2.71 4.23 3.4 1.41 3.4 6.24
"28" 2.59 4.59 7.46 5.37 9.03 5.54 6.04 5.01 3.12 4.3 6.93 3.34 2.96 3.34 8.05 5.46 2.11
"29" 2.07 5.09 3.45 1.7 2.91 6.3 3.02 8.7 4.98 5.34 7.42 0.18 2.65 1.43 2.26 6.76 3.57
"30" 5.52 6.75 5.07 1.86 5.09 4.98 4.83 6.01 7.47 3.14 5.25 7.12 3.25 1.82 8.82 5.6 3.74
"31" 11.29 6.33 7.02 4.03 3.73 5.35 6.13 -1.23 4.04 5.58 2.66 5.76 2.93 7.15 5.84 5.97 6.51
"32" 6.56 4.4 7.52 6.02 2.63 6.24 5.52 3.99 4.37 2.84 7.91 5.04 5.95 6.68 2.95 6.29 7.89
"33" 1.77 3.23 4.29 4.89 6.89 7.04 1.59 4.5 3.94 6.09 7.33 5.17 5.55 2.69 4.05 0.79 4.66
"34" 4.68 2.74 3.19 3.95 5.37 7.46 5.38 3.96 4.41 5.05 6.18 0.42 1.37 3.01 3.82 4.19 4.46
"35" 6.86 5.23 3.37 9.86 9.16 5.84 5.52 5.64 2.38 5.64 5.96 -0.54 2.98 5.03 6.26 4.86 1.38
"36" 6.29 3.44 2.3 6.52 4.04 2.67 4.76 5.34 7.87 5.95 7.83 4.57 2.56 4.77 4.66 3.51 6.52
"37" 5.43 0.96 6.2 5.63 6.14 9.2 5.36 5.51 -0.09 5.23 4.91 4.26 5.77 4.35 4.99 5.1 7.88
"38" 6.11 3.35 3.47 2.74 5.64 4.6 6.56 7.52 1.62 5.62 4.29 -1.55 2.62 0.63 7.48 7.28 1.04
"39" 1.85 0.78 6.64 6.69 2.22 7.93 3.8 6.64 5.93 6.49 4.11 4.45 3.48 1.01 6.99 10.45 9.88
"40" 3.07 6.34 1.92 7.12 4.73 6.2 6.22 2.09 5.09 7.63 9.09 3.53 6.85 4.82 5.61 2.96 8.48
"41" 7.16 3.98 3.48 5.15 5.31 5.04 2.44 4.49 2.7 2.95 6.56 2.88 8.02 5.58 4.77 4.32 2.7
"42" 5.13 4.47 7.58 5.32 5.96 6.89 2.48 7.47 5.34 0.69 4.96 2.91 8.26 8.43 6.36 6.87 7.48
"43" 7.08 4.94 9.49 3.49 4.58 4.21 4.11 7.69 5.47 3.23 7.73 4.13 3.42 3.32 4.44 7.54 7.23
"44" 8.8 5.18 3.55 4.05 4.44 3.62 6.73 3.09 5.27 5.86 3.4 4 1.53 2.19 9.26 6.06 4.97
"45" 5.67 5.82 2.96 6.63 4.43 6.88 6.25 4.95 6.38 4.68 0.44 4.76 3.55 4.13 6.57 3.28 2.24
"46" -2.25 4.44 3.81 6.25 7.68 0.41 7.02 3.57 5.07 3.2 7.28 4.45 3.61 5.38 4.23 5.77 4.34
"47" 1.29 5.73 6.32 0.67 4.49 2.38 3.79 6.06 4.08 5.12 8.24 7.35 6.71 7.45 4.25 6.54 5.49
"48" 3.17 3.81 8.54 8.03 -0.2 7.77 7.37 5.69 4.94 6.5 5.19 2.24 2.02 8.99 1.45 5.62 8.01
"49" 4.49 6.34 6.17 6.27 7.79 5.29 2.39 8.13 5.01 5.55 4.1 4.52 5.96 7.67 3.45 4.94 4.53
"50" 1.04 4.11 6.23 6.77 7.63 6.84 10.78 5.11 2.74 3.7 3.25 2.09 3.01 4.31 4.9 1.78 3.56
"51" 3.31 4.06 2.03 2.61 6.16 7.47 4.46 5.44 5.85 3.16 5.79 5.22 7.92 6.62 4.08 2.66 3.73
"52" 6.26 7.08 5.69 5.83 4.42 2.78 5.64 2.22 6.75 0.88 2.83 5.28 6.45 4.45 4.96 6.18 7.61
"53" 12.14 6.67 5.92 5.32 3.02 6.99 5.52 6.59 6.01 1.96 6.7 8.41 3.42 6.05 8.13 4.14 3.55
"54" 3.24 0.46 4.25 4.14 7.68 7.06 3.81 4.21 2.05 7.31 4.12 7.18 2.48 3.83 5.71 5.28 6.25
"55" 6.8 6.27 4.12 5.58 4.33 5.66 2.23 1.9 4.84 5.14 3.47 3.7 4.24 0.91 7.69 6.37 2.13
"56" 3.88 4.25 5.96 5.22 3.83 6.04 1.65 3.97 6.47 2.57 2.94 4.56 6.56 3.26 3.05 7.33 5.71
"57" 8.69 3.68 6.77 4.93 4.66 4.23 6.6 5.26 3.61 5.31 -1.02 7.8 3.35 6.25 8.58 4.34 5.46
"58" 5.52 5.75 5.76 7.12 2.76 3.27 5.02 5.3 8.13 4.07 5.57 7.16 6.28 4.62 5.58 4.78 2.55
"59" 4.11 6.5 4.09 3.93 1.96 8.16 5.27 5.33 6.74 3.44 7 6.82 4.12 6.69 4.6 5.64 6.54
"60" 5.56 4.99 4.45 4.65 3.8 4.09 5.55 6 7.71 6.44 5.59 1.07 2.83 6.37 5.63 5.04 4.09
"61" 4.6 4.05 2.96 2.55 5.13 5.26 6.01 4.83 6.42 5.68 3.24 1.56 5.95 7.21 4.26 4.93 7.37
"62" 5.91 4.35 3.21 2.79 7 2.53 5.7 5.82 3.74 5.43 7.31 6.55 5.92 3.81 7.69 4.16 7.43
"63" 5.35 4.16 5.79 5.34 3.93 4.52 2.65 3.75 7.22 7.08 5.73 4.16 2.72 4.23 3.73 3.43 7.53
"64" 3.02 3.66 7.31 5.17 8.42 5.18 4.58 5.18 2.77 4.37 3.21 2.06 5.78 5.89 4.51 7.09 7.57
"65" 3.12 2.88 3.52 2.53 6.14 3.11 4.14 7.97 4.63 4.53 9.29 2.6 6.73 4.07 8.22 7.11 6.52
"66" 3.96 3 8.33 5.98 8.4 3.76 5.93 6.85 4.63 5.93 1.08 4.08 1.45 4.64 6.05 7.11 4.89
"67" 7.81 2.53 2.45 5.27 3.77 4.97 3.74 3.66 5.92 5.47 2.35 4.71 6.12 4.15 4.27 3.84 6.3
"68" 6.02 7.23 5.3 4.8 5.54 6.62 8.08 5.23 6.98 5.6 6.36 8.5 5.42 6.87 5.13 5.97 4.4
"69" 7.4 5.35 4.62 6.68 6.63 7.02 7.83 5.88 5.02 3.62 -0.19 5.71 2.5 6.53 7.06 4.5 3.57
"70" 5.71 3.89 7.38 6.47 3.52 6.18 2.76 5.23 3.9 2.16 7.55 4.27 2.91 6.1 1.94 3.24 8
"71" 3.19 5.78 5.93 4.84 6.09 6.8 7.44 8.23 3.81 7.15 3.93 3.86 2.09 4.3 5.32 4.15 3.41
"72" 6.98 6.87 6.47 5.92 8.02 7.32 5.68 6.77 8.53 3.99 3.56 4.88 4.99 3.73 3.79 5.31 5.72
"73" 4.43 2.65 4.01 2.35 7.64 8.16 0.08 5.05 6.69 3 5.13 3.37 5.6 8.44 6.18 5.81 3.11
"74" 3.05 2.77 5.71 4.15 5.99 4.94 2.71 6.77 2.8 2.48 2.71 6.11 7.39 3.85 5.25 4.76 5.89
"75" 1.94 2.58 4.36 10.08 5.51 6.89 8.06 7.02 6.6 13.89 2.63 5.27 9.16 7.17 1.45 5.16 -1.18
