"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"1" 0.77 6.55 4.92 5.59 7.35 5.88 1.84 6.91 5.53 6.12 5.37 3.48 3.66 4.92 9.84 3.51 4.17 4.68 3.36 3.87 7.51 2.68 5.07 7.45 3.6 5.6 5.13 5.82 4.06 7.03 5.39 7.12 8.53 3.83 5.4 7.18 6.64 5.38 6.21 2.14 3.96 4.83 3.35 2.39 5.9 3.74 4.19 4.14 6.36 2.81 6.88 2 4.46 7.3 6.99 5.88 3.51 4.83 4.26 8.29 7.67 6.43 6.89
"2" 5.19 5.39 6.15 2.9 8.27 6.54 5.32 5.68 4.39 5.44 4.17 1.6 4.4 4.13 7.31 9.1 3.4 5.37 4.18 6.5 7.7 2.28 8.38 3.99 4.08 8.91 7.52 9.89 5.04 3.37 4.54 3.1 5.35 5.97 7.2 3.94 3.27 3.78 3.83 5.24 8.59 6.74 3.14 7.39 3.73 4.75 5.08 2.63 5.44 5.69 6.01 5.23 4.33 1.8 5.41 2.66 0.85 4.2 6.38 6.64 6.81 6.63 5.98
"3" 7.17 1.04 6.29 2.72 4.55 3.96 5.12 6.9 4.45 3.09 6.66 4.11 6.4 0.24 7.42 6.25 0.28 4 8.12 6.59 4.87 0.78 5.25 4.11 4.67 6.47 4.84 3.63 6.23 6.82 2.76 5.27 5.74 2.26 2.83 3.56 5.92 2.78 8.28 7.99 5.21 5.2 4.17 5.56 3.66 2.01 7.27 2.42 2.06 6.85 5.06 8.08 5.2 6.22 5.54 4.74 5.28 9.32 1.77 7.3 6.03 6.22 4.7
"4" 5.39 6.31 4.71 7.6 9.84 6.11 8.35 0.95 6.46 1.82 3.78 3.09 2.71 8.63 3.96 4.04 7.45 3.38 3.83 3 6.63 1.99 1.33 5.39 2.4 6.71 2.99 5.34 6.71 2.83 4.56 2.92 5.48 4.87 4.87 5 5.86 1.76 5.97 6.55 4.27 -0.39 4.43 2.87 5.07 7.06 8.31 6.36 4.46 9.55 3.82 6.41 8.36 6.91 8.81 8.01 4.45 6 5.23 4.92 7.52 7.54 5.59
"5" 8.34 5.72 7.71 6.24 3.59 4.59 3.52 4.79 1.02 6 8.47 3.5 4.3 1.44 3.46 2.2 4.45 5.53 5.66 5.37 5.91 5 6.47 5.04 5.91 5.55 4.17 4.28 3.39 8.47 6.77 3.87 6.78 7.5 6.49 4.02 5.71 3.87 8.25 2.89 2.24 7.41 4.79 7.81 5.5 7.89 2.48 2.95 4.72 7.25 5.96 7.26 4.8 6.91 3 6.78 3.28 6 3.45 3.71 4.98 6.3 8.31
"6" 7.75 5.38 6.05 1.26 6.29 5.36 9.81 6.7 4.44 3.21 1.3 10.84 5.36 4.38 7.17 4.88 2.52 3.23 7.27 5.85 4.19 1.23 5.71 4.07 5 9.73 2.99 3.11 3.04 6.05 7.01 7.39 6.77 4.63 4.43 6.47 7.04 6.42 3.28 7.59 -0.72 3.8 2.96 0.33 9.51 4.49 3.42 4.13 6.94 5.45 8 8.89 3.83 5.02 3.29 4.65 4.55 4.69 4.38 6.77 6.05 7.25 4.52
"7" 5.81 5.17 4.08 3.06 3.73 6.1 1.72 6.3 1.71 5.89 4.03 2.18 2.67 1.52 4.66 7.1 3.71 2.55 5.01 5.62 4.26 5 6.33 6.05 2.59 5.73 5.62 8.99 6.75 6.39 9.24 4.06 5.27 1.73 2.08 2.76 5.58 5.52 5.42 1.75 6.15 3.29 4.48 -0.36 2.16 5.4 3.39 6.58 5.23 3.1 5.28 8.33 4.64 3.57 5.88 6.88 4.4 8.3 5.77 4.87 3.77 2.29 6.09
"8" 6.85 2.17 7.55 6.25 3.44 3.45 1.87 1.94 7.76 3.47 2.44 3.12 6.49 3.62 6.72 4.2 5.85 4.18 2.82 6.96 2.2 10.36 4.55 3.53 5.63 1.45 4.42 6.71 3.26 3.87 2.94 7.74 5.78 4.47 7.93 4.87 3.35 4.84 2.51 5.24 4.05 7.72 2.41 4.92 5.9 4.65 3.78 3.45 4.32 2.94 5.33 5.45 5.43 7.13 6.21 5.55 7.29 2.98 5.44 6.15 7.32 4.66 3.89
"9" 6.82 2.56 5.44 5.34 5.42 5.06 5.9 3.95 6.01 6.77 3.46 7.27 6.11 5.92 3.09 8.28 6 3.88 8.09 5.89 4.16 4.59 7.84 5.91 4.45 6.84 3.87 2.68 7.29 2.48 7.3 6.63 8.42 6.6 6.59 7.43 2.77 3.79 4.8 5.22 4.95 9.81 2.68 2.22 0.27 7.94 6.21 2.32 2.82 2.11 4.09 6.46 1.27 3.32 5.5 7.2 2.39 5.99 7.64 5.72 2.01 5.22 2.19
"10" 4.44 6.45 6.08 9.17 7.25 4.96 5.06 4.92 2.98 8.52 4.58 5.97 2.96 6.74 5.57 4.79 3.33 6.64 5.93 3.52 4.3 3.83 5.05 2.44 5.75 4.39 5.9 4.72 6.36 4.39 6.69 6.54 2.94 8.6 2.43 3.47 1.67 2.28 5.93 8.27 5.41 4.97 2.74 5.47 7.61 0.67 3.89 5.85 5.81 6.88 5.14 6.95 5.2 6.63 1.74 6.5 5.06 6.6 6.75 5.82 5.89 3.41 5.72
