"year","julian_day","wild","river_age","sea_age","length","weight","sea_lice","sex","river"
2009,137.02880664883,TRUE,1,1,73.0559202014842,2.32,FALSE,1,"corrib"
1998,104.672255838155,TRUE,2,4,121.618041578407,12.64,TRUE,2,"nivelle"
1998,115.051557633556,FALSE,1,2,91.4644645588694,5.12,FALSE,2,"corrib"
2009,167.372033685816,TRUE,1,1,70.2123756681621,2.17,FALSE,2,"scorff"
2008,147.109121875804,TRUE,1,1,67.9584365294369,2.62,FALSE,1,"nivelle"
2009,110.213940372411,FALSE,1,4,109.426612055916,7.58,FALSE,2,"scorff"
2002,176.313566581266,FALSE,1,1,75.3100851506363,3.05,FALSE,1,"moy"
1998,91.2784335026247,FALSE,2,2,80.5524910624571,3.61,FALSE,2,"corrib"
2006,92.4475801146849,FALSE,1,2,89.0904340657608,4.97,FALSE,2,"corrib"
2014,176.576501035572,FALSE,1,1,73.2970000600722,2.63,FALSE,1,"oir"
1998,67.8246833344501,TRUE,1,4,103.39509325162,6.49,FALSE,2,"corrib"
2014,183.767651337786,TRUE,2,1,61.2828329882839,1.5,FALSE,1,"scorff"
2005,119.924887207573,FALSE,1,4,134.975006293528,17.39,TRUE,2,"nivelle"
2002,117.046726421502,FALSE,1,4,120.165005767682,10.98,TRUE,2,"scorff"
1998,145.59302204689,FALSE,1,1,77.7582657774549,3.24,FALSE,2,"oir"
1999,155.903761008892,TRUE,1,1,73.0992449563615,2.66,FALSE,1,"oir"
1998,141.548275714526,TRUE,2,1,75.2081243785187,2.93,FALSE,1,"oir"
2010,162.368469240513,FALSE,2,1,78.1387880503857,3.44,FALSE,1,"nivelle"
1997,87.9304584909762,TRUE,1,2,85.8464986561212,4.17,FALSE,2,"scorff"
1998,101.276782599139,FALSE,1,2,81.8917344678844,3.66,FALSE,2,"scorff"
2000,101.589710864404,TRUE,2,2,92.7497523252177,5.93,FALSE,2,"corrib"
1998,97.8580557593174,FALSE,1,2,93.3148900099793,6.62,FALSE,2,"oir"
1997,127.352322794563,FALSE,1,2,104.849147683551,6.79,FALSE,2,"nivelle"
1998,102.715701008422,FALSE,1,3,109.697759832186,12.39,TRUE,2,"corrib"
1996,168.715935881064,FALSE,2,1,76.0101073259153,2.71,FALSE,1,"corrib"
1998,146.910648798807,FALSE,2,1,70.891702365934,2.56,FALSE,1,"nivelle"
1998,142.445805705619,TRUE,2,1,71.6449652186467,1.9,FALSE,1,"moy"
2005,162.478912318019,FALSE,1,1,71.0572346071924,2.62,FALSE,2,"moy"
2004,168.983210593444,FALSE,2,1,74.2270160166748,2.68,FALSE,2,"corrib"
2013,104.06538283924,FALSE,1,2,89.3746661681738,3.99,FALSE,2,"nivelle"
1997,110.732844457697,FALSE,1,4,128.347534669629,16.84,TRUE,2,"moy"
1995,106.030544698603,FALSE,1,2,94.037142685609,6.04,FALSE,2,"nivelle"
2003,107.312470074672,FALSE,1,2,86.25625706539,4.13,TRUE,2,"moy"
1995,156.457066374896,FALSE,1,1,83.2967118855866,3.92,FALSE,2,"scorff"
2001,161.505122262182,FALSE,1,1,72.3689653303574,2.21,FALSE,1,"scorff"
1998,125.897581706118,FALSE,2,3,105.563539765783,9.81,FALSE,2,"moy"
1996,106.236445766776,TRUE,2,2,81.7503975118333,3.14,FALSE,1,"scorff"
2007,156.718204616287,TRUE,2,1,73.2266578791711,3.15,FALSE,1,"scorff"
2007,125.882265157104,FALSE,1,2,89.7743714081593,4.61,FALSE,2,"scorff"
1998,113.727504549054,FALSE,1,2,95.2105164214808,6.19,FALSE,2,"scorff"
1999,81.0523022681132,TRUE,2,4,126.176165363472,12.8,TRUE,2,"scorff"
